year,agency_code,welcome_url
2018,260401,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260402,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260403,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260404,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260405,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260406,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260407,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260408,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260410,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260411,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260412,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260413,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260414,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260415,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260416,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260417,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260418,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260419,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260424,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260425,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260426,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260427,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260428,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260430,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260432,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260434,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260440,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260444,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260446,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260448,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260449,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260450,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260452,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260454,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260455,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260459,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260700,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,300306,http://davie.k12.nc.us/district/departments/instructional/accountability-and-student-information/state-report-card/
2018,300308,http://davie.k12.nc.us/district/departments/instructional/accountability-and-student-information/state-report-card/
2018,300310,http://davie.k12.nc.us/district/departments/instructional/accountability-and-student-information/state-report-card/
2018,300312,http://davie.k12.nc.us/district/departments/instructional/accountability-and-student-information/state-report-card/
2018,300314,http://davie.k12.nc.us/district/departments/instructional/accountability-and-student-information/state-report-card/
2018,300320,http://davie.k12.nc.us/district/departments/instructional/accountability-and-student-information/state-report-card/
2018,300325,http://davie.k12.nc.us/district/departments/instructional/accountability-and-student-information/state-report-card/
2018,300326,http://davie.k12.nc.us/district/departments/instructional/accountability-and-student-information/state-report-card/
2018,300328,http://davie.k12.nc.us/district/departments/instructional/accountability-and-student-information/state-report-card/
2018,300330,http://davie.k12.nc.us/district/departments/instructional/accountability-and-student-information/state-report-card/
2018,300336,http://davie.k12.nc.us/district/departments/instructional/accountability-and-student-information/state-report-card/
2018,300337,http://davie.k12.nc.us/district/departments/instructional/accountability-and-student-information/state-report-card/
2018,310304,https://www.duplinschools.net/Page/19
2018,310308,https://www.duplinschools.net/Page/19
2018,310330,https://www.duplinschools.net/Page/19
2018,310336,https://www.duplinschools.net/Page/19
2018,310338,https://www.duplinschools.net/Page/19
2018,310344,https://www.duplinschools.net/Page/19
2018,310352,https://www.duplinschools.net/Page/19
2018,310356,https://www.duplinschools.net/Page/19
2018,310360,https://www.duplinschools.net/Page/19
2018,310364,https://www.duplinschools.net/Page/19
2018,310384,https://www.duplinschools.net/Page/19
2018,310388,https://www.duplinschools.net/Page/19
2018,310392,https://www.duplinschools.net/Page/19
2018,320304,https://www.dpsnc.net/DPS-Report-Card-2018
2018,320306,https://www.dpsnc.net/DPS-Report-Card-2018
2018,320308,https://www.dpsnc.net/DPS-Report-Card-2018
2018,320309,https://www.dpsnc.net/DPS-Report-Card-2018
2018,320310,https://www.dpsnc.net/DPS-Report-Card-2018
2018,320312,https://www.dpsnc.net/DPS-Report-Card-2018
2018,320313,https://www.dpsnc.net/DPS-Report-Card-2018
2018,320314,https://www.dpsnc.net/DPS-Report-Card-2018
2018,320315,https://www.dpsnc.net/DPS-Report-Card-2018
2018,320316,https://www.dpsnc.net/DPS-Report-Card-2018
2018,320317,https://www.dpsnc.net/DPS-Report-Card-2018
2018,320318,https://www.dpsnc.net/DPS-Report-Card-2018
2018,320319,https://www.dpsnc.net/DPS-Report-Card-2018
2018,320320,https://www.dpsnc.net/DPS-Report-Card-2018
2018,320322,https://www.dpsnc.net/DPS-Report-Card-2018
2018,320323,https://www.dpsnc.net/DPS-Report-Card-2018
2018,320324,https://www.dpsnc.net/DPS-Report-Card-2018
2018,320325,https://www.dpsnc.net/DPS-Report-Card-2018
2018,320327,https://www.dpsnc.net/DPS-Report-Card-2018
2018,320328,https://www.dpsnc.net/DPS-Report-Card-2018
2018,320329,https://www.dpsnc.net/DPS-Report-Card-2018
2018,320332,https://www.dpsnc.net/DPS-Report-Card-2018
2018,320336,https://www.dpsnc.net/DPS-Report-Card-2018
2018,320338,https://www.dpsnc.net/DPS-Report-Card-2018
2018,320339,https://www.dpsnc.net/DPS-Report-Card-2018
2018,320340,https://www.dpsnc.net/DPS-Report-Card-2018
2018,320341,https://www.dpsnc.net/DPS-Report-Card-2018
2018,320342,https://www.dpsnc.net/DPS-Report-Card-2018
2018,320343,https://www.dpsnc.net/DPS-Report-Card-2018
2018,320344,https://www.dpsnc.net/DPS-Report-Card-2018
2018,320346,https://www.dpsnc.net/DPS-Report-Card-2018
2018,320347,https://www.dpsnc.net/DPS-Report-Card-2018
2018,320348,https://www.dpsnc.net/DPS-Report-Card-2018
2018,320352,https://www.dpsnc.net/DPS-Report-Card-2018
2018,320353,https://www.dpsnc.net/DPS-Report-Card-2018
2018,320354,https://www.dpsnc.net/DPS-Report-Card-2018
