year,agency_code,grade,pct_prof,pct_prof_masking
2018,681305,9,60.3,
2018,681308,9,66.6,
2018,681309,6,68.9,
2018,681314,9,71.4,
2018,681322,6,70.3,
2018,681324,6,73.2,
2018,681336,6,74.5,
2018,68A000,6,75.8,
2018,68A000,9,51.6,
2018,68C000,6,89.2,
2018,690316,6,46.3,
2018,690320,9,41.9,
2018,69A000,6,26.5,
2018,69A000,9,38.9,
2018,700308,6,20.9,
2018,700317,9,17.5,
2018,700319,9,14.0,
2018,700322,6,28.0,
2018,700325,9,53.2,
2018,70A000,9,46.4,
2018,710316,6,27.4,
2018,710320,6,50.9,
2018,710321,9,24.9,
2018,710326,9,31.1,
2018,710327,9,88.7,
2018,710328,6,47.7,
2018,710342,9,52.2,
2018,710346,6,63.7,
2018,710348,6,41.7,
2018,720316,9,39.2,
2018,720320,6,56.9,
2018,730344,6,44.2,
2018,730350,9,52.3,
2018,730352,9,27.5,
2018,730360,6,52.3,
2018,73B000,6,70.5,
2018,73B000,9,71.6,
2018,740302,6,46.6,
2018,740308,6,39.5,
2018,740309,9,17.6,
2018,740320,6,31.0,
2018,740324,6,29.9,
2018,740332,6,70.3,
2018,740333,9,46.5,
2018,740337,6,37.2,
2018,740340,6,33.8,
2018,740344,9,28.1,
2018,740352,6,17.4,
2018,740358,6,52.8,
2018,740362,6,60.8,
2018,740366,9,26.6,
2018,740374,9,21.3,
2018,740376,6,20.0,
2018,740388,9,31.2,
2018,740396,6,55.6,
2018,740402,6,23.7,
2018,740500,9,66.7,
2018,74B000,6,8.7,
2018,74C000,6,26.7,
2018,750317,9,50.0,
2018,750318,9,57.2,
2018,750319,6,69.2,
2018,760308,6,52.5,
2018,760318,9,7.0,
2018,760338,6,48.1,
2018,760339,9,29.2,
2018,760348,9,26.5,
2018,760352,6,36.4,
2018,760354,9,68.5,
2018,760357,6,36.6,
2018,760358,9,24.7,
2018,760360,6,40.5,
2018,760380,9,23.6,
2018,760382,6,41.6,
2018,760382,9,38.6,
2018,760388,9,35.9,
2018,761304,9,42.4,
2018,761308,6,45.3,
2018,761336,6,31.5,
2018,76A000,6,62.0,
2018,76A000,9,27.1,
2018,770316,6,38.0,
2018,770328,6,41.3,
2018,770342,9,11.8,
2018,770349,9,80.3,
2018,770351,9,31.3,
2018,770360,6,48.7,
2018,770364,6,34.4,
2018,780320,6,23.4,
2018,780324,6,27.1,
2018,780325,9,20.0,
2018,780326,6,23.8,
2018,780330,6,23.6,
2018,780336,6,33.5,
2018,780342,9,16.8,
2018,780344,6,25.4,
2018,780352,6,16.0,
2018,780356,6,16.7,
2018,780360,6,33.9,
2018,780368,6,18.3,
2018,780376,6,28.9,
2018,780384,6,24.5,
2018,780385,9,84.9,
2018,780391,9,20.1,
2018,780393,6,23.0,
2018,780396,6,7.5,
2018,780401,9,21.7,
2018,780402,9,16.4,
2018,780403,6,20.1,
