year,agency_code,status,subgroup,ccc_count,ccc_pct
2009,060LEA,NOCOMP1Y,FEM,15,68.08
2009,060LEA,NOCOMP1Y,HI7,,50
2009,060LEA,NOCOMP1Y,ELS,,
2009,060LEA,NOCOMP1Y,MALE,29,32.55
2009,060LEA,NOCOMP1Y,MU7,,95
2009,060LEA,NOCOMP1Y,SWD,,66.66
2009,060LEA,NOCOMP1Y,WH7,43,50.57
2009,06B000,COMP1Y,AM7,,
2009,06B000,COMP1Y,AS7,,
2009,06B000,COMP1Y,ALL,,33.33
2009,06B000,COMP1Y,BL7,,
2009,06B000,COMP1Y,EDS,,33.33
2009,06B000,COMP1Y,FEM,,20
2009,06B000,COMP1Y,HI7,,
2009,06B000,COMP1Y,ELS,,
2009,06B000,COMP1Y,MALE,,95
2009,06B000,COMP1Y,MU7,,
2009,06B000,COMP1Y,SWD,,
2009,06B000,COMP1Y,WH7,,33.33
2009,06B000,NOCOMP1Y,AM7,,
2009,06B000,NOCOMP1Y,AS7,,
2009,06B000,NOCOMP1Y,ALL,,33.33
2009,06B000,NOCOMP1Y,BL7,,
2009,06B000,NOCOMP1Y,EDS,,33.33
2009,06B000,NOCOMP1Y,FEM,,20
2009,06B000,NOCOMP1Y,HI7,,
2009,06B000,NOCOMP1Y,ELS,,
2009,06B000,NOCOMP1Y,MALE,,95
2009,06B000,NOCOMP1Y,MU7,,
2009,06B000,NOCOMP1Y,SWD,,
2009,06B000,NOCOMP1Y,WH7,,33.33
2009,070310,COMP1Y,AM7,,
2009,070310,COMP1Y,AS7,,
2009,070310,COMP1Y,ALL,,11.11
2009,070310,COMP1Y,BL7,,12.5
2009,070310,COMP1Y,EDS,,
2009,070310,COMP1Y,FEM,,16.66
2009,070310,COMP1Y,HI7,,
2009,070310,COMP1Y,ELS,,
2009,070310,COMP1Y,MALE,,
2009,070310,COMP1Y,MU7,,
2009,070310,COMP1Y,SWD,,
2009,070310,COMP1Y,WH7,,
2009,070310,NOCOMP1Y,AM7,,
2009,070310,NOCOMP1Y,AS7,,
2009,070310,NOCOMP1Y,ALL,8,11.11
2009,070310,NOCOMP1Y,BL7,7,12.5
2009,070310,NOCOMP1Y,EDS,7,
2009,070310,NOCOMP1Y,FEM,5,16.66
2009,070310,NOCOMP1Y,HI7,,
2009,070310,NOCOMP1Y,ELS,,
2009,070310,NOCOMP1Y,MALE,,
2009,070310,NOCOMP1Y,MU7,,
2009,070310,NOCOMP1Y,SWD,,
2009,070310,NOCOMP1Y,WH7,,
2009,070330,COMP1Y,AM7,,
2009,070330,COMP1Y,AS7,,
2009,070330,COMP1Y,ALL,36,48.64
2009,070330,COMP1Y,BL7,8,42.1
2009,070330,COMP1Y,EDS,9,34.61
