year,agency_code,total_nbpts_num,category_code,nbpts_num
2006,260446,7976,H,10
2006,260448,7976,E,4
2006,260449,7976,T,1
2006,260450,7976,E,2
2006,260451,7976,H,1
2006,260452,7976,E,
2006,260454,7976,M,
2006,260455,7976,H,1
2006,260456,7976,E,
2006,260459,7976,E,
2006,260700,7976,H,
2006,260LEA,7976,E,2
2006,260LEA,7976,H,4
2006,260LEA,7976,M,2
2006,260LEA,7976,T,1
2006,26B000,7976,M,
2006,270304,7976,E,2
2006,270306,7976,H,18
2006,270308,7976,M,6
2006,270310,7976,E,3
2006,270312,7976,E,2
2006,270316,7976,E,7
2006,270318,7976,M,2
2006,270320,7976,E,1
2006,270LEA,7976,E,3
2006,270LEA,7976,H,18
2006,270LEA,7976,M,4
2006,280302,7976,E,2
2006,280304,7976,T,2
2006,280306,7976,H,2
2006,280308,7976,E,3
2006,280310,7976,E,3
2006,280312,7976,E,3
2006,280316,7976,H,4
2006,280320,7976,M,4
2006,280324,7976,E,1
2006,280328,7976,M,7
2006,280330,7976,H,4
2006,280LEA,7976,E,2
2006,280LEA,7976,H,3
2006,280LEA,7976,M,6
2006,280LEA,7976,T,2
2006,290302,7976,E,1
2006,290306,7976,E,1
2006,290308,7976,H,6
2006,290309,7976,M,5
2006,290310,7976,A,1
2006,290312,7976,E,1
2006,290314,7976,T,
2006,290315,7976,H,1
2006,290316,7976,E,5
2006,290320,7976,E,1
2006,290322,7976,M,4
2006,290324,7976,H,14
2006,290328,7976,E,2
2006,290330,7976,E,
2006,290332,7976,E,2
2006,290333,7976,E,1
2006,290334,7976,M,8
2006,290336,7976,H,9
2006,290344,7976,E,3
2006,290348,7976,H,11
2006,290350,7976,M,4
2006,290352,7976,E,5
2006,290356,7976,E,6
2006,290364,7976,E,
2006,290365,7976,H,5
2006,290366,7976,E,2
2006,290367,7976,M,3
2006,290376,7976,M,4
2006,290380,7976,E,4
2006,290384,7976,E,8
2006,290388,7976,H,8
2006,290LEA,7976,A,1
2006,290LEA,7976,E,3
2006,290LEA,7976,H,8
2006,290LEA,7976,M,5
2006,290LEA,7976,T,
2006,291308,7976,E,4
2006,291332,7976,M,5
2006,291336,7976,H,4
2006,291340,7976,E,1
2006,291348,7976,E,
2006,291350,7976,A,
2006,291352,7976,E,4
2006,291LEA,7976,A,
2006,291LEA,7976,E,3
2006,291LEA,7976,H,4
2006,291LEA,7976,M,5
2006,292316,7976,E,3
2006,292318,7976,E,7
2006,292320,7976,M,4
2006,292324,7976,H,3
2006,292LEA,7976,E,5
2006,292LEA,7976,H,3
2006,292LEA,7976,M,4
2006,300308,7976,E,6
2006,300310,7976,E,7
2006,300312,7976,H,9
2006,300320,7976,E,9
2006,300325,7976,M,1
2006,300326,7976,E,6
2006,300328,7976,E,5
2006,300330,7976,M,6
2006,300336,7976,E,2
2006,300LEA,7976,E,6
2006,300LEA,7976,H,9
2006,300LEA,7976,M,4
2006,310304,7976,I,1
2006,310308,7976,I,7
2006,310324,7976,M,
2006,310330,7976,I,6
2006,310336,7976,E,1
2006,310340,7976,M,
2006,310344,7976,H,6
2006,310352,7976,H,5
2006,310356,7976,E,2
2006,310360,7976,E,6
2006,310364,7976,T,7
2006,310384,7976,E,1
2006,310388,7976,E,1
2006,310392,7976,H,1
2006,310396,7976,M,1
2006,310LEA,7976,E,2
2006,310LEA,7976,H,4
2006,310LEA,7976,I,5
2006,310LEA,7976,M,1
2006,310LEA,7976,T,7
2006,320304,7976,E,1
2006,320306,7976,M,5
2006,320308,7976,E,1
2006,320309,7976,H,
2006,320310,7976,E,1
2006,320312,7976,H,17
2006,320313,7976,E,4
2006,320314,7976,M,3
2006,320315,7976,E,1
2006,320316,7976,M,3
2006,320318,7976,E,4
2006,320319,7976,E,4
2006,320320,7976,E,3
2006,320323,7976,T,12
2006,320324,7976,E,5
2006,320325,7976,H,1
2006,320327,7976,E,6
2006,320328,7976,E,1
2006,320332,7976,E,8
2006,320336,7976,A,1
2006,320338,7976,M,1
2006,320339,7976,E,2
2006,320340,7976,E,4
2006,320341,7976,T,
2006,320344,7976,E,1
2006,320346,7976,M,6
2006,320347,7976,E,3
2006,320348,7976,E,6
2006,320352,7976,E,2
2006,320353,7976,H,2
2006,320354,7976,E,1
2006,320355,7976,M,
2006,320356,7976,H,8
2006,320360,7976,E,1
2006,320362,7976,E,1
2006,320363,7976,E,7
2006,320364,7976,E,5
2006,320365,7976,H,9
2006,320366,7976,M,3
2006,320367,7976,E,3
2006,320368,7976,H,3
2006,320370,7976,M,3
2006,320372,7976,E,4
2006,320374,7976,E,1
2006,320388,7976,E,
2006,320400,7976,E,2
2006,320LEA,7976,A,1
2006,320LEA,7976,E,3
2006,320LEA,7976,H,7
2006,320LEA,7976,M,3
2006,320LEA,7976,T,12
2006,32A000,7976,E,
2006,32B000,7976,I,
2006,32C000,7976,I,
2006,32D000,7976,T,
2006,32G000,7976,I,
2006,32H000,7976,I,
2006,32J000,7976,A,
2006,32K000,7976,E,
2006,330304,7976,E,4
2006,330308,7976,E,7
2006,330310,7976,M,
2006,330312,7976,E,3
2006,330324,7976,M,1
2006,330326,7976,H,1
2006,330328,7976,H,4
2006,330330,7976,E,5
2006,330332,7976,I,
2006,330334,7976,E,1
2006,330336,7976,E,1
2006,330340,7976,M,
2006,330348,7976,I,6
2006,330350,7976,H,4
2006,330354,7976,E,1
2006,330358,7976,H,4
2006,330LEA,7976,E,3
2006,330LEA,7976,H,3
2006,330LEA,7976,I,6
2006,330LEA,7976,M,1
2006,340308,7976,E,2
2006,340314,7976,E,3
2006,340320,7976,E,
2006,340330,7976,H,2
2006,340332,7976,,10
2006,340334,7976,E,2
2006,340336,7976,H,1
2006,340344,7976,E,
2006,340348,7976,E,5
2006,340350,7976,M,2
2006,340351,7976,E,1
2006,340354,7976,E,1
2006,340360,7976,E,1
2006,340364,7976,H,15
2006,340366,7976,M,2
2006,340368,7976,E,2
2006,340376,7976,E,2
2006,340380,7976,E,8
2006,340382,7976,H,9
2006,340384,7976,E,3
2006,340385,7976,T,
