digital_media,device_access,device_access_grades,device_home,device_home_grades,BYOD,byod_grades,agency_code,year,Book_TitlesPer_Student,wap,wap_class,media_school,devices,category_code
5,Yes,9:10:11:12,Yes,9:10:11:12,Staff,-,110304,2018,13.14,118.0,1.44,1996.0,0.64,H
1,Yes,6:07:08,Yes,6:07:08,Staff,-,110306,2018,28.31,61.0,1.53,2001.0,0.87,M
1,Yes,4,No,-,Both,K:1:2:3:4,110308,2018,51.23,25.0,1.39,2003.0,3.72,E
1,Yes,4:05,No,-,Neither,-,110318,2018,21.8,33.0,1.65,2004.0,0.75,E
1,No,-,No,-,Both,PK:K:1:2:3,110320,2018,26.8,49.0,1.44,2001.0,1.75,E
-,Yes,9:10:11:12:13,Yes,9:10:11:12:13,Both,9:10:11:12:13,110322,2018,,6.0,0.38,,0.88,H
-,Yes,11:12,Yes,11:12,Both,11:12,110323,2018,,5.0,1.25,,0.74,H
2,Yes,4,No,-,Staff,-,110324,2018,44.94,55.0,1.28,2002.0,1.61,E
1,Yes,6:07:08,Yes,6:07:08,Staff,-,110326,2018,33.52,67.0,1.4,2002.0,0.9,M
1,Yes,4:05,No,-,Staff,-,110332,2018,42.57,33.0,1.27,2000.0,1.37,E
1,Yes,9:10:11:12,Yes,9:10:11:12,Staff,-,110336,2018,15.78,81.0,1.4,2003.0,0.66,H
0,Yes,6:07:08,Yes,7:08,Staff,-,110338,2018,13.49,63.0,1.54,2008.0,0.8,M
3,Yes,9:10:11:12,Yes,9:10:11:12,Neither,-,110340,2018,10.55,107.0,1.37,2003.0,0.7,H
2,Yes,7:08,Yes,7:08,Both,7:08,110342,2018,20.15,78.0,1.39,2004.0,0.48,M
1,Yes,4,No,-,Both,K:1:2:3:4,110348,2018,31.87,47.0,1.52,2004.0,1.2,E
1,Yes,9:10:11:12,Yes,9:10:11:12,Staff,-,110352,2018,18.0,101.0,1.36,1999.0,0.55,H
1,Yes,4:05,Yes,4:05,Staff,-,110356,2018,24.65,59.0,1.59,2003.0,1.32,E
5,Yes,4,No,-,Both,K:1:2:3:4,110366,2018,24.21,58.0,1.53,2003.0,2.45,E
1,Yes,4:05,No,-,Both,K:1:2:3:4:5,110368,2018,36.01,42.0,1.4,2000.0,1.22,E
2,Yes,4,No,-,Students,K:1:2:3:4,110370,2018,26.11,47.0,1.34,2000.0,2.14,E
1,Yes,4,No,-,Neither,-,110372,2018,32.12,36.0,1.33,2000.0,1.64,E
1,Yes,4,No,-,Both,K:1:2:3:4,110376,2018,15.86,55.0,1.53,2006.0,2.19,E
1,Yes,4,No,-,Both,K:1:2:3:4,110379,2018,21.21,61.0,1.36,2006.0,1.53,E
1,Yes,9:10:11:12,Yes,9:10:11:12,Both,9:10:11:12,110380,2018,10.09,88.0,1.6,2006.0,0.77,H
5,Yes,7:08,Yes,7:08,Both,7:08,110381,2018,14.47,67.0,1.49,2003.0,0.83,M
1,Yes,5:06,Yes,5:06,Both,5:06,110382,2018,19.61,54.0,1.15,2003.0,0.82,M
1,Yes,4:05,Yes,4:05,Staff,-,110384,2018,32.8,42.0,1.83,2000.0,1.32,E
1,Yes,4,No,-,Staff,-,110388,2018,48.57,30.0,1.67,2002.0,0.95,E
1,Yes,7:08,Yes,7:08,Staff,-,110401,2018,20.35,84.0,1.29,2004.0,0.65,M
0,Yes,4,No,-,Staff,-,110408,2018,22.6,67.0,1.37,2002.0,0.87,E
1,Yes,4,No,-,Both,K:1:2:4,110410,2018,31.65,50.0,1.19,2000.0,1.94,E
1,Yes,4:05,No,-,Both,K:1:2:3:4:5,110412,2018,19.34,46.0,1.31,2002.0,1.32,E
0,Yes,9:10:11:12,Yes,9:10:11:12,Staff,-,110416,2018,12.91,145.0,1.13,2000.0,0.65,H
1,Yes,7:08,Yes,7:08,Neither,-,110420,2018,23.04,78.0,1.37,2005.0,0.79,M
1,Yes,4,No,-,Neither,-,110422,2018,28.53,65.0,1.3,2001.0,1.56,E
17,Yes,5:06,Yes,5:06,Staff,-,110425,2018,14.25,72.0,1.57,2011.0,0.93,M
1,Yes,2:03:04,No,-,Staff,-,110428,2018,38.71,41.0,1.32,2004.0,0.88,E
6,No,-,No,-,Staff,-,110432,2018,31.05,32.0,1.45,2001.0,3.59,E
1,Yes,4,No,-,Staff,-,110436,2018,40.55,63.0,1.5,2002.0,1.52,E
1,Yes,K:1:2:3:4,No,-,Staff,-,110444,2018,72.88,23.0,1.53,2001.0,0.67,E
10,Yes,5:06,Yes,6,Staff,-,110450,2018,16.99,58.0,1.16,2007.0,0.98,M
