year,agency_code,subgroup,count,count_masked,den,den_masked,pct,pct_masked,masking
2018.0,862312,ELS,4.0,4.0,517.0,517.0,0.0077,0.0077,
2018.0,862316,ELS,3.0,3.0,356.0,356.0,0.0084,0.0084,
2018.0,870320,ELS,1.0,1.0,409.0,409.0,0.0024,0.0024,
2018.0,880304,ELS,4.0,4.0,525.0,525.0,0.0076,0.0076,
2018.0,880308,ELS,3.0,3.0,736.0,736.0,0.004,0.004,
2018.0,880312,ELS,6.0,6.0,526.0,526.0,0.0114,0.0114,
2018.0,880318,ELS,1.0,1.0,512.0,512.0,0.0019,0.0019,
2018.0,880320,ELS,1.0,1.0,85.0,85.0,0.0117,0.0117,
2018.0,890304,ELS,1.0,1.0,169.0,169.0,0.0059,0.0059,
2018.0,890308,ELS,3.0,3.0,289.0,289.0,0.0103,0.0103,
2018.0,900302,ELS,1.0,1.0,731.0,731.0,0.0013,0.0013,
2018.0,900304,ELS,7.0,7.0,591.0,591.0,0.0118,0.0118,
2018.0,900305,ELS,1.0,1.0,947.0,947.0,0.001,0.001,
2018.0,900306,ELS,12.0,12.0,507.0,507.0,0.0236,0.0236,
2018.0,900307,ELS,2.0,2.0,686.0,686.0,0.0029,0.0029,
2018.0,900308,ELS,10.0,10.0,896.0,896.0,0.0111,0.0111,
2018.0,900311,ELS,3.0,3.0,1613.0,1613.0,0.0018,0.0018,
2018.0,900312,ELS,3.0,3.0,487.0,487.0,0.0061,0.0061,
2018.0,900314,ELS,20.0,20.0,909.0,909.0,0.022000000000000002,0.022000000000000002,
2018.0,900316,ELS,22.0,22.0,991.0,991.0,0.0221,0.0221,
2018.0,900318,ELS,6.0,6.0,472.0,472.0,0.0127,0.0127,
2018.0,900320,ELS,5.0,5.0,591.0,591.0,0.0084,0.0084,
2018.0,900328,ELS,3.0,3.0,786.0,786.0,0.0038,0.0038,
2018.0,900336,ELS,54.0,54.0,1169.0,1169.0,0.0461,0.0461,
2018.0,900341,ELS,1.0,1.0,467.0,467.0,0.0021,0.0021,
2018.0,900342,ELS,12.0,12.0,1712.0,1712.0,0.006999999999999999,0.006999999999999999,
2018.0,900343,ELS,11.0,11.0,1289.0,1289.0,0.0085,0.0085,
2018.0,900344,ELS,2.0,2.0,1222.0,1222.0,0.0016,0.0016,
2018.0,900346,ELS,4.0,4.0,951.0,951.0,0.0042,0.0042,
2018.0,900347,ELS,3.0,3.0,753.0,753.0,0.0039,0.0039,
2018.0,900348,ELS,4.0,4.0,1365.0,1365.0,0.0029,0.0029,
2018.0,900350,ELS,2.0,2.0,1009.0,1009.0,0.0019,0.0019,
