year,agency_code,category_code,grade_eoc,avg_size
2006,090317,,04,22
2006,090318,,00,19
2006,090318,,01,17
2006,090318,,02,16
2006,090318,,03,16
2006,090318,,04,16
2006,090320,,06,20
2006,090320,,07,21
2006,090320,,08,23
2006,090320,,Math I,18
2006,090324,,00,18
2006,090324,,01,20
2006,090324,,02,14
2006,090324,,03,21
2006,090324,,04,18
2006,090328,,00,20
2006,090328,,01,16
2006,090328,,02,23
2006,090328,,03,21
2006,090328,,04,17
2006,090328,,05,12
2006,090328,,06,17
2006,090328,,07,12
2006,090328,,08,11
2006,090330,,Biology,24
2006,090330,,English II,23
2006,090330,,Math I,25
2006,090332,,05,21
2006,090332,,06,16
2006,090332,,07,24
2006,090332,,08,23
2006,090333,,00,13
2006,090333,,01,16
2006,090333,,02,20
2006,090333,,03,15
2006,090333,,04,22
2006,090352,,00,19
2006,090352,,01,17
2006,090352,,02,16
2006,090352,,03,15
2006,090352,,04,11
2006,090354,,English II,5
2006,090354,,Math I,7
2006,090365,,05,22
2006,090365,,06,22
2006,090365,,07,21
2006,090365,,08,22
2006,090368,,Biology,22
2006,090368,,English II,26
2006,090368,,Math I,24
2006,090LEA,,00,17
2006,090LEA,,01,17
2006,090LEA,,02,17
2006,090LEA,,03,17
2006,090LEA,,04,18
2006,090LEA,,05,20
2006,090LEA,,06,19
2006,090LEA,,07,20
2006,090LEA,,08,20
2006,090LEA,,Biology,23
2006,090LEA,,English II,18
2006,090LEA,,Math I,20
2006,100302,,00,17
2006,100302,,01,18
2006,100302,,02,19
2006,100302,,03,25
2006,100302,,04,21
2006,100302,,05,24
2006,100304,,00,22
2006,100304,,01,23
2006,100304,,02,20
2006,100304,,03,23
2006,100304,,04,22
2006,100304,,05,21
2006,100308,,07,10
2006,100308,,08,11
2006,100308,,Biology,10
2006,100308,,English II,8
2006,100308,,Math I,8
2006,100310,,00,21
2006,100310,,01,23
2006,100310,,02,21
2006,100310,,03,18
2006,100310,,04,17
2006,100310,,05,15
2006,100316,,06,23
2006,100316,,07,25
2006,100316,,08,24
2006,100316,,Math I,29
2006,100320,,00,23
2006,100320,,01,20
2006,100320,,02,18
2006,100320,,03,17
2006,100320,,04,17
2006,100320,,05,26
2006,100326,,Biology,23
2006,100326,,English II,22
2006,100326,,Math I,20
2006,100332,,06,24
2006,100332,,07,25
2006,100332,,08,24
2006,100332,,Math I,26
2006,100334,,Biology,24
2006,100334,,English II,23
2006,100334,,Math I,16
2006,100335,,06,20
2006,100335,,07,20
2006,100335,,08,22
2006,100335,,Math I,31
2006,100336,,00,17
2006,100336,,01,21
2006,100336,,02,20
2006,100336,,03,18
2006,100336,,04,22
2006,100336,,05,23
2006,100338,,00,22
2006,100338,,01,19
2006,100338,,02,21
2006,100338,,03,20
2006,100338,,04,18
2006,100338,,05,19
2006,100340,,00,20
2006,100340,,01,16
2006,100340,,02,22
2006,100340,,03,22
2006,100340,,04,23
2006,100340,,05,23
2006,100342,,00,22
2006,100342,,01,21
2006,100342,,02,17
2006,100342,,03,22
2006,100342,,04,15
2006,100342,,05,21
2006,100344,,00,17
2006,100344,,01,18
2006,100344,,02,16
2006,100344,,03,18
2006,100344,,04,15
2006,100344,,05,26
2006,100344,,06,21
2006,100344,,07,21
2006,100344,,08,17
2006,100344,,Math I,17
2006,100348,,Biology,25
2006,100348,,English II,20
2006,100348,,Math I,24
2006,100LEA,,00,20
2006,100LEA,,01,20
2006,100LEA,,02,19
2006,100LEA,,03,20
2006,100LEA,,04,19
2006,100LEA,,05,22
2006,100LEA,,06,22
2006,100LEA,,07,20
2006,100LEA,,08,20
2006,100LEA,,Biology,21
2006,100LEA,,English II,18
2006,100LEA,,Math I,21
2006,10A000,,00,24
2006,10A000,,01,23
2006,10A000,,02,24
2006,10A000,,03,24
2006,10A000,,04,24
2006,10A000,,05,25
2006,10A000,,06,24
2006,10A000,,07,19
2006,110303,,08,10
2006,110303,,Biology,5
2006,110303,,English II,8
2006,110303,,Math I,12
2006,110304,,Biology,21
2006,110304,,English II,22
2006,110304,,Math I,23
2006,110306,,07,11
2006,110306,,Math I,27
2006,110308,,00,16
