LEA Name,unit_code,School Name,SBE District,SPG Grade,SPG Score,Reading SPG Grade,Reading  SPG Score,Math SPG Grade,Math SPG Score,EVAAS Growth Status,EVAAS Growth Score,Overall Achievement Score,Read Score,Math Score,Science Score,Math I Score,English II Score,Biology Score,The ACT Score,ACT WorkKeys Score,Math Course Rigor Score,Cohort Graduation Rate Standard Score,State Gap Compared
Buncombe County Schools,110416,Roberson High,Western,B,73.0,,,,,NotMet,60.6,76,,,,64,73,61,72,76,100,93,
Buncombe County Schools,110420,Valley Springs Middle,Western,B,74.0,C,69.0,C,68.0,Exceeded,98.0,68,64,62,78,100,,,,,,,
Buncombe County Schools,110422,Estes Elementary,Western,B,71.0,B,73.0,B,71.0,Met,72.3,71,72,71,,,,,,,,,
Buncombe County Schools,110428,Weaverville Elementary,Western,B,70.0,C,68.0,B,72.0,Met,75.3,69,67,70,,,,,,,,,
Buncombe County Schools,110432,Weaverville Primary,Western,I,,,,,,,,,,,,,,,,,,,
Buncombe County Schools,110436,West Buncombe Elementary,Western,B,71.0,C,64.0,B,77.0,Exceeded,86.4,67,61,73,,,,,,,,,
Buncombe County Schools,110444,Woodfin Elementary,Western,C,68.0,C,66.0,B,71.0,Met,81.7,65,62,68,,,,,,,,,
Buncombe County Schools,110450,Koontz Intermediate,Western,C,63.0,C,66.0,C,62.0,NotMet,67.2,63,64,59,67,,,,,,,,
Buncombe County Schools,110451,Eblen Intermediate,Western,C,56.0,C,57.0,C,58.0,Met,72.4,52,51,52,54,,,,,,,,
Buncombe County Schools,110500,Nesbitt Discovery Academy,Western,A,94.0,,,,,Met,84.8,100,,,,100,,,,,,,Insufficient Data
Asheville City Schools,111302,Asheville High,Western,C,66.0,,,,,NotMet,53.3,69,,,,49,66,55,67,59,100,84,
Asheville City Schools,111304,Hall Fletcher Elementary,Western,D,51.0,D,52.0,D,53.0,NotMet,69.4,46,47,47,38,,,,,,,,
Asheville City Schools,111306,Isaac Dickson Elementary,Western,B,75.0,B,74.0,B,75.0,Met,79.9,73,73,73,76,,,,,,,,
Asheville City Schools,111312,Claxton Elementary,Western,C,64.0,C,68.0,C,62.0,NotMet,53.6,67,69,64,70,,,,,,,,
Asheville City Schools,111332,Ira B Jones Elementary,Western,B,71.0,B,71.0,B,73.0,Met,82.1,68,68,70,62,,,,,,,,
Asheville City Schools,111356,Asheville Middle,Western,C,62.0,C,65.0,C,58.0,NotMet,61.3,63,62,57,71,95,,,,,,,
Asheville City Schools,111360,Vance Elementary,Western,B,75.0,B,77.0,C,69.0,Met,73.5,75,77,71,85,,,,,,,,
Asheville City Schools,111700,School of Inquiry and Life Sciences,Western,A,87.0,,,,,Exceeded,91.4,86,,,,69,94,85,90,93,100,94,Insufficient Data
Burke County Schools,120304,Chesterfield Elementary,Northwest,C,57.0,C,55.0,D,53.0,Met,74.9,53,50,49,77,,,,,,,,
Burke County Schools,120308,Hallyburton Academy,Northwest,,,,,,,,,,,,,,,,,,,,
Burke County Schools,120310,Burke Middle College,Northwest,A,99.0,,,,,,,100,,,,,,,100,,100,100,Insufficient Data
Burke County Schools,120312,Drexel Elementary,Northwest,C,63.0,C,62.0,C,56.0,Exceeded,89.5,57,57,49,82,,,,,,,,
Burke County Schools,120314,East Burke High,Northwest,C,64.0,,,,,NotMet,50.0,68,,,,60,52,49,63,72,100,92,
Burke County Schools,120315,East Burke Middle,Northwest,B,70.0,B,71.0,C,58.0,Met,79.3,67,68,58,89,100,,,,,,,
Burke County Schools,120316,Forest Hill Elementary,Northwest,C,68.0,C,66.0,C,67.0,Met,82.2,65,63,63,76,,,,,,,,
Burke County Schools,120318,Freedom High,Northwest,C,68.0,,,,,Met,70.9,68,,,,55,62,58,52,67,95,92,
