metrics,year,unit_code,Lea_Name,School_Name,State_Name,category_cd,pct,num,lea_num,lea_pct,st_num,st_pct
GCE_ALL,2015,60C000,Charter and Non-District Affiliated Schools,Kennedy Charter,State Of North Carolina,A,0.077,2.0,,,12367.0,0.104
GCE_ALL,2015,60F000,Charter and Non-District Affiliated Schools,Metrolina Reg Scholars Academy,State Of North Carolina,I,0.0,0.0,,,12367.0,0.104
GCE_ALL,2015,60G000,Charter and Non-District Affiliated Schools,Queen's Grant Community School,State Of North Carolina,A,0.012,1.0,,,12367.0,0.104
GCE_ALL,2015,60I000,Charter and Non-District Affiliated Schools,Community School of Davidson,State Of North Carolina,A,0.021,2.0,,,12367.0,0.104
GCE_ALL,2015,60J000,Charter and Non-District Affiliated Schools,Socrates Academy,State Of North Carolina,I,0.0,0.0,,,12367.0,0.104
GCE_ALL,2015,60M000,Charter and Non-District Affiliated Schools,Corvian Community School,State Of North Carolina,E,0.06,5.0,,,12367.0,0.104
GCE_ALL,2015,60N000,Charter and Non-District Affiliated Schools,Aristotle Preparatory Academy,State Of North Carolina,E,0.0,0.0,,,12367.0,0.104
GCE_ALL,2015,60P000,Charter and Non-District Affiliated Schools,Charlotte Choice Charter,State Of North Carolina,E,0.0,0.0,,,12367.0,0.104
GCE_ALL,2015,60Q000,Charter and Non-District Affiliated Schools,Invest Collegiate Transform,State Of North Carolina,I,0.292,19.0,,,12367.0,0.104
GCE_ALL,2015,60S000,Charter and Non-District Affiliated Schools,Bradford Preparatory School,State Of North Carolina,I,0.068,3.0,,,12367.0,0.104
GCE_ALL,2015,60Y000,Charter and Non-District Affiliated Schools,Pioneer Springs Community School,State Of North Carolina,E,0.044,2.0,,,12367.0,0.104
GCE_ALL,2015,610310,Mitchell County Schools,Deyton Elementary,State Of North Carolina,E,0.321,27.0,34.0,0.256,12367.0,0.104
GCE_ALL,2015,610320,Mitchell County Schools,Gouge Elementary,State Of North Carolina,E,0.143,7.0,34.0,0.256,12367.0,0.104
GCE_ALL,2015,61J000,Charter and Non-District Affiliated Schools,Thunderbird Preparatory Academy,State Of North Carolina,E,0.067,4.0,,,12367.0,0.104
GCE_ALL,2015,620312,Montgomery County Schools,Candor Elementary,State Of North Carolina,E,0.106,5.0,60.0,0.197,12367.0,0.104
GCE_ALL,2015,620318,Montgomery County Schools,Green Ridge Elementary,State Of North Carolina,E,0.256,20.0,60.0,0.197,12367.0,0.104
GCE_ALL,2015,620324,Montgomery County Schools,Mount Gilead Elementary,State Of North Carolina,E,0.193,11.0,60.0,0.197,12367.0,0.104
GCE_ALL,2015,620330,Montgomery County Schools,Page Street Elementary,State Of North Carolina,E,0.192,15.0,60.0,0.197,12367.0,0.104
GCE_ALL,2015,620334,Montgomery County Schools,Star Elementary,State Of North Carolina,E,0.2,9.0,60.0,0.197,12367.0,0.104
GCE_ALL,2015,630308,Moore County Schools,Aberdeen Elementary,State Of North Carolina,E,0.111,12.0,116.0,0.115,12367.0,0.104
GCE_ALL,2015,630312,Moore County Schools,Cameron Elementary,State Of North Carolina,E,0.277,13.0,116.0,0.115,12367.0,0.104
GCE_ALL,2015,630316,Moore County Schools,Carthage Elementary,State Of North Carolina,E,0.095,7.0,116.0,0.115,12367.0,0.104
GCE_ALL,2015,630324,Moore County Schools,Sandhills Farm Life Elementary,State Of North Carolina,E,0.026,3.0,116.0,0.115,12367.0,0.104
GCE_ALL,2015,630328,Moore County Schools,Highfalls Elementary,State Of North Carolina,I,0.167,6.0,116.0,0.115,12367.0,0.104
GCE_ALL,2015,630342,Moore County Schools,Pinehurst Elementary,State Of North Carolina,E,0.13,9.0,116.0,0.115,12367.0,0.104
GCE_ALL,2015,630348,Moore County Schools,Robbins Elementary,State Of North Carolina,E,0.381,32.0,116.0,0.115,12367.0,0.104
GCE_ALL,2015,630356,Moore County Schools,Southern Pines Elementary,State Of North Carolina,E,0.03,4.0,116.0,0.115,12367.0,0.104
GCE_ALL,2015,630364,Moore County Schools,Vass-Lakeview Elementary,State Of North Carolina,E,0.128,12.0,116.0,0.115,12367.0,0.104
GCE_ALL,2015,630368,Moore County Schools,West End Elementary,State Of North Carolina,E,0.156,12.0,116.0,0.115,12367.0,0.104
GCE_ALL,2015,630373,Moore County Schools,West Pine Elementary,State Of North Carolina,E,0.017,2.0,116.0,0.115,12367.0,0.104
GCE_ALL,2015,630376,Moore County Schools,Westmoore Elementary,State Of North Carolina,I,0.078,4.0,116.0,0.115,12367.0,0.104
