year,unit_code,grade,pct_prof,School_Name,Lea_Name,State_Name
2017,200350,9,69,Tri-County Early College High,Cherokee County Schools,State Of North Carolina
2017,20A000,6,41.2,The Learning Center,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,210304,6,35.5,Chowan Middle,Edenton-Chowan Schools,State Of North Carolina
2017,210312,9,28.4,John A Holmes High,Edenton-Chowan Schools,State Of North Carolina
2017,220310,9,37.4,Hayesville High,Clay County Schools,State Of North Carolina
2017,220312,6,36.5,Hayesville Middle,Clay County Schools,State Of North Carolina
2017,230312,9,33.8,Burns High,Cleveland County Schools,State Of North Carolina
2017,230316,6,49.6,Burns Middle,Cleveland County Schools,State Of North Carolina
2017,230322,9,68.5,Cleveland ECHS,Cleveland County Schools,State Of North Carolina
2017,230324,9,27.8,Crest High,Cleveland County Schools,State Of North Carolina
2017,230328,6,47.8,Crest Middle,Cleveland County Schools,State Of North Carolina
2017,230330,6,0,"Turning Point Academy, Shelby",Cleveland County Schools,State Of North Carolina
2017,230330,9,0,"Turning Point Academy, Shelby",Cleveland County Schools,State Of North Carolina
2017,230336,6,42.1,Shelby Intermediate,Cleveland County Schools,State Of North Carolina
2017,230350,9,29.5,Kings Mountain High,Cleveland County Schools,State Of North Carolina
2017,230351,6,50,Kings Mountain Intermediate,Cleveland County Schools,State Of North Carolina
2017,230359,6,0,North Shelby,Cleveland County Schools,State Of North Carolina
2017,230359,9,0,North Shelby,Cleveland County Schools,State Of North Carolina
2017,230361,9,31.9,Shelby High,Cleveland County Schools,State Of North Carolina
2017,23A000,6,62,Pinnacle Classical Academy,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,23A000,9,46.4,Pinnacle Classical Academy,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,240304,6,38.1,Acme Delco Middle,Columbus County Schools,State Of North Carolina
2017,240328,6,48.8,Cerro Gordo Elementary,Columbus County Schools,State Of North Carolina
2017,240330,6,22.2,Chadbourn Middle,Columbus County Schools,State Of North Carolina
2017,240334,9,31.2,East Columbus High,Columbus County Schools,State Of North Carolina
2017,240344,6,24.2,Evergreen Elementary,Columbus County Schools,State Of North Carolina
2017,240356,6,18.1,Hallsboro Middle,Columbus County Schools,State Of North Carolina
2017,240368,6,50.7,Nakina Middle,Columbus County Schools,State Of North Carolina
2017,240371,9,33.2,South Columbus High,Columbus County Schools,State Of North Carolina
2017,240373,9,43.4,CCCA - Fair Bluff /Southeastern Campuses,Columbus County Schools,State Of North Carolina
2017,240376,6,31.3,Tabor City Middle,Columbus County Schools,State Of North Carolina
2017,240380,9,36.5,West Columbus High,Columbus County Schools,State Of North Carolina
2017,240388,6,40.3,Williams Township,Columbus County Schools,State Of North Carolina
2017,241304,6,45.5,"Central Middle, Whiteville",Whiteville City Schools,State Of North Carolina
2017,241312,9,0,North Whiteville Academy,Whiteville City Schools,State Of North Carolina
2017,241316,9,32.8,Whiteville High,Whiteville City Schools,State Of North Carolina
2017,24B000,6,0,Thomas Academy,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,24B000,9,30.8,Thomas Academy,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,24N000,6,46,Columbus Charter School,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,250314,9,41.9,Craven Early College High,Craven County Schools,State Of North Carolina
2017,250321,9,61,Early College EAST High,Craven County Schools,State Of North Carolina
2017,250324,6,47.1,Grover C Fields Middle,Craven County Schools,State Of North Carolina
2017,250332,6,46.8,H J MacDonald Middle,Craven County Schools,State Of North Carolina
2017,250340,9,38.8,Havelock High,Craven County Schools,State Of North Carolina
2017,250344,6,40.8,Havelock Middle,Craven County Schools,State Of North Carolina
2017,250356,9,38.3,New Bern High,Craven County Schools,State Of North Carolina
2017,250368,6,58,Tucker Creek Middle,Craven County Schools,State Of North Carolina
2017,250372,9,27.5,West Craven High,Craven County Schools,State Of North Carolina
2017,250376,6,44,West Craven Middle,Craven County Schools,State Of North Carolina
2017,260318,9,49.5,Jack Britt High,Cumberland County Schools,State Of North Carolina
2017,260322,9,15.9,Douglas Byrd High,Cumberland County Schools,State Of North Carolina
2017,260325,9,38.1,Cape Fear High,Cumberland County Schools,State Of North Carolina
2017,260336,6,33,Anne Chesnutt Middle,Cumberland County Schools,State Of North Carolina
2017,260347,9,66.2,Cumberland International Early CollegeHS,Cumberland County Schools,State Of North Carolina
2017,260354,9,81.6,Cross Creek Early College,Cumberland County Schools,State Of North Carolina
2017,260357,9,38.1,Grays Creek High,Cumberland County Schools,State Of North Carolina
2017,260358,6,40.7,Luther Nick Jeralds Middle,Cumberland County Schools,State Of North Carolina
2017,260359,9,16.7,E E Smith High,Cumberland County Schools,State Of North Carolina
2017,260362,6,49.4,Grays Creek Middle,Cumberland County Schools,State Of North Carolina
2017,260365,6,45.8,R Max Abbott Middle,Cumberland County Schools,State Of North Carolina
2017,260368,6,50.6,Hope Mills Middle,Cumberland County Schools,State Of North Carolina
2017,260369,6,65,John R Griffin Middle,Cumberland County Schools,State Of North Carolina
2017,260371,6,29.2,Ireland Drive Middle,Cumberland County Schools,State Of North Carolina
2017,260372,6,25.9,Lewis Chapel Middle,Cumberland County Schools,State Of North Carolina
2017,260374,9,0,Alger B. Wilkins High School,Cumberland County Schools,State Of North Carolina
2017,260383,6,56.5,Mac Williams Middle,Cumberland County Schools,State Of North Carolina
2017,260388,9,55.1,Massey Hill Classical High,Cumberland County Schools,State Of North Carolina
2017,260406,6,59.6,Pine Forest Middle,Cumberland County Schools,State Of North Carolina
