year,unit_code,Number_Industry_Recognized_Crede,School_Name,Lea_Name,State_Name
2017,590330,784,McDowell High,McDowell County Schools,State Of North Carolina
2017,590393,16,McDowell,McDowell County Schools,State Of North Carolina
2017,600302,534,Ardrey Kell High,Charlotte-Mecklenburg Schools,State Of North Carolina
2017,600312,499,William Amos Hough High,Charlotte-Mecklenburg Schools,State Of North Carolina
2017,600334,6,Cato Middle College High,Charlotte-Mecklenburg Schools,State Of North Carolina
2017,600341,13,Cochrane Collegiate Academy,Charlotte-Mecklenburg Schools,State Of North Carolina
2017,600361,78,Butler High,Charlotte-Mecklenburg Schools,State Of North Carolina
2017,600364,166,Military and Global Leadership Academy,Charlotte-Mecklenburg Schools,State Of North Carolina
2017,600377,60,East Mecklenburg High,Charlotte-Mecklenburg Schools,State Of North Carolina
2017,600386,13,Hawthorne High,Charlotte-Mecklenburg Schools,State Of North Carolina
2017,600397,49,Garinger High,Charlotte-Mecklenburg Schools,State Of North Carolina
2017,600404,3,Harper Middle College High,Charlotte-Mecklenburg Schools,State Of North Carolina
2017,600405,115,Harding University High,Charlotte-Mecklenburg Schools,State Of North Carolina
2017,600415,159,Hopewell High,Charlotte-Mecklenburg Schools,State Of North Carolina
2017,600426,352,Independence High,Charlotte-Mecklenburg Schools,State Of North Carolina
2017,600443,12,Levine Middle College High,Charlotte-Mecklenburg Schools,State Of North Carolina
2017,600445,206,Mallard Creek High,Charlotte-Mecklenburg Schools,State Of North Carolina
2017,600457,48,Rocky River High,Charlotte-Mecklenburg Schools,State Of North Carolina
2017,600466,64,Myers Park High,Charlotte-Mecklenburg Schools,State Of North Carolina
2017,600480,183,North Mecklenburg High,Charlotte-Mecklenburg Schools,State Of North Carolina
2017,600482,1,Northwest School of the Arts,Charlotte-Mecklenburg Schools,State Of North Carolina
2017,600496,301,Phillip O Berry Academy of Technology,Charlotte-Mecklenburg Schools,State Of North Carolina
2017,600498,2,"Performance Learning Center, Charlotte",Charlotte-Mecklenburg Schools,State Of North Carolina
2017,600508,167,Providence High,Charlotte-Mecklenburg Schools,State Of North Carolina
2017,600535,150,South Mecklenburg High,Charlotte-Mecklenburg Schools,State Of North Carolina
2017,600576,51,West Charlotte High,Charlotte-Mecklenburg Schools,State Of North Carolina
2017,600579,48,West Mecklenburg High,Charlotte-Mecklenburg Schools,State Of North Carolina
2017,600592,70,Vance High,Charlotte-Mecklenburg Schools,State Of North Carolina
2017,600693,11,Olympic High - Renaissance School,Charlotte-Mecklenburg Schools,State Of North Carolina
2017,600694,53,Olympic High-Math Eng Tech Science,Charlotte-Mecklenburg Schools,State Of North Carolina
2017,600695,17,Olympic TEAM High School,Charlotte-Mecklenburg Schools,State Of North Carolina
2017,600696,37,Olympic High-Leadership and Development,Charlotte-Mecklenburg Schools,State Of North Carolina
2017,600697,68,Olympic High - Biotech Health Pub Admin,Charlotte-Mecklenburg Schools,State Of North Carolina
2017,610332,9,Mayland Early College,Mitchell County Schools,State Of North Carolina
2017,610334,356,Mitchell High,Mitchell County Schools,State Of North Carolina
2017,620310,15,Montgomery Learning Academy,Montgomery County Schools,State Of North Carolina
2017,620316,662,East Montgomery High,Montgomery County Schools,State Of North Carolina
2017,620340,601,West Montgomery High,Montgomery County Schools,State Of North Carolina
2017,630332,178,North Moore High,Moore County Schools,State Of North Carolina
2017,630336,493,Pinecrest High,Moore County Schools,State Of North Carolina
2017,630360,139,Union Pines High,Moore County Schools,State Of North Carolina
2017,640340,7,Tar River Academy,Nash-Rocky Mount Schools,State Of North Carolina
2017,640346,342,Nash Central High,Nash-Rocky Mount Schools,State Of North Carolina
2017,640350,314,Northern Nash High,Nash-Rocky Mount Schools,State Of North Carolina
2017,640361,538,Rocky Mount High,Nash-Rocky Mount Schools,State Of North Carolina
2017,640364,473,Southern Nash High,Nash-Rocky Mount Schools,State Of North Carolina
2017,650326,424,Emsley A Laney High,New Hanover County Schools,State Of North Carolina
2017,650327,695,Eugene Ashley High,New Hanover County Schools,State Of North Carolina
2017,650340,230,Isaac M Bear Early College High School,New Hanover County Schools,State Of North Carolina
2017,650342,521,John T Hoggard High,New Hanover County Schools,State Of North Carolina
2017,650352,452,New Hanover High,New Hanover County Schools,State Of North Carolina
2017,650355,6,Career Readiness Academy at Mosley PLC,New Hanover County Schools,State Of North Carolina
2017,650394,225,Wilmington Early College High,New Hanover County Schools,State Of North Carolina
2017,660336,80,Northampton County High School,Northampton County Schools,State Of North Carolina
2017,670320,358,Dixon High,Onslow County Schools,State Of North Carolina
2017,670324,610,Jacksonville High,Onslow County Schools,State Of North Carolina
2017,670333,433,"Northside High, Jacksonville",Onslow County Schools,State Of North Carolina
2017,670340,608,Richlands High,Onslow County Schools,State Of North Carolina
2017,670344,767,Southwest High,Onslow County Schools,State Of North Carolina
2017,670352,642,Swansboro High,Onslow County Schools,State Of North Carolina
2017,670364,377,White Oak High,Onslow County Schools,State Of North Carolina
2017,680310,169,Cedar Ridge High,Orange County Schools,State Of North Carolina
2017,680332,147,Orange High,Orange County Schools,State Of North Carolina
2017,681305,87,Carrboro High,Chapel Hill-Carrboro Schools,State Of North Carolina
2017,681308,68,Chapel Hill High,Chapel Hill-Carrboro Schools,State Of North Carolina
2017,681314,20,East Chapel Hill High,Chapel Hill-Carrboro Schools,State Of North Carolina
2017,681338,3,Phoenix Academy High,Chapel Hill-Carrboro Schools,State Of North Carolina
2017,690320,172,Pamlico County High,Pamlico County Schools,State Of North Carolina
2017,69A000,10,Arapahoe Charter School,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,700317,321,Northeastern High,Pasquotank County Schools,State Of North Carolina
2017,700319,780,Pasquotank County High,Pasquotank County Schools,State Of North Carolina
2017,710321,273,Heide Trask High,Pender County Schools,State Of North Carolina
2017,710326,302,Pender High,Pender County Schools,State Of North Carolina
2017,710327,4,Pender Early College High,Pender County Schools,State Of North Carolina
2017,710342,607,Topsail High,Pender County Schools,State Of North Carolina
2017,720316,681,Perquimans County High,Perquimans County Schools,State Of North Carolina
2017,730352,443,Person High,Person County Schools,State Of North Carolina
2017,740309,253,Ayden-Grifton High,Pitt County Schools,State Of North Carolina
2017,740333,1232,D H Conley High,Pitt County Schools,State Of North Carolina
2017,740344,341,Farmville Central High,Pitt County Schools,State Of North Carolina
2017,740366,460,Junius H Rose High,Pitt County Schools,State Of North Carolina
2017,740374,384,North Pitt High,Pitt County Schools,State Of North Carolina
2017,740388,722,South Central High,Pitt County Schools,State Of North Carolina
2017,750318,296,Polk County High School,Polk County Schools,State Of North Carolina
2017,760318,259,Eastern Randolph High,Randolph County Schools,State Of North Carolina
2017,760339,869,Providence Grove High,Randolph County Schools,State Of North Carolina
2017,760348,426,Randleman High,Randolph County Schools,State Of North Carolina
2017,760354,3,Randolph Early College High,Randolph County Schools,State Of North Carolina
2017,760358,756,Southwestern Randolph High,Randolph County Schools,State Of North Carolina
2017,760380,452,Trinity High,Randolph County Schools,State Of North Carolina
2017,760388,350,Wheatmore High,Randolph County Schools,State Of North Carolina
2017,761304,636,Asheboro High,Asheboro City Schools,State Of North Carolina
2017,770342,29,Ashley Chapel Educational Center,Richmond County Schools,State Of North Carolina
2017,770348,1319,Richmond Senior High,Richmond County Schools,State Of North Carolina
2017,770349,8,Richmond Early College High,Richmond County Schools,State Of North Carolina
2017,770351,356,Richmond 9th Grade Academy,Richmond County Schools,State Of North Carolina
2017,780325,182,Fairmont High,Robeson County Schools,State Of North Carolina
2017,780342,512,Lumberton Senior High,Robeson County Schools,State Of North Carolina
2017,780385,117,PSRC Early College at RCC,Robeson County Schools,State Of North Carolina
2017,780391,437,Red Springs High,Robeson County Schools,State Of North Carolina
