year,unit_code,pct_eds,School_Name,Lea_Name,State_Name
2017,340508,52.7,Sedge Garden Elementary,Forsyth County Schools,State Of North Carolina
2017,340512,20.2,Sherwood Forest Elementary,Forsyth County Schools,State Of North Carolina
2017,340514,68.1,Smith Farm Elementary,Forsyth County Schools,State Of North Carolina
2017,340516,50.9,"Southeast Middle, Kernersville",Forsyth County Schools,State Of North Carolina
2017,340520,64.7,South Fork Elementary,Forsyth County Schools,State Of North Carolina
2017,340528,33.0,"Southwest Elementary, Clemmons",Forsyth County Schools,State Of North Carolina
2017,340530,62.3,Speas Elementary,Forsyth County Schools,State Of North Carolina
2017,340531,68.8,The Special Children's School,Forsyth County Schools,State Of North Carolina
2017,340532,59.3,Union Cross Traditional Acad,Forsyth County Schools,State Of North Carolina
2017,340536,19.9,Vienna Elementary,Forsyth County Schools,State Of North Carolina
2017,340540,49.0,Walkertown Elementary,Forsyth County Schools,State Of North Carolina
2017,340542,45.6,Walkertown High,Forsyth County Schools,State Of North Carolina
2017,340544,67.9,Walkertown Middle,Forsyth County Schools,State Of North Carolina
2017,340548,68.8,Ward Elementary,Forsyth County Schools,State Of North Carolina
2017,340556,24.0,West Forsyth High,Forsyth County Schools,State Of North Carolina
2017,340560,19.2,Whitaker Elementary,Forsyth County Schools,State Of North Carolina
2017,340564,51.3,Wiley Magnet Middle,Forsyth County Schools,State Of North Carolina
2017,340568,71.0,Winston-Salem Preparatory Acad,Forsyth County Schools,State Of North Carolina
2017,340LEA,50.2,,Forsyth County Schools,State Of North Carolina
2017,34B000,40.9,Quality Education Academy,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,34D000,100,Carter G Woodson School,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,34F000,84.6,Forsyth Academy,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,34G000,17.1,The Arts Based School,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,34H000,5.6,NC Leadership Charter Academy,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,350304,44.7,Bunn Elementary,Franklin County Schools,State Of North Carolina
2017,350308,52.7,Bunn High,Franklin County Schools,State Of North Carolina
2017,350310,62.2,Bunn Middle,Franklin County Schools,State Of North Carolina
2017,350312,50.8,Cedar Creek Middle,Franklin County Schools,State Of North Carolina
2017,350316,52.4,Edward Best Elementary,Franklin County Schools,State Of North Carolina
2017,350317,53.6,Franklin County Early College,Franklin County Schools,State Of North Carolina
2017,350318,56.9,Franklinton Elementary,Franklin County Schools,State Of North Carolina
2017,350321,42.8,Franklinton High,Franklin County Schools,State Of North Carolina
2017,350324,51.6,Franklinton Middle,Franklin County Schools,State Of North Carolina
2017,350330,57.2,Laurel Mill Elementary,Franklin County Schools,State Of North Carolina
2017,350331,57.5,Long Mill Elementary,Franklin County Schools,State Of North Carolina
2017,350332,61.2,Louisburg Elementary,Franklin County Schools,State Of North Carolina
2017,350336,57.1,Louisburg High,Franklin County Schools,State Of North Carolina
2017,350338,52.1,Terrell Lane Middle,Franklin County Schools,State Of North Carolina
2017,350339,50.7,Royal Elementary,Franklin County Schools,State Of North Carolina
2017,350340,48.5,Youngsville Elementary,Franklin County Schools,State Of North Carolina
2017,350LEA,52.5,,Franklin County Schools,State Of North Carolina
2017,35A000,30.9,Crosscreek Charter School,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,35B000,12.5,Youngsville Academy,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,360310,60.1,Ashbrook High,Gaston County Schools,State Of North Carolina
2017,360320,27.4,Belmont Central Elementary,Gaston County Schools,State Of North Carolina
2017,360324,33.9,Belmont Middle,Gaston County Schools,State Of North Carolina
2017,360332,66.0,Bessemer City Central Elem,Gaston County Schools,State Of North Carolina
2017,360336,61.0,Bessemer City High,Gaston County Schools,State Of North Carolina
2017,360337,40.9,Gaston Early College High School,Gaston County Schools,State Of North Carolina
2017,360338,70.7,Bessemer City Primary,Gaston County Schools,State Of North Carolina
2017,360339,54.6,W B Beam Intermediate School,Gaston County Schools,State Of North Carolina
2017,360340,56.0,Brookside Elementary,Gaston County Schools,State Of North Carolina
2017,360344,60.5,Carr Elementary,Gaston County Schools,State Of North Carolina
2017,360348,62.8,Catawba Heights Elementary,Gaston County Schools,State Of North Carolina
2017,360352,57.8,Chapel Grove Elementary,Gaston County Schools,State Of North Carolina
2017,360360,51.2,Cherryville High,Gaston County Schools,State Of North Carolina
2017,360364,61.1,Cherryville Elementary,Gaston County Schools,State Of North Carolina
2017,360372,70.1,Warlick Academy,Gaston County Schools,State Of North Carolina
