agency_code,pct_aig_wk,pct_all_wk,pct_am7_wk,pct_as7_wk,pct_bl7_wk,pct_eds_wk,pct_els_wk,pct_fem_wk,pct_hi7_wk,pct_hms_wk,pct_male_wk,pct_mig_wk,pct_mil_wk,pct_mu7_wk,pct_neds_wk,pct_nswd_wk,pct_swd_wk,pct_wh7_wk
960386,,79.2,,,,72.5,,85.3,74.3,,73.7,,,,87.5,80.3,,89.7
970320,,80.9,,,,73.1,,91.9,,,67.7,,,,85.7,85.5,,85.7
970356,,63.2,,,,61.3,,73.3,,,55.3,,,,64.9,67.2,,68.5
970388,95.0,79.2,,,,77.8,,83.9,,,73.3,,,,79.7,82.5,,81.1
970390,95.0,62.5,,,20.0,48.6,,64.7,57.9,,60.4,,,,69.6,66.3,,71.9
980318,,39.1,,,21.4,72.2,,39.5,63.2,,38.5,,,,26.1,39.7,,42.9
980336,,54.2,,,39.3,46.2,,65.4,50.0,,29.7,,,,55.2,59.3,5.0,78.4
980342,,55.0,,,47.7,53.3,,48.9,44.4,,59.1,,,,55.2,56.7,,65.9
990322,92.9,72.4,,,,58.1,,70.3,58.3,,74.6,,,,79.8,73.0,,76.0
990326,95.0,52.1,,,,48.0,,64.5,30.0,,42.5,,,,54.3,57.4,20.0,55.0
995330,94.7,65.9,,,,56.9,,76.9,50.0,,58.4,,,,71.8,69.4,,67.2
