digital_media,agency_code,category_code,device_access,device_access_grades,device_home,device_home_grades,BYOD,byod_grades,Book_TitlesPer_Student,wap,wap_class,media_school,devices
-,490355,H,Yes,9:10:11:12:13,Yes,9:10:11:12:13,No,-,,12,0.92,,0.95
1,490356,E,No,-,No,-,No,-,45.11,24,1.26,1999.0,1.09
2,490360,E,No,-,No,-,No,-,15.55,58,1.53,2002.0,1.44
1,490362,H,Yes,9:10:11:12,Yes,9:10:11:12,No,-,5.43,108,1.3,2003.0,0.97
0,490363,E,No,-,No,-,No,-,21.94,62,1.63,2001.0,1.17
4,490364,E,No,-,No,-,No,-,19.74,78,1.9,2000.0,1.29
1,490366,M,Yes,06:07:08,Yes,06:07:08,No,-,13.83,46,1.7,2005.0,0.66
0,490368,E,No,-,No,-,No,-,27.96,48,1.66,2003.0,0.9
5,490380,H,Yes,9:10:11:12,Yes,9:10:11:12,No,-,11.27,119,1.59,1997.0,0.83
0,490384,M,Yes,06:07:08,Yes,06:07:08,No,-,15.08,55,1.41,2001.0,0.9
0,490390,E,No,-,No,-,No,-,15.61,68,1.66,2005.0,1.19
,490LEA,,,,,,,,15.91,"2,0",1.46,2002.0,1.04
1,491303,E,Yes,04:05:06,Yes,04:05:06,No,-,17.21,75,1.88,2003.0,0.99
-,491305,T,Yes,9:10:11:12,Yes,9:10:11:12,No,-,,26,2.89,,-
3,491306,E,Yes,04:05:06,Yes,04:05:06,No,-,22.26,75,1.42,2004.0,0.92
1,491308,M,Yes,07:08:00,Yes,07:08:00,No,-,9.92,98,1.72,2004.0,1.02
19,491312,H,Yes,9:10:11:12,Yes,9:10:11:12,No,-,9.07,158,1.32,2005.0,0.88
5,491316,E,Yes,K:1:2:3,Yes,3,No,-,12.72,54,1.23,2006.0,0.98
30,491318,E,Yes,K:1:2:3,Yes,3,No,-,23.26,59,1.18,2007.0,0.88
2,491320,E,Yes,K:1:2:3,Yes,3,No,-,21.44,44,1.05,1997.0,0.88
,491LEA,,,,,,,,14.57,589,1.42,2004.0,0.84
0,49B000,I,Yes,4:5:6:7:8,Yes,4:5:6:7:8,No,-,1.84,24,0.75,2005.0,2.34
-,49D000,I,Yes,K:1:2:3:4:5:6:7:8,No,-,No,-,,3,0.38,,3.33
,49,A,,,,,,,1.08,,,2005.0,2.02
-,49F000,A,No,-,No,-,No,-,,44,0.68,,3.96
-,49G000,I,No,-,No,-,No,-,,40,1.82,,3.96
1,500302,T,Yes,7:8:9:10:11:12:13,Yes,7:8:9:10:11:12:13,No,-,35.33,23,1.64,1996.0,0.77
1,500304,I,Yes,07:08:00,Yes,07:08:00,No,-,23.14,59,1.23,1998.0,0.94
10,500314,I,Yes,07:08:00,Yes,07:08:00,No,-,19.4,63,1.62,2002.0,1.1
1,500316,E,Yes,05:06:00,No,-,No,-,31.78,24,1.71,1997.0,1.46
-,500323,H,Yes,9:10:11:12:13,Yes,9:10:11:12:13,Yes,9:10:11:12:13,,7,1.4,,0.89
-,500324,A,Yes,9:10:11:12,No,-,No,-,,21,1.5,,0.31
1,500332,I,Yes,06:07:08,Yes,07:08:00,No,-,24.62,46,1.21,1998.0,1.87
1,500337,I,Yes,06:07:08,Yes,07:08:00,No,-,34.47,45,1.41,2001.0,0.78
1,500340,H,Yes,9:10:11:12,Yes,9:10:11:12,No,-,16.6,91,1.42,2006.0,0.7
,500LEA,,,,,,,,22.95,379,1.41,2000.0,0.9
-,50A000,I,Yes,06:07:08,Yes,06:07:08,No,-,,20,1.05,,2.54
,50Z000,,,,,,,,,,,,-
2,510308,E,Yes,K:1:2:3:4,No,-,No,-,17.48,48,0.98,2003.0,0.66
