agency_code,pct_ready_kea_a_cat_code,pct_ready_kea_e_cat_code,pct_ready_kea_i_cat_code,pct_ready_kea_m_cat_code
840336,,0.0,,
840342,,,59.6,
840344,,59.6,59.6,
840360,,51.9,51.9,
850312,,31.4,,
850314,,36.4,,
850316,,0.0,,
850320,,57.1,,
850328,,10.0,,
850336,,56.5,,
850340,,67.7,,
850342,,41.8,,
850348,,31.3,,
850354,,78.6,,
850356,,44.7,,
860302,,53.1,,
860308,,81.6,,
860312,,82.5,,
860320,,90.3,,
860324,,91.2,,
860332,,0.0,,
860339,,91.4,,
860344,,33.9,,
860348,,0.0,,
860356,,0.0,,
860360,,90.2,,
861304,,64.7,,
862308,,45.9,,
870320,,49.2,,
870324,,65.9,,
880304,,88.2,,
880318,,81.3,,
880324,,78.3,,
880336,,77.8,,
890308,,78.0,,
900302,,57.1,,
900303,,66.0,,
900304,,15.1,,
900305,,53.5,,
900306,,32.8,,
900307,,72.0,,
900312,,79.2,,
900318,,50.0,,
900320,,18.3,,
900328,,57.6,,
900332,,30.9,,
900334,,65.9,,
900340,,44.2,,
900341,,11.3,,
900347,,39.8,,
900351,,0.0,,
900352,,32.3,,
900353,,60.2,,
900354,,35.3,,
900356,,93.0,,
900358,,37.2,,
900363,,32.1,,
900364,,48.6,,
900368,,89.3,,
900370,,31.5,,
900372,,51.7,,
900376,,81.6,,
900380,,14.1,,
900384,,51.3,,
900388,,16.7,,
910304,,58.7,,
910308,,0.0,,
910311,,35.9,,
910314,,17.7,,
910346,,48.0,,
910356,,41.2,,
910360,,42.9,,
910376,,42.1,,
910380,,57.1,,
920302,,33.6,,
920303,,84.3,,
920304,,52.6,,
920306,,71.3,,
920307,,75.0,,
920308,,56.6,,
920320,,55.7,,
920325,,52.9,,
920326,,44.4,,
920327,,54.6,,
920328,,44.7,,
920329,,40.7,,
920332,,49.2,,
920334,,47.0,,
920336,,39.4,,
920340,,56.0,,
920342,,66.0,,
920344,,46.3,,
920349,,66.3,,
920351,,72.9,,
920352,,31.1,,
920358,,87.0,,
920362,,52.2,,
920364,,51.3,,
920369,,82.7,,
920376,,84.2,,
920380,,86.8,,
920384,,38.9,,
920390,,60.3,,
920393,,59.4,,
920396,,81.7,,
920398,,52.3,,
920403,,16.0,,
920413,,51.2,,
920414,,54.8,,
920415,,64.9,,
920416,,63.8,,
920417,,75.0,,
920420,,55.6,,
920439,,28.2,,
920440,,76.4,,
920442,,32.1,32.1,
920443,,43.2,,
920446,,20.0,,
920447,,68.5,,
920448,,51.5,,
920449,,69.2,,
920451,,60.4,,
920452,,52.4,,
920453,,53.9,,
920454,,89.7,,
920456,,62.3,,
920457,,58.9,,
920459,,53.0,,
920460,,88.7,,
920464,,54.3,,
920467,,64.3,,
920468,,76.7,,
920469,,75.7,,
920470,,68.4,,
920474,,63.6,,
920476,,67.2,,
920480,,68.8,,
920488,,98.9,,
920494,,26.4,,
920496,,62.5,,
920501,,61.2,,
920504,,77.5,,
920514,,65.6,,
920516,,27.6,,
920520,,42.7,,
920521,,83.2,,
920522,,38.5,,
920523,,69.6,,
920524,,44.2,,
920525,,59.2,,
920530,,66.7,,
920531,,74.0,,
920532,,56.9,,
920533,,68.8,,
920536,,42.9,,
920540,,52.5,,
920542,,62.9,,
920543,,67.7,,
920544,,60.6,,
920547,,53.6,,
920548,,72.7,,
920550,,74.8,,
920554,,47.6,,
920557,,71.1,,
920560,,57.5,,
920564,,78.1,,
920568,,42.0,,
920569,,54.4,,
920570,,88.6,,
920571,,88.8,,
920572,,63.6,,
920576,,58.8,,
920580,,60.4,,
920584,,74.5,,
920593,,86.7,,
920596,,45.3,,
920597,,67.6,,
920598,,74.0,,
920600,,57.4,,
920606,,76.0,,
920614,,64.4,,
920616,,36.8,,
920618,,64.2,,
920620,,38.0,,
920624,,73.4,,
920626,,43.9,,
920628,,21.8,,
920632,,65.9,,
930330,,19.4,,
930340,,50.9,50.9,
930344,,0.0,,
930348,,0.0,,
940306,,14.3,,
940314,,52.7,,
950308,,,92.3,
950312,,,0.0,
950316,,,73.8,
950320,,,77.8,
950322,,,67.7,
950324,,,76.5,
950328,,,53.7,
950332,,,75.7,
960314,,38.7,,
960316,,17.0,,
960329,,43.2,,
960334,,58.3,,
960336,,12.2,12.2,
960344,,52.8,,
960370,,44.1,,
960382,,26.2,,
960388,,29.6,,
960390,,32.8,,
960450,,57.5,,
960454,,48.7,,
970308,,42.1,,
970310,,97.1,,
970312,,71.2,,
970337,,65.5,,
970340,,92.5,,
970344,,97.0,,
970348,,78.1,,
970352,,67.6,,
970360,,75.9,,
970368,,89.7,,
970370,,75.0,,
970376,,41.7,,
970392,,85.1,,
980308,,45.0,,
980320,,67.1,,
980340,,54.1,,
980344,,2.9,,
980348,,37.5,,
980352,,14.5,,
980356,,8.3,,
980357,,51.1,,
980360,,65.8,,
980364,,56.2,,
980388,,42.4,,
980392,,66.7,,
980396,,45.8,,
980400,,0.0,,
990304,42.6,42.6,42.6,
990308,,58.1,58.1,
990312,,88.9,88.9,
990316,,93.9,93.9,
990320,,96.4,96.4,
990324,,92.5,92.5,
990328,,61.8,61.8,
990336,,34.1,34.1,
995304,,94.3,,
995312,,45.8,,
995320,,68.4,,
995328,,55.0,,
995336,,93.3,,
