agency_code,target_list_ltg_detail,subgroup_list_ltg_detail
120318,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,HI7,SWD,WH7"
120320,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
120324,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
120334,"Math Grades 3-8,Reading Grades 3-8","ALL,AS7,EDS,ELS,HI7,SWD,WH7"
120338,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
120340,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7"
120344,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
120346,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,WH7"
120350,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7,SWD,WH7"
120352,,
120354,,
120360,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
120364,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
120368,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
120370,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,EDS,HI7,WH7"
120372,,
120374,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
120376,"Math Grades 3-8,Reading Grades 3-8","ALL,AS7,BL7,EDS,ELS,MU7,SWD,WH7"
120380,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
120386,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
120390,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
12A000,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
130304,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
130307,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,AS7,BL7,EDS,HI7,WH7"
130308,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
130309,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7,WH7"
130310,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,HI7,SWD,WH7"
130311,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
130312,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,AS7,BL7,EDS,SWD,WH7"
130313,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
130314,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,HI7,SWD,WH7"
130315,"Math Grades 3-8,Reading Grades 3-8","ALL,AS7,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
130316,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,HI7,SWD,WH7"
130317,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS"
130318,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
130319,"Math Grades 3-8,Reading Grades 3-8","ALL,AS7,BL7,EDS,HI7,SWD,WH7"
130320,"Math Grades 3-8,Reading Grades 3-8","ALL,AS7,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
130321,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
130322,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
130323,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,HI7,SWD,WH7"
130324,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,SWD,WH7"
130325,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
130326,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,HI7,SWD,WH7"
130327,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
130328,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,WH7"
130329,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
130330,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
130331,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
130332,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,HI7,SWD,WH7"
130333,"4 Year Graduation Rate,Math Grade 11","ALL,WH7"
130336,,
130337,"Math Grades 3-8,Reading Grades 3-8","ALL,AS7,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
130338,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
130340,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
130342,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
130344,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
