agency_code,pct_met_act workkeys_part,pct_met_biology_part,pct_met_english ii_part,pct_met_high school math_part,pct_met_math grades 3-8_part,pct_met_reading grades 3-8_part,pct_met_science grades 5&8_part,pct_met_the act_part,pct_met_total targets_part,target_assign_act workkeys_part,target_assign_biology_part,target_assign_english ii_part,target_assign_high school math_part,target_assign_math grades 3-8_part,target_assign_reading grades 3-8_part,target_assign_science grades 5&8_part,target_assign_the act_part,target_assign_total targets_part,target_met_act workkeys_part,target_met_biology_part,target_met_english ii_part,target_met_high school math_part,target_met_math grades 3-8_part,target_met_reading grades 3-8_part,target_met_science grades 5&8_part,target_met_the act_part,target_met_total targets_part
340366,,,,,100.0,100.0,100.0,,100.0,,,,,8.0,8.0,7.0,,23.0,,,,,8.0,8.0,7.0,,23.0
340368,,,,,100.0,100.0,100.0,,100.0,,,,,5.0,5.0,5.0,,15.0,,,,,5.0,5.0,5.0,,15.0
340372,,,,,100.0,100.0,100.0,,100.0,,,,,8.0,8.0,6.0,,22.0,,,,,8.0,8.0,6.0,,22.0
340376,,,,,100.0,100.0,100.0,,100.0,,,,,5.0,5.0,4.0,,14.0,,,,,5.0,5.0,4.0,,14.0
340380,,,,,100.0,100.0,100.0,,100.0,,,,,6.0,6.0,5.0,,17.0,,,,,6.0,6.0,5.0,,17.0
340382,100.0,83.3,71.4,100.0,,,,100.0,88.5,1.0,6.0,7.0,6.0,,,,6.0,26.0,1.0,5.0,5.0,6.0,,,,6.0,23.0
340384,,,,,100.0,100.0,100.0,,100.0,,,,,6.0,6.0,4.0,,16.0,,,,,6.0,6.0,4.0,,16.0
340385,,,,,0.0,0.0,,,0.0,,,,,3.0,3.0,,,6.0,,,,,0.0,0.0,,,0.0
340390,,,,,100.0,100.0,100.0,,100.0,,,,,5.0,5.0,4.0,,14.0,,,,,5.0,5.0,4.0,,14.0
340392,,,,,100.0,100.0,100.0,,100.0,,,,,8.0,8.0,5.0,,21.0,,,,,8.0,8.0,5.0,,21.0
340400,,,,,100.0,100.0,100.0,,100.0,,,,,7.0,7.0,3.0,,17.0,,,,,7.0,7.0,3.0,,17.0
340403,,,,,100.0,100.0,100.0,,100.0,,,,,6.0,6.0,4.0,,16.0,,,,,6.0,6.0,4.0,,16.0
340406,,,,,100.0,100.0,100.0,,100.0,,,,,9.0,9.0,7.0,,25.0,,,,,9.0,9.0,7.0,,25.0
340416,,,,,100.0,100.0,100.0,,100.0,,,,,7.0,7.0,5.0,,19.0,,,,,7.0,7.0,5.0,,19.0
340420,,,,,100.0,100.0,100.0,,100.0,,,,,7.0,7.0,5.0,,19.0,,,,,7.0,7.0,5.0,,19.0
340424,,,,,100.0,100.0,100.0,,100.0,,,,,3.0,3.0,3.0,,9.0,,,,,3.0,3.0,3.0,,9.0
340426,,,,,100.0,100.0,100.0,,100.0,,,,,8.0,8.0,5.0,,21.0,,,,,8.0,8.0,5.0,,21.0
340427,,,,,0.0,0.0,,,0.0,,,,,3.0,3.0,,,6.0,,,,,0.0,0.0,,,0.0
340428,,,,,100.0,100.0,100.0,,100.0,,,,,6.0,6.0,5.0,,17.0,,,,,6.0,6.0,5.0,,17.0
340430,,,,,100.0,100.0,100.0,,100.0,,,,,6.0,6.0,4.0,,16.0,,,,,6.0,6.0,4.0,,16.0
340432,,,,,100.0,100.0,100.0,,100.0,,,,,4.0,4.0,2.0,,10.0,,,,,4.0,4.0,2.0,,10.0
340436,,,,,16.7,66.7,33.3,,40.0,,,,,6.0,6.0,3.0,,15.0,,,,,1.0,4.0,1.0,,6.0
340440,,,,,100.0,100.0,100.0,,100.0,,,,,6.0,6.0,2.0,,14.0,,,,,6.0,6.0,2.0,,14.0
340442,,,,,100.0,100.0,100.0,,100.0,,,,,9.0,9.0,5.0,,23.0,,,,,9.0,9.0,5.0,,23.0
340446,,100.0,,0.0,,,,100.0,66.7,,1.0,,1.0,,,,1.0,3.0,,1.0,,0.0,,,,1.0,2.0
340448,,,,,100.0,100.0,100.0,,100.0,,,,,6.0,6.0,5.0,,17.0,,,,,6.0,6.0,5.0,,17.0
340452,,,,,100.0,100.0,100.0,,100.0,,,,,6.0,6.0,4.0,,16.0,,,,,6.0,6.0,4.0,,16.0
340453,,,,,100.0,100.0,100.0,,100.0,,,,,6.0,6.0,3.0,,15.0,,,,,6.0,6.0,3.0,,15.0
340454,100.0,100.0,100.0,100.0,,,,100.0,100.0,3.0,6.0,6.0,6.0,,,,6.0,27.0,3.0,6.0,6.0,6.0,,,,6.0,27.0
340457,,,,,100.0,100.0,100.0,,100.0,,,,,7.0,7.0,4.0,,18.0,,,,,7.0,7.0,4.0,,18.0
340460,0.0,100.0,100.0,100.0,,,,16.7,75.0,1.0,6.0,5.0,6.0,,,,6.0,24.0,0.0,6.0,5.0,6.0,,,,1.0,18.0
340462,,,,,100.0,100.0,100.0,,100.0,,,,,5.0,5.0,3.0,,13.0,,,,,5.0,5.0,3.0,,13.0
340464,,,,,100.0,100.0,100.0,,100.0,,,,,8.0,8.0,7.0,,23.0,,,,,8.0,8.0,7.0,,23.0
340472,,,,,100.0,100.0,100.0,,100.0,,,,,6.0,6.0,3.0,,15.0,,,,,6.0,6.0,3.0,,15.0
340476,,,,,100.0,100.0,100.0,,100.0,,,,,6.0,6.0,4.0,,16.0,,,,,6.0,6.0,4.0,,16.0
340480,,,100.0,,100.0,100.0,80.0,,95.0,,,1.0,,7.0,7.0,5.0,,20.0,,,1.0,,7.0,7.0,4.0,,19.0
340486,,85.7,83.3,85.7,,,,0.0,63.0,,7.0,6.0,7.0,,,,7.0,27.0,,6.0,5.0,6.0,,,,0.0,17.0
340488,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.0,3.0,3.0,3.0,4.0,4.0,1.0,3.0,22.0,1.0,3.0,3.0,3.0,4.0,4.0,1.0,3.0,22.0
340490,,,,,100.0,100.0,100.0,,100.0,,,,,5.0,5.0,3.0,,13.0,,,,,5.0,5.0,3.0,,13.0
340492,,,,,85.7,85.7,100.0,,89.5,,,,,7.0,7.0,5.0,,19.0,,,,,6.0,6.0,5.0,,17.0
340494,,,,,100.0,100.0,100.0,,100.0,,,,,5.0,5.0,2.0,,12.0,,,,,5.0,5.0,2.0,,12.0
