agency_code,lp_school,rlp_school,clpc_school
320364,N,N,N
320365,N,N,N
320366,N,N,N
320367,N,N,N
320368,N,N,N
320369,N,N,N
320370,N,N,N
320372,N,N,N
320374,Y,Y,N
320376,N,N,N
320388,Y,Y,N
320400,N,N,N
320701,N,N,N
320LEA,,,
32A000,N,N,N
32B000,N,N,N
32C000,Y,N,Y
32D000,N,N,N
32H000,N,N,N
32K000,N,N,N
32L000,N,N,N
32M000,Y,N,N
32N000,N,N,N
32P000,Y,N,Y
32Q000,Y,N,Y
32R000,N,N,N
32S000,N,N,N
330304,Y,Y,N
330308,N,N,N
330312,Y,Y,N
330326,N,N,N
330328,N,N,N
330332,Y,Y,N
330334,Y,Y,N
330340,Y,Y,N
330344,N,N,N
330348,N,N,N
330350,Y,Y,N
330354,Y,Y,N
330358,Y,Y,N
330360,N,Y,N
330LEA,,,
33A000,N,N,N
340308,Y,Y,N
340311,N,N,N
340314,Y,Y,N
340320,N,N,N
340326,N,N,N
340330,N,N,N
340332,N,N,N
340334,N,N,N
340336,N,N,N
340344,N,N,N
340348,N,N,N
340350,N,N,N
340351,N,N,N
340354,N,N,N
340362,N,N,N
340364,N,N,N
340366,Y,Y,N
340368,Y,Y,N
340372,Y,N,N
340376,Y,Y,N
340380,N,Y,N
340382,N,N,N
340384,N,N,N
340385,N,N,N
340390,Y,Y,N
340392,N,N,N
340398,N,N,N
340400,Y,Y,N
340403,N,N,N
340406,N,N,N
340416,N,N,N
340420,N,N,N
340424,Y,Y,N
340426,N,N,N
340427,N,N,N
340428,N,Y,N
340430,Y,Y,N
340432,N,N,N
340436,N,N,N
340440,N,N,N
340442,N,N,N
340446,N,N,N
340448,N,N,N
340452,Y,Y,N
340453,Y,Y,N
340454,N,N,N
340457,N,N,N
340460,Y,N,N
340462,N,Y,N
340464,N,N,N
340472,N,N,N
340476,Y,Y,N
340480,N,N,N
340486,Y,Y,N
340488,N,N,N
340490,Y,Y,N
340492,Y,Y,N
340494,N,N,N
340495,N,N,N
340496,N,N,N
340504,N,N,N
340508,N,N,N
340512,N,N,N
340514,Y,Y,N
340516,N,N,N
340520,N,N,N
340528,N,N,N
340530,Y,Y,N
340531,N,N,N
340532,N,N,N
340536,N,N,N
340540,N,N,N
340542,N,N,N
340544,N,Y,N
340548,Y,Y,N
