agency_code,welcome_url
260363,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260364,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260365,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260366,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260367,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260368,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260369,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260370,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260371,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260372,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260373,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260374,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260375,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260380,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260382,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260383,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260386,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260388,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260396,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260397,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260398,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260400,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260401,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260402,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260403,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260404,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260405,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260406,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260407,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260408,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260410,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260411,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260412,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260413,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260414,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260415,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260416,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260417,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260418,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260419,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260424,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260425,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260426,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260427,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260428,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260430,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260432,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260434,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260440,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260444,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260446,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260448,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260449,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260450,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260452,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260454,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260455,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260459,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
260700,http://ccs.k12.nc.us/18-19-report-card-message-from-the-superintendent/
280302,https://www.daretolearn.org/about/school-report-cards
280304,https://www.daretolearn.org/about/school-report-cards
280306,https://www.daretolearn.org/about/school-report-cards
280308,https://www.daretolearn.org/about/school-report-cards
280310,https://www.daretolearn.org/about/school-report-cards
280312,https://www.daretolearn.org/about/school-report-cards
280316,https://www.daretolearn.org/about/school-report-cards
280320,https://www.daretolearn.org/about/school-report-cards
280324,https://www.daretolearn.org/about/school-report-cards
280328,https://www.daretolearn.org/about/school-report-cards
280330,https://www.daretolearn.org/about/school-report-cards
291308,http://www.lexcs.org/district_information/district___school_report_cards
291332,http://www.lexcs.org/district_information/district___school_report_cards
291336,http://www.lexcs.org/district_information/district___school_report_cards
291340,http://www.lexcs.org/district_information/district___school_report_cards
291348,http://www.lexcs.org/district_information/district___school_report_cards
291350,http://www.lexcs.org/district_information/district___school_report_cards
291352,http://www.lexcs.org/district_information/district___school_report_cards
300306,http://davie.k12.nc.us/district/departments/instructional/accountability-and-student-information/state-report-card/
300308,http://davie.k12.nc.us/district/departments/instructional/accountability-and-student-information/state-report-card/
300310,http://davie.k12.nc.us/district/departments/instructional/accountability-and-student-information/state-report-card/
300312,http://davie.k12.nc.us/district/departments/instructional/accountability-and-student-information/state-report-card/
300314,http://davie.k12.nc.us/district/departments/instructional/accountability-and-student-information/state-report-card/
