agency_code,ni_effect3,eff_effect3,he_effect3,ni_pct_effect3,eff_pct_effect3,he_pct_effect3
140305,4,4,5,0.3076923192,0.3076923192,0.3846153915
140306,0,5,7,0.0,0.4166666567,0.5833333135000001
140307,0,2,9,0.0,0.1818181872,0.8181818128
140308,1,15,7,0.0434782617,0.6521739364,0.3043478131
140309,3,7,11,0.1428571492,0.3333333433,0.5238095522
140312,0,19,14,0.0,0.5757575631,0.4242424369
140316,5,17,8,0.1666666716,0.5666666627,0.2666666806
140324,5,22,5,0.15625,0.6875,0.15625
140332,7,22,7,0.1944444478,0.6111111045000001,0.1944444478
140336,8,21,8,0.2162162215,0.5675675869,0.2162162215
140340,4,21,12,0.1081081107,0.5675675869,0.3243243098
140344,4,11,3,0.2222222239,0.6111111045000001,0.1666666716
140348,5,43,13,0.08196721230000001,0.7049180268999999,0.2131147534
140352,9,19,17,0.200000003,0.4222222269,0.3777777851
140356,7,18,15,0.174999997,0.4499999881,0.375
140360,4,4,6,0.2857142985,0.2857142985,0.4285714328
140368,5,17,16,0.1315789521,0.4473684132,0.4210526347
140372,2,20,1,0.0869565234,0.8695651889,0.0434782617
140376,0,8,9,0.0,0.470588237,0.5294117928000001
140384,2,14,11,0.0740740746,0.5185185075,0.407407403
140386,15,63,21,0.15151515599999998,0.6363636254999999,0.2121212184
140388,4,7,4,0.2666666806,0.4666666687,0.2666666806
140390,5,49,8,0.0806451589,0.7903226018,0.1290322542
140392,2,7,5,0.1428571492,0.5,0.3571428657
140396,6,13,6,0.2399999946,0.5199999809,0.2399999946
150304,7,10,13,0.2333333343,0.3333333433,0.4333333373
150308,5,11,22,0.1315789521,0.2894736826,0.5789473653
150310,4,15,7,0.1538461596,0.5769230723,0.26923078300000003
150312,2,12,9,0.0869565234,0.5217391253,0.3913043439
150350,1,2,3,0.1666666716,0.3333333433,0.5
160304,0,6,3,0.0,0.6666666864999999,0.3333333433
160306,1,20,13,0.0294117648,0.5882353187,0.3823529482
160308,4,20,12,0.1111111119,0.555555582,0.3333333433
160309,1,1,2,0.25,0.25,0.5
160310,0,17,3,0.0,0.8500000238,0.150000006
160311,2,26,11,0.051282052,0.6666666864999999,0.282051295
160313,2,34,4,0.050000000700000005,0.8500000238,0.1000000015
160314,0,43,12,0.0,0.7818182111,0.2181818187
160316,0,5,2,0.0,0.7142857313,0.2857142985
160317,2,13,3,0.1111111119,0.7222222090000001,0.1666666716
160318,2,27,8,0.0540540554,0.729729712,0.2162162215
160322,1,19,24,0.0227272734,0.4318181872,0.5454545617000001
160324,6,41,11,0.1034482792,0.7068965435,0.1896551698
160326,2,16,12,0.06666667009999999,0.5333333611,0.400000006
160332,3,16,3,0.1363636404,0.7272727489,0.1363636404
160343,0,1,1,0.0,0.5,0.5
160344,5,50,21,0.065789476,0.6578947306,0.2763157785
160352,2,30,22,0.0370370373,0.555555582,0.407407403
170316,9,33,11,0.16981132329999998,0.6226415038,0.2075471729
170334,1,21,2,0.0416666679,0.875,0.0833333358
170338,9,24,4,0.2432432473,0.6486486197,0.1081081107
170339,4,13,10,0.1481481493,0.4814814925,0.3703703582
170342,3,15,3,0.1428571492,0.7142857313,0.1428571492
