agency_code,pct_enrolled_am7_charter,pct_enrolled_as7_charter,pct_enrolled_bl7_charter,pct_enrolled_eds_charter,pct_enrolled_els_charter,pct_enrolled_hi7_charter,pct_enrolled_mu7_charter,pct_enrolled_pi7_charter,pct_enrolled_swd_charter,pct_enrolled_wh7_charter
93A000,69.7,5.0,12.3,60.0,5.0,5.0,11.0,5.0,26.5,5.0
93J000,5.0,5.0,72.2,42.9,10.0,19.8,5.0,5.0,11.7,5.0
93L000,5.0,5.0,52.1,30.4,10.4,35.4,5.0,5.0,25.4,8.8
93M000,5.0,24.5,8.1,6.8,8.1,10.7,5.0,5.0,8.9,54.2
93N000,5.0,5.5,6.4,5.0,5.0,6.9,9.3,5.0,6.9,71.6
93P000,5.0,5.0,16.8,21.4,5.0,11.0,5.0,5.0,13.6,67.0
93Q000,5.0,5.0,6.8,26.4,5.0,17.7,7.1,5.0,5.0,68.2
93R000,5.0,5.0,5.4,5.0,5.0,9.7,5.8,5.0,5.0,75.1
940000,5.0,5.0,78.1,62.0,5.0,7.9,5.0,5.0,14.3,9.5
94A000,5.0,5.0,20.9,28.1,5.0,11.5,5.0,5.0,5.0,64.7
94Z000,5.0,5.0,17.4,28.9,5.0,9.5,10.0,5.0,5.0,61.1
950000,5.0,5.0,5.0,30.7,5.0,9.4,5.0,5.0,19.0,84.5
95A000,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,17.9,95.0
960000,5.0,5.0,33.3,55.6,10.3,24.8,6.3,5.0,14.1,34.2
96C000,5.0,5.0,92.8,81.2,5.0,5.0,5.0,5.0,16.4,5.0
96F000,5.0,5.0,30.9,13.7,5.0,9.8,7.1,5.0,13.7,51.1
970000,5.0,5.0,5.0,36.7,5.0,15.2,7.8,5.0,13.8,73.1
97D000,5.0,5.0,8.1,32.0,5.0,5.0,7.0,5.0,25.6,82.6
980000,5.0,5.0,43.4,33.9,6.3,21.0,5.0,5.0,9.6,29.0
98A000,5.0,5.0,59.4,54.2,15.8,35.1,5.0,5.0,10.3,5.0
98B000,5.0,5.0,41.7,7.3,5.0,10.4,6.3,5.0,7.4,40.0
