agency_code,count_2018_enroll_am7_college,count_2018_enroll_as7_college,count_2018_enroll_all_college,count_2018_enroll_bl7_college,count_2018_enroll_eds_college,count_2018_enroll_els_college,count_2018_enroll_fem_college,count_2018_enroll_hi7_college,count_2018_enroll_male_college,count_2018_enroll_mu7_college,count_2018_enroll_pi7_college,count_2018_enroll_swd_college,count_2018_enroll_wh7_college,count_2018_noenro_am7_college,count_2018_noenro_as7_college,count_2018_noenro_all_college,count_2018_noenro_bl7_college,count_2018_noenro_eds_college,count_2018_noenro_els_college,count_2018_noenro_fem_college,count_2018_noenro_hi7_college,count_2018_noenro_male_college,count_2018_noenro_mu7_college,count_2018_noenro_pi7_college,count_2018_noenro_swd_college,count_2018_noenro_wh7_college,pct_enrolled_2018_enroll_am7_college,pct_enrolled_2018_enroll_as7_college,pct_enrolled_2018_enroll_all_college,pct_enrolled_2018_enroll_bl7_college,pct_enrolled_2018_enroll_eds_college,pct_enrolled_2018_enroll_els_college,pct_enrolled_2018_enroll_fem_college,pct_enrolled_2018_enroll_hi7_college,pct_enrolled_2018_enroll_male_college,pct_enrolled_2018_enroll_mu7_college,pct_enrolled_2018_enroll_swd_college,pct_enrolled_2018_enroll_wh7_college,pct_enrolled_2018_noenro_am7_college,pct_enrolled_2018_noenro_as7_college,pct_enrolled_2018_noenro_all_college,pct_enrolled_2018_noenro_bl7_college,pct_enrolled_2018_noenro_eds_college,pct_enrolled_2018_noenro_els_college,pct_enrolled_2018_noenro_fem_college,pct_enrolled_2018_noenro_hi7_college,pct_enrolled_2018_noenro_male_college,pct_enrolled_2018_noenro_mu7_college,pct_enrolled_2018_noenro_swd_college,pct_enrolled_2018_noenro_wh7_college
110336,,,101.0,3.0,31.0,2.0,42.0,10.0,59.0,7.0,,5.0,81.0,,,56.0,1.0,31.0,1.0,27.0,9.0,29.0,2.0,,10.0,44.0,,,0.6433121019,,0.5,,0.6086956522,0.5263157895,0.6704545454999999,,,0.648,,,0.05,,0.05,,0.05,,0.05,,0.05,0.05
110340,0.0,3.0,108.0,8.0,53.0,3.0,61.0,22.0,47.0,5.0,0.0,4.0,70.0,1.0,1.0,164.0,10.0,88.0,11.0,83.0,49.0,81.0,4.0,4.0,21.0,95.0,,,0.3970588235,,0.3758865248,,0.4236111111,0.3098591549,0.3671875,,,0.4242424242,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.05,0.05
110352,,2.0,126.0,4.0,28.0,3.0,70.0,14.0,56.0,4.0,,5.0,102.0,,0.0,121.0,2.0,66.0,5.0,49.0,22.0,72.0,2.0,,20.0,95.0,,,0.5101214575,,0.2978723404,,0.5882352941,0.3888888889,0.4375,,,0.5177664975,,,0.05,,0.05,,0.05,0.05,0.05,,0.05,0.05
110380,1.0,,135.0,0.0,34.0,0.0,70.0,12.0,65.0,3.0,,1.0,119.0,0.0,,101.0,2.0,48.0,2.0,45.0,14.0,56.0,1.0,,22.0,84.0,,,0.5720338983,,0.4146341463,,0.6086956522,0.4615384615,0.5371900826,,,0.5862068965999999,,,0.05,,0.05,,0.05,0.05,0.05,,0.05,0.05
110416,,9.0,217.0,24.0,41.0,0.0,128.0,15.0,89.0,6.0,,10.0,163.0,,1.0,141.0,21.0,67.0,10.0,63.0,33.0,78.0,6.0,,49.0,80.0,,,0.6061452514,0.5333333333,0.3796296296,,0.6701570681,0.3125,0.5329341317,,0.16949152539999998,0.670781893,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.05,0.05
110500,,4.0,75.0,1.0,15.0,,36.0,6.0,39.0,2.0,,1.0,62.0,,0.0,15.0,1.0,5.0,,5.0,3.0,10.0,0.0,,1.0,11.0,,,0.8333333333,,0.75,,0.8780487805,,0.7959183673000001,,,0.8493150684999999,,,0.05,,,,,,0.05,,,0.05
111302,,4.0,151.0,18.0,22.0,0.0,85.0,7.0,66.0,8.0,1.0,8.0,113.0,,1.0,87.0,31.0,42.0,3.0,38.0,8.0,49.0,4.0,0.0,18.0,43.0,,,0.6344537815,0.3673469388,0.34375,,0.6910569106000001,,0.5739130435,,,0.7243589744,,,0.05,0.05,0.05,,0.05,,0.05,,0.05,0.05
111700,,2.0,76.0,12.0,15.0,,49.0,6.0,27.0,5.0,,7.0,51.0,,0.0,23.0,1.0,3.0,,15.0,4.0,8.0,4.0,,4.0,14.0,,,0.7676767676999999,0.9230769231,0.8333333333,,0.765625,,0.7714285714,,,0.7846153845999999,,,0.05,,,,0.05,,,,,0.05
11C000,,,6.0,,,,6.0,,0.0,0.0,,,6.0,,,1.0,,,,0.0,,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
11D000,,1.0,15.0,1.0,,,5.0,0.0,10.0,1.0,,4.0,12.0,,0.0,10.0,0.0,,,3.0,1.0,7.0,0.0,,2.0,9.0,,,0.6,,,,,,0.5882352941,,,0.5714285714,,,0.05,,,,,,,,,
