agency_code,num_concentrators_aavc_cte_con,num_concentrators_agnr_cte_con,num_concentrators_arch_cte_con,num_concentrators_bma_cte_con,num_concentrators_educ_cte_con,num_concentrators_fina_cte_con,num_concentrators_hlth_cte_con,num_concentrators_hosp_cte_con,num_concentrators_huma_cte_con,num_concentrators_info_cte_con,num_concentrators_law_cte_con,num_concentrators_manu_cte_con,num_concentrators_mrkt_cte_con,num_concentrators_stem_cte_con,num_concentrators_tran_cte_con
380308,,,5.0,,,1.0,10.0,5.0,2.0,4.0,,5.0,,,3.0
390314,,,,,,,,1.0,,,,,,,
390321,,1.0,,,,,,1.0,,,,,,,1.0
390322,7.0,36.0,5.0,1.0,,,,7.0,2.0,,,1.0,2.0,31.0,
390323,,,,1.0,,,,,,,,,,,
390324,2.0,23.0,11.0,1.0,,,,3.0,,9.0,,,1.0,,11.0
390352,,26.0,9.0,11.0,,,20.0,1.0,,,,1.0,2.0,,7.0
390700,,20.0,,,,,5.0,,,,,,,,
400308,9.0,15.0,6.0,5.0,,1.0,39.0,5.0,2.0,1.0,,14.0,3.0,,5.0
400315,,,,,,,,,,,,1.0,,,
410319,8.0,,5.0,14.0,,,29.0,7.0,11.0,9.0,,4.0,9.0,12.0,9.0
410326,,,,2.0,,,,3.0,,2.0,,,2.0,,
410355,7.0,,1.0,24.0,,,34.0,2.0,21.0,13.0,,1.0,12.0,9.0,6.0
410358,16.0,1.0,14.0,12.0,,6.0,20.0,2.0,28.0,10.0,,11.0,3.0,21.0,4.0
410390,,,,,,,,1.0,,1.0,,,,,
410391,1.0,,,,,,,,,,,,,,
410394,7.0,,8.0,3.0,,,12.0,,10.0,3.0,,3.0,4.0,2.0,
410399,,,1.0,,,,,,,,1.0,,,,
410401,,,1.0,,,,,,1.0,1.0,,1.0,,1.0,2.0
410406,7.0,,7.0,12.0,,,,16.0,9.0,16.0,,19.0,8.0,3.0,
410407,,,,,,,17.0,,,5.0,,,,,
410408,,,,,,,1.0,,,,,,,,
410483,,,,18.0,,,,,,7.0,,,2.0,,
410484,2.0,,21.0,27.0,,,26.0,18.0,12.0,18.0,,,16.0,21.0,9.0
410489,,,,1.0,,2.0,20.0,,5.0,3.0,4.0,,,6.0,
410490,3.0,,1.0,12.0,,,22.0,,9.0,7.0,,1.0,9.0,9.0,2.0
410508,6.0,2.0,13.0,11.0,,3.0,7.0,2.0,,10.0,,,3.0,9.0,1.0
410529,15.0,,1.0,44.0,,,25.0,24.0,16.0,63.0,1.0,,,19.0,1.0
410533,,,,,,,,,,,,,,1.0,
410544,17.0,1.0,,14.0,,,1.0,19.0,33.0,18.0,,1.0,10.0,9.0,4.0
410545,,,16.0,3.0,,,31.0,,,1.0,,,3.0,,
410547,16.0,40.0,24.0,11.0,,,23.0,10.0,13.0,2.0,,1.0,2.0,27.0,4.0
410556,7.0,22.0,9.0,3.0,,,54.0,4.0,18.0,6.0,,,1.0,9.0,4.0
410562,31.0,,18.0,20.0,,,22.0,14.0,10.0,14.0,,,25.0,35.0,1.0
410569,,,,,,,,,,,,,,43.0,
410579,,,,1.0,,,17.0,,,,,,1.0,,
410589,,,1.0,,,,,,,,,,,,
410595,4.0,,2.0,7.0,,,27.0,2.0,,3.0,,,5.0,10.0,2.0
41G000,,,,,,,,,,1.0,,,,,
420346,,10.0,,16.0,,,1.0,,13.0,6.0,,3.0,,,1.0
420358,,16.0,1.0,,,,,,12.0,12.0,,,,,
