agency_code,pct_prof_6gr_irm,pct_prof_9gr_irm
840328,43.7,
840332,,28.3
840342,31.4,
840350,35.4,
840356,,20.9
840358,35.6,
840361,,65.9
840368,,52.5
84B000,67.0,72.7
850304,55.3,
850324,,5.0
850332,,29.7
850338,47.0,
850350,40.7,
850352,,25.2
850358,,34.9
850360,,60.0
860306,63.8,
860316,,50.8
860326,57.2,
860330,61.6,
860336,,34.8
860340,60.0,
860352,,39.2
860354,,79.2
861304,63.0,
861308,,49.3
862312,,32.0
862316,50.4,
86T000,58.0,48.4
870314,,33.8
870318,38.0,
87A000,38.9,
880308,,48.8
880312,54.3,
880320,,16.7
880328,,48.8
880330,48.7,
88A000,55.3,
890304,,18.4
890306,26.9,
900308,41.6,
900310,74.9,
900311,,68.1
900314,26.5,
900316,,23.8
900336,,12.7
900342,,46.9
900343,60.8,
900344,,34.8
900346,51.4,
900348,,48.5
900350,63.1,
900360,,29.2
900362,58.7,
900365,6.7,5.3
900366,,88.8
900367,,71.2
900377,,83.9
900378,80.5,
900391,84.1,
900393,,78.2
90315,31.2,
90320,36.2,
90330,,26.6
90332,31.8,
90365,30.9,
90368,,20.3
90376,,33.3
90A000,70.3,56.3
90C000,57.4,
910316,28.3,
910370,,14.5
910382,,91.1
910384,85.6,
91A000,50.7,36.8
91B000,72.9,83.1
92,75.0,
920312,70.8,
920315,76.7,
920316,,67.4
920317,,66.5
920318,,45.4
920348,,49.5
920356,63.1,
920360,39.2,
920368,,46.2
920370,39.9,
920381,20.0,
920386,,50.0
920388,51.8,
920391,80.5,
920394,46.7,
920399,44.0,
920400,54.7,
920402,55.8,
920404,28.8,
920408,27.2,
920410,22.4,
920411,,22.4
920412,,55.1
920424,48.7,
920428,,56.6
920436,,30.7
920441,,74.9
920442,42.7,
920444,72.7,
920445,,59.3
920450,65.0,
920455,,65.1
920458,63.6,
920466,,18.2
920471,54.1,
920472,70.1,
920473,,62.5
920484,65.3,
920492,62.5,
920495,,50.9
920500,,43.9
920502,80.2,
920506,60.4,
920512,31.6,
920518,,44.4
920526,,71.0
920528,,5.0
920529,69.1,
920545,52.3,
920546,,31.7
920549,31.6,
920551,62.3,
920552,,46.2
920556,,6.5
920561,,23.8
920562,,24.7
920581,,47.5
920582,,90.5
920583,,75.4
920585,65.0,65.6
920586,81.4,81.0
920588,,54.4
920592,49.9,
920594,59.9,
920595,,42.7
920601,32.8,
920604,64.8,
920607,64.0,
920608,45.0,
920636,34.6,
92B000,69.1,
92D000,92.6,
92F000,50.4,66.4
92G000,56.3,61.9
92K000,,88.6
92L000,36.7,
92M000,39.1,
92N000,93.3,
92P000,50.8,29.2
92R000,34.6,
92S000,91.1,
92T000,83.3,64.3
92U000,,44.4
92V000,66.2,
92W000,65.7,
92Y000,63.3,
930340,51.4,
930352,,7.1
930354,32.7,
930360,,32.0
930700,,6.5
93A000,,5.0
93M000,66.2,
93N000,69.2,
93P000,52.2,
940316,,5.0
940328,19.3,
940330,,50.0
94Z000,,64.1
950308,52.9,
950312,74.3,
950316,53.1,
950320,64.1,
950322,61.1,
950324,38.5,
950328,60.7,
950332,54.5,
950336,,62.9
950338,,54.7
95A000,68.4,
960312,15.3,
960324,,39.0
960326,7.8,
960330,,28.7
960331,21.9,
960332,,90.9
960335,,13.5
960338,23.3,
960340,31.3,
960348,17.5,
960360,37.5,
960372,,40.4
960374,34.0,
960380,,21.7
960386,,32.6
960387,27.7,
960488,5.0,5.0
960490,,68.5
960700,62.3,92.3
96C000,10.7,
96F000,25.0,
970315,50.2,
970320,,46.9
970322,61.4,
970356,,24.1
970358,44.1,
970388,,13.9
970389,47.1,
970390,,31.8
