agency_code,pct_gce_all_rta,pct_gce_rpf_rta,pct_gce_swd_rta,pct_passed_eog_rta,pct_passed_laa_rta,pct_passed_rta_rta,pct_promoted_rta,pct_retained_rta
340376,,,,26.0,,,47.9,52.1
340380,,,,36.5,,,54.1,45.9
340384,,,,40.2,,,76.8,23.2
340390,,,,20.5,,,35.7,64.3
340400,14.3,,14.3,23.4,,,48.1,51.9
340403,13.1,,,70.2,,,95.0,
340416,8.8,,8.8,58.4,,,92.0,
340424,,,,,,,23.8,76.2
340426,11.0,,8.9,45.9,,,82.9,17.1
340428,,,,37.4,,9.3,57.0,43.0
340430,,,,38.4,,,61.6,38.4
340432,,,,86.3,,,95.0,
340440,,,,83.9,,,95.0,
340448,21.4,,18.8,41.0,,,79.5,20.5
340453,,,,55.6,,,77.8,22.2
340457,14.9,,14.9,69.4,,,88.4,11.6
340462,,,,25.3,,,45.3,54.7
340472,12.5,,12.5,66.3,,,92.5,
340476,13.2,,9.4,27.4,,,54.7,45.3
340490,,,,24.2,,,34.8,65.2
340494,11.6,,10.7,68.8,,,92.0,
340504,15.9,,15.0,52.2,,,85.0,15.0
340508,13.6,,13.6,58.3,,,87.4,12.6
340512,,,,83.5,,,95.0,
340514,,,,45.9,,,67.3,32.7
340520,14.1,,,53.5,,,80.3,19.7
340528,,,,85.6,,,92.0,8.0
340530,,,,43.8,,,66.9,33.1
340532,19.0,,19.0,48.1,,,77.2,22.8
340536,,,,82.5,,,95.0,
340540,13.0,,12.0,49.1,,,76.9,23.1
340548,18.0,,16.5,44.4,,,86.5,13.5
340560,,,,82.5,,,95.0,
34B000,,,,34.5,,,94.5,
34D000,,,,50.0,,,70.6,29.4
34F000,,,,48.8,,,65.0,35.0
34G000,,,,70.0,,,95.0,
34H000,,,,91.4,,,95.0,
34Z000,,,,32.7,,,34.7,65.3
350304,,,,51.2,,,87.2,12.8
350316,,,,68.0,,,90.7,
350318,,,,34.8,,,66.7,33.3
350330,,,,52.8,,,83.3,
350331,,,,69.6,,,89.3,
350332,,,,33.8,,,69.1,30.9
350339,,,,40.3,,,71.4,28.6
350340,,,,55.4,,,91.1,
35A000,,,,57.1,,,82.9,
35B000,,,,75.0,,,76.8,23.2
360320,9.2,,9.2,71.7,,,95.0,
360332,11.5,,10.3,31.4,,,66.7,33.3
360340,13.6,,12.7,39.8,,,77.1,22.9
360344,14.4,,14.4,53.4,,,77.1,22.9
360348,,,,52.1,,,93.8,
360352,,,,44.0,,,76.0,24.0
360364,12.6,,12.6,74.7,,,95.0,
360376,,,,63.0,,,91.8,
360392,,,,53.1,,,79.7,20.3
360400,11.2,,,58.9,,,86.0,14.0
360420,,,,70.7,,,95.0,
360432,11.5,,11.5,51.6,,,94.3,
360438,,,,37.9,,,72.7,27.3
360440,12.8,,12.8,56.4,,,84.0,16.0
360448,,,,57.1,,,95.0,
360464,,,,68.6,,,87.2,12.8
360468,,,,53.8,,,89.2,
360478,,,,65.9,,,84.1,15.9
360480,9.3,,6.7,50.0,,,75.3,24.7
360482,11.9,,10.9,61.4,,,87.1,12.9
360488,14.7,,14.7,58.8,,,95.0,
360490,10.6,,8.8,46.9,,,74.3,25.7
360492,13.5,,12.5,24.0,,,50.0,50.0
360504,34.8,,34.8,41.3,,,93.5,
360510,,,,76.1,,,93.2,
360520,16.9,,13.5,31.5,,,58.4,41.6
36B000,,,,67.9,,,74.5,25.5
36C000,,,,78.6,,,89.3,
370304,,,,52.6,,,89.5,
370316,,,,65.0,,,82.5,
370324,,,,46.7,,,73.3,26.7
380306,,,,49.4,,,67.8,32.2
390311,16.4,,,55.2,,,71.6,28.4
390312,,,,41.9,,,75.8,24.2
390316,,,,45.6,,,77.9,22.1
390333,,,,69.6,,,91.1,
390336,,,,60.0,,,84.0,
390360,16.1,16.1,,46.8,,,85.5,
390362,,,,69.5,,,87.8,12.2
390364,,,,35.8,,,61.7,38.3
390368,26.5,20.4,,69.4,,,95.0,
39A000,,,,65.1,,,94.0,
400332,7.9,,7.5,39.9,5.9,,65.6,34.4
410304,,,,66.3,,,89.9,
410307,,,,38.9,,,65.3,34.7
410310,,,,44.4,,,72.2,27.8
410322,,,,44.8,,,76.1,23.9
410328,,,,24.4,,,45.1,54.9
410331,,,,30.0,,,64.0,36.0
410334,10.9,,10.9,42.6,,,65.3,34.7
410337,,,,77.0,,,83.6,16.4
410340,,,,53.7,,,73.1,26.9
410343,,,,70.3,,,85.7,14.3
410346,,,,82.7,,,91.3,
410349,,,,25.4,,,47.9,52.1
410361,,,,43.2,,,70.3,29.7
410364,25.0,,20.3,20.3,,,50.0,50.0
410366,12.2,,,32.2,,,48.9,51.1
410370,,,,72.4,,,89.4,10.6
410373,14.9,,14.9,40.3,,,68.7,31.3
410376,,,,45.1,,,62.7,37.3
410382,,,,54.1,,,77.6,22.4
410385,,,,34.2,,,52.6,47.4
410388,,,,61.7,,,82.7,17.3
410398,92.6,,,,,,92.6,
410400,,,,53.6,,,81.0,19.0
410403,,,,,,,,55.0
410409,15.5,,,46.5,,,70.4,29.6
410412,,,,44.9,,,69.7,30.3
410418,22.1,,20.6,41.2,,,69.1,30.9
410423,11.6,,10.7,53.6,,,75.9,24.1
410424,,,,72.4,,,80.5,19.5
410427,,,,42.3,,,69.2,30.8
410430,,,,69.4,,,76.9,23.1
410436,,,,42.3,,,67.3,32.7
410439,,,,26.8,,,53.6,46.4
410451,,,,73.6,,,90.3,
410454,,,,66.7,,,81.0,
410461,,,,53.7,,,75.9,24.1
410462,,,,34.1,,,68.2,31.8
410466,,,,73.1,,,83.3,16.7
410469,,,,35.3,,,51.0,49.0
410472,,,,64.9,,,77.7,22.3
410478,,,,34.5,,,50.9,49.1
410481,,,,46.5,,,69.8,30.2
410486,,,,84.6,,,95.0,
410491,10.4,,8.8,79.2,,,92.0,8.0
410496,14.8,,,25.9,,,69.1,30.9
410499,,,,33.3,,,50.7,49.3
410502,,,,87.1,,,95.0,
410505,,,,37.6,,,67.1,32.9
410511,,,,28.8,,,57.7,42.3
410514,,,,42.5,,,65.0,35.0
410517,,,,34.2,,,50.0,50.0
410522,10.2,,10.2,58.2,,,79.6,20.4
410523,,,,62.9,,,80.6,19.4
410530,,,,46.2,,,75.6,24.4
410532,,,,33.0,,,51.3,48.7
410535,28.4,,24.3,41.9,,,86.5,13.5
410538,,,,44.7,,,63.2,36.8
410541,,,,65.7,,,91.0,
410542,,,,52.3,,,73.3,26.7
410553,,,,61.7,,,87.2,
410559,,,,78.3,,,92.2,7.8
410568,,,,81.0,,,95.0,
410571,,,,79.5,,,92.0,
410574,8.8,,,77.6,,,90.4,9.6
410577,,,,42.9,,,63.3,36.7
410578,,,,51.5,,,78.8,21.2
410580,,,,43.8,,,73.0,27.0
410583,,,,27.0,,,56.8,43.2
410586,,,,20.8,,,41.5,58.5
410598,,,,,,,45.8,54.2
41B000,,,,85.4,,,95.0,
41C000,,,,40.6,,,50.0,50.0
41D000,,,,65.3,33.7,,95.0,
41F000,15.7,,,39.2,,,82.4,17.6
41G000,,,,80.0,,,87.0,13.0
41H000,,,,44.3,,,93.7,
41J000,,,,87.1,,,92.9,
41L000,,,,46.6,,,80.8,19.2
41N000,,,,70.0,,,72.5,27.5
420304,27.9,,,39.5,,,76.7,23.3
420316,36.7,36.7,,36.7,,,76.7,
420328,,,,,,,55.8,44.2
420336,,,,,,,83.3,
420340,25.0,25.0,,50.0,,,75.0,25.0
420348,,,,56.0,,,80.0,
421304,12.9,,11.8,44.1,,,76.3,23.7
421328,,,,45.7,,,78.7,21.3
422314,,,,24.3,,,44.3,55.7
430308,,,,37.5,,,50.8,49.2
430312,,,,72.4,,,89.0,11.0
430316,,,,46.0,,,66.0,34.0
430320,,,,55.6,,,75.6,24.4
430328,10.1,,9.2,45.0,,,70.6,29.4
430336,,,,35.4,,,64.6,35.4
430344,,,,46.7,,,62.2,37.8
430348,,,,57.9,,,82.9,17.1
430349,,,,59.5,,,75.7,24.3
430352,,,,67.3,,,90.7,9.3
430358,10.4,,10.4,61.5,,,87.5,12.5
430369,,,,53.1,,,74.1,25.9
430376,,,,49.7,,,64.8,35.2
43C000,,,,92.3,,,95.0,
440314,,,,76.1,,,95.0,
440328,14.0,,14.0,54.7,,,87.2,12.8
440332,,,,80.6,,,95.0,
440348,23.1,,18.7,50.5,,,89.0,11.0
440349,,,,57.4,,,93.4,
440350,,,,58.1,,,78.4,21.6
440364,,,,69.0,,,89.7,
440368,,,,63.8,,,91.4,
44A000,,,,72.1,,,79.1,
450302,,,,86.0,,,95.0,
450306,13.2,,11.0,57.1,,,75.8,24.2
450307,11.8,,,64.5,,,90.3,
450308,,,,44.6,,,81.5,18.5
450322,,,,46.6,,,87.9,
450324,,,,70.3,,,87.8,
450332,,,,73.2,,,87.3,
450333,,,,85.7,,,95.0,
450336,12.9,,12.9,54.8,,,91.4,
450339,,,,79.8,,,95.0,
450340,12.6,,11.6,71.6,,,91.6,
450344,18.8,,15.9,37.7,,,95.0,
450346,26.2,,,50.8,,,90.2,
45A000,,,,78.3,,,87.0,
45B000,,,,84.8,,,93.5,
460312,12.2,,6.8,63.3,,,88.4,11.6
460332,,,,47.2,,,77.4,22.6
470310,20.8,12.3,,58.5,,,87.7,12.3
470316,,,,57.8,,,73.3,26.7
470328,15.0,,,41.0,,,62.0,38.0
470330,,,,39.7,,,63.8,36.2
470336,21.0,,,59.7,,,83.9,16.1
470340,18.5,17.7,,60.5,,,89.5,10.5
470346,17.0,10.6,,57.4,,,77.7,22.3
470441,21.3,14.6,,46.1,,,70.8,29.2
480306,35.3,,,32.4,,,82.4,
480316,,,,,,,92.3,
490312,,,,56.2,,,83.6,16.4
490316,,,,89.2,,,95.0,
490318,9.1,,,65.3,,,93.4,
490319,,,,40.9,,,73.0,27.0
490324,22.7,18.2,,74.2,,,95.0,
490326,22.3,13.7,8.6,48.9,,,82.7,17.3
490332,,,,58.3,,,93.3,
490336,,,,63.2,,,81.6,18.4
490337,13.9,12.0,,65.7,,,92.6,
490345,,,,33.3,,,50.0,50.0
490348,27.9,,,59.0,,,95.0,
490356,,,,61.8,,,88.2,
