agency_code,den_aig_elp,den_all_elp,den_as7_elp,den_bl7_elp,den_eds_elp,den_els_elp,den_fem_elp,den_hi7_elp,den_hms_elp,den_male_elp,den_mig_elp,den_mil_elp,den_neds_elp,den_nswd_elp,den_swd_elp,den_wh7_elp,pct_aig_elp,pct_all_elp,pct_as7_elp,pct_bl7_elp,pct_eds_elp,pct_els_elp,pct_fem_elp,pct_hi7_elp,pct_hms_elp,pct_male_elp,pct_mig_elp,pct_mil_elp,pct_neds_elp,pct_nswd_elp,pct_swd_elp,pct_wh7_elp
090333,,26.0,,,21.0,26.0,14.0,22.0,,12.0,15.0,,,20.0,,,,38.5,,,42.9,38.5,35.7,40.9,,41.7,33.3,,,35.0,,
090352,,29.0,,,23.0,29.0,15.0,29.0,,14.0,,,,23.0,,,,27.6,,,21.7,27.6,33.3,27.6,,21.4,,,,34.8,,
090365,,45.0,,,42.0,45.0,15.0,43.0,,30.0,13.0,,,37.0,,,,15.6,,,16.7,15.6,26.7,14.0,,10.0,23.1,,,16.2,,
090368,,29.0,,,26.0,29.0,12.0,27.0,,17.0,10.0,,,24.0,,,,13.8,,,11.5,13.8,25.0,11.1,,5.9,10.0,,,12.5,,
100302,,53.0,,,43.0,53.0,24.0,46.0,,29.0,,,10.0,45.0,,,,50.9,,,48.8,50.9,45.8,50.0,,55.2,,,60.0,55.6,,
100309,,14.0,,,12.0,14.0,,12.0,,,,,,10.0,,,,14.3,,,8.3,14.3,,8.3,,,,,,20.0,,
100310,,48.0,,,44.0,48.0,21.0,45.0,,27.0,,,,43.0,,,,37.5,,,34.1,37.5,33.3,37.8,,40.7,,,,39.5,,
100316,,37.0,,,35.0,37.0,18.0,36.0,,19.0,,,,22.0,15.0,,,8.1,,,5.7,8.1,16.7,8.3,,5.0,,,,13.6,5.0,
100320,,68.0,,,67.0,68.0,38.0,68.0,,30.0,,,,51.0,17.0,,,35.3,,,35.8,35.3,36.8,35.3,,33.3,,,,45.1,5.9,
100326,,25.0,,,22.0,25.0,11.0,22.0,,14.0,,,,18.0,,,,5.0,,,5.0,5.0,5.0,5.0,,7.1,,,,5.6,,
100332,,20.0,,,19.0,20.0,,18.0,,14.0,,,,13.0,,,,5.0,,,5.3,5.0,,5.6,,7.1,,,,7.7,,
100334,,10.0,,,,10.0,,,,,,,,,,,,20.0,,,,20.0,,,,,,,,,,
100335,,12.0,,,,12.0,,,,,,,,11.0,,,,16.7,,,,16.7,,,,,,,,18.2,,
100336,,20.0,,,16.0,20.0,13.0,14.0,,,,,,16.0,,,,50.0,,,43.8,50.0,38.5,57.1,,,,,,50.0,,
