agency_code,dance_cat_arts,music_cat_arts,theatre_cat_arts,va_cat_arts
410385,N,Y,N,Y
410388,N,Y,N,Y
410390,N,N,Y,Y
410391,Y,Y,Y,Y
410394,N,Y,Y,Y
410395,N,Y,Y,Y
410397,N,Y,N,Y
410398,N,Y,N,Y
410400,N,Y,N,Y
410402,N,Y,Y,Y
410403,N,Y,N,Y
410406,N,Y,Y,Y
410409,N,Y,N,Y
410412,N,Y,N,Y
410415,N,Y,N,Y
410418,N,Y,N,Y
410421,N,Y,Y,Y
410423,N,Y,N,Y
410424,N,Y,N,Y
410427,N,Y,N,Y
410430,N,Y,N,Y
410436,N,Y,N,Y
410437,N,Y,N,Y
410439,N,Y,N,Y
410442,Y,Y,Y,Y
410448,Y,Y,Y,Y
410451,N,Y,N,Y
410454,N,Y,N,Y
410457,N,Y,N,Y
410458,N,Y,N,Y
410460,Y,Y,Y,Y
410461,N,Y,N,Y
410462,N,Y,N,Y
410463,N,Y,N,Y
410464,N,Y,N,Y
410466,N,Y,N,Y
410469,N,Y,N,Y
410472,Y,Y,Y,Y
410478,N,Y,N,Y
410481,N,Y,N,Y
410483,N,Y,N,N
410484,N,Y,N,Y
410486,N,Y,N,Y
410487,N,Y,N,Y
410488,N,Y,N,Y
410489,Y,Y,Y,Y
410490,N,Y,Y,Y
410491,N,Y,N,Y
410493,N,Y,Y,Y
410496,N,Y,N,Y
410499,N,Y,N,Y
410502,N,Y,N,Y
410505,N,Y,N,Y
410508,N,Y,Y,Y
410511,Y,Y,Y,Y
410514,N,Y,N,Y
410517,Y,Y,N,Y
410522,N,Y,N,Y
410523,N,Y,N,Y
410529,Y,Y,Y,Y
410530,N,Y,N,Y
410532,N,Y,N,Y
410533,N,Y,Y,Y
410534,N,Y,Y,N
410535,N,Y,N,Y
410538,N,Y,N,Y
410541,N,Y,N,Y
410542,N,Y,N,Y
410544,Y,Y,N,Y
410547,N,Y,Y,Y
410550,N,Y,N,Y
410553,N,Y,N,Y
410556,N,Y,N,Y
410559,N,Y,N,Y
410562,Y,Y,Y,Y
410565,N,Y,Y,Y
410568,N,Y,N,Y
410569,N,Y,Y,Y
410571,N,Y,N,Y
410574,N,Y,N,Y
410577,N,Y,N,Y
410578,N,Y,N,Y
410580,N,Y,N,Y
410583,N,Y,N,Y
410586,N,Y,N,Y
410589,Y,Y,Y,Y
410592,N,Y,N,N
410595,N,Y,Y,Y
410598,N,Y,N,Y
41B000,N,Y,N,Y
41C000,N,N,N,Y
41D000,N,Y,N,Y
41F000,N,Y,N,Y
41G000,N,Y,Y,Y
41H000,N,Y,Y,N
41J000,N,Y,N,Y
41K000,N,Y,N,Y
41L000,N,Y,N,Y
41M000,N,Y,N,Y
41N000,Y,Y,N,Y
420324,N,Y,N,Y
420340,N,Y,N,N
420346,N,Y,N,Y
