year,unit_code,Lea_Name,School_Name,State_Name,category_cd,level,size,lea_size,st_size
2014,880LEA,Transylvania County Schools,,State Of North Carolina,,Math I,,19.0,20
2014,890LEA,Tyrrell County Schools,,State Of North Carolina,,Biology,,14.0,18
2014,890LEA,Tyrrell County Schools,,State Of North Carolina,,English II,,7.0,18
2014,890LEA,Tyrrell County Schools,,State Of North Carolina,,Math I,,13.0,20
2014,900LEA,Union County Public Schools,,State Of North Carolina,,Biology,,22.0,18
2014,900LEA,Union County Public Schools,,State Of North Carolina,,English II,,22.0,18
2014,900LEA,Union County Public Schools,,State Of North Carolina,,Math I,,24.0,20
2014,910LEA,Vance County Schools,,State Of North Carolina,,Biology,,16.0,18
2014,910LEA,Vance County Schools,,State Of North Carolina,,English II,,18.0,18
2014,910LEA,Vance County Schools,,State Of North Carolina,,Math I,,19.0,20
2014,920LEA,Wake County Schools,,State Of North Carolina,,Biology,,22.0,18
2014,920LEA,Wake County Schools,,State Of North Carolina,,English II,,21.0,18
2014,920LEA,Wake County Schools,,State Of North Carolina,,Math I,,23.0,20
2014,930LEA,Warren County Schools,,State Of North Carolina,,Biology,,17.0,18
2014,930LEA,Warren County Schools,,State Of North Carolina,,English II,,15.0,18
2014,930LEA,Warren County Schools,,State Of North Carolina,,Math I,,17.0,20
2014,940LEA,Washington County Schools,,State Of North Carolina,,Biology,,13.0,18
2014,940LEA,Washington County Schools,,State Of North Carolina,,English II,,17.0,18
2014,940LEA,Washington County Schools,,State Of North Carolina,,Math I,,19.0,20
2014,950LEA,Watauga County Schools,,State Of North Carolina,,Biology,,19.0,18
2014,950LEA,Watauga County Schools,,State Of North Carolina,,English II,,20.0,18
2014,950LEA,Watauga County Schools,,State Of North Carolina,,Math I,,14.0,20
2014,960LEA,Wayne County Public Schools,,State Of North Carolina,,Biology,,17.0,18
2014,960LEA,Wayne County Public Schools,,State Of North Carolina,,English II,,18.0,18
2014,960LEA,Wayne County Public Schools,,State Of North Carolina,,Math I,,21.0,20
2014,970LEA,Wilkes County Schools,,State Of North Carolina,,Biology,,16.0,18
2014,970LEA,Wilkes County Schools,,State Of North Carolina,,English II,,18.0,18
2014,970LEA,Wilkes County Schools,,State Of North Carolina,,Math I,,22.0,20
2014,980LEA,Wilson County Schools,,State Of North Carolina,,Biology,,17.0,18
2014,980LEA,Wilson County Schools,,State Of North Carolina,,English II,,20.0,18
2014,980LEA,Wilson County Schools,,State Of North Carolina,,Math I,,22.0,20
2014,990LEA,Yadkin County Schools,,State Of North Carolina,,Biology,,17.0,18
2014,990LEA,Yadkin County Schools,,State Of North Carolina,,English II,,17.0,18
2014,990LEA,Yadkin County Schools,,State Of North Carolina,,Math I,,20.0,20
2014,995LEA,Yancey County Schools,,State Of North Carolina,,Biology,,14.0,18
2014,995LEA,Yancey County Schools,,State Of North Carolina,,English II,,14.0,18
2014,995LEA,Yancey County Schools,,State Of North Carolina,,Math I,,18.0,20
2014,010310,Alamance-Burlington Schools,Broadview Middle,State Of North Carolina,M,Biology,,19.0,18
2014,010310,Alamance-Burlington Schools,Broadview Middle,State Of North Carolina,M,English II,,20.0,18
2014,010310,Alamance-Burlington Schools,Broadview Middle,State Of North Carolina,M,Math I,26.0,24.0,20
2014,010324,Alamance-Burlington Schools,Eastern Alamance High,State Of North Carolina,H,Biology,22.0,19.0,18
2014,010324,Alamance-Burlington Schools,Eastern Alamance High,State Of North Carolina,H,English II,29.0,20.0,18
