agency_code,welcome_url
260348,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260352,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260354,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260356,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260357,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260358,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260359,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260361,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260362,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260363,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260364,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260365,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260366,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260367,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260368,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260369,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260370,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260371,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260372,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260373,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260374,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260375,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260380,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260382,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260383,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260386,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260388,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260396,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260397,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260398,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260400,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260401,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260402,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260403,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260404,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260405,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260406,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260407,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
