agency_code,pct_ALL_PK_ENROLL,pct_AM7_PK_ENROLL,pct_AS7_PK_ENROLL,pct_BL7_PK_ENROLL,pct_ELS_PK_ENROLL,pct_FEM_PK_ENROLL,pct_HI7_PK_ENROLL,pct_MALE_PK_ENROLL,pct_MU7_PK_ENROLL,pct_PI7_PK_ENROLL,pct_SWD_PK_ENROLL,pct_WH7_PK_ENROLL
470330,1.0,0.444,,0.111,1.0,0.472,0.306,0.528,0.111,,0.0,0.028
470336,1.0,0.038,,0.396,1.0,0.434,0.17,0.5660000000000001,0.094,0.019,0.0,0.28300000000000003
470340,1.0,,0.029,0.2,1.0,0.486,0.257,0.514,0.086,,0.0,0.429
470346,1.0,,,0.317,1.0,0.561,0.146,0.439,0.146,,0.0,0.39
470441,1.0,0.111,,0.25,1.0,0.444,0.194,0.556,0.111,,0.0,0.333
470LEA,1.0,0.087,0.004,0.241,1.0,0.49,0.289,0.51,0.095,0.008,0.0,0.277
480306,1.0,,,0.391,1.0,0.565,0.13,0.435,,,0.0,0.478
480316,1.0,,,,1.0,0.444,0.333,0.556,,,0.0,0.667
480LEA,1.0,,,0.281,1.0,0.531,0.188,0.469,,,0.0,0.531
490312,1.0,,,0.091,1.0,0.318,0.136,0.682,,,0.0,0.773
490316,1.0,,,,1.0,1.0,,,,,0.0,1.0
490318,1.0,,,,1.0,0.25,,0.75,,,0.0,1.0
490319,1.0,,,0.28600000000000003,1.0,0.071,,0.929,,,0.0,0.7140000000000001
490324,1.0,,,,1.0,1.0,,,,,0.0,1.0
490326,1.0,,,0.333,1.0,0.333,,0.667,,,0.0,0.667
490332,1.0,,,0.25,1.0,0.6,0.15,0.4,,,0.0,0.6
490336,1.0,,,,1.0,,,1.0,,,0.0,1.0
490337,1.0,,0.063,0.125,1.0,0.25,,0.75,0.125,,0.0,0.688
490345,1.0,,,0.519,1.0,0.407,0.07400000000000001,0.593,0.037000000000000005,,0.0,0.37
490348,1.0,,,0.053,1.0,0.263,0.105,0.737,0.158,,0.0,0.684
490356,1.0,,,,1.0,,,1.0,,,0.0,1.0
490363,1.0,,,0.25,1.0,0.25,,0.75,0.083,,0.0,0.667
490364,1.0,,,0.25,1.0,0.5,,0.5,,,0.0,0.75
490368,1.0,,,,1.0,1.0,,,,,0.0,1.0
490390,1.0,,,,1.0,1.0,,,,,0.0,1.0
490LEA,1.0,,0.006999999999999999,0.221,1.0,0.349,0.067,0.6509999999999999,0.047,,0.0,0.6579999999999999
491318,1.0,,,0.136,1.0,0.5,0.045,0.5,0.045,,0.0,0.773
