agency_code,highqual_class_pct_A,highqual_class_pct_E,highqual_class_pct_H,highqual_class_pct_I,highqual_class_pct_M,highqual_class_pct_T
370312,,,0.914,,,
370316,,1.0,,,,
370324,,1.0,,,,
370LEA,,1.0,0.914,,1.0,
380306,,0.949,,,,
380308,,,0.7859999999999999,,,
380310,,,,,0.909,
380LEA,,0.949,0.7859999999999999,,0.909,
390309,,,,,0.909,
390311,,1.0,,,,
390312,,0.933,,,,
390314,0.867,,,,,
390316,,1.0,,,,
390320,,,,,0.981,
390322,,,0.9,,,
390323,,,1.0,,,
390324,,,0.957,,,
390328,,,,,,0.987
390331,,,,,0.923,
390333,,1.0,,,,
390334,,,,,0.938,
390336,,0.962,,,,
390360,,1.0,,,,
390362,,1.0,,,,
390364,,0.933,,,,
390368,,1.0,,,,
390700,,,1.0,,,
390704,,,1.0,,,
390705,,,1.0,,,
390LEA,0.866,0.979,0.966,,0.94,0.987
39A000,,,,0.573,,
39B000,,,0.7120000000000001,,,
400308,,,0.917,,,
400312,,,,,0.9,
400315,,,1.0,,,
400318,,1.0,,,,
400321,,1.0,,,,
400332,,0.966,,,,
400LEA,,0.988,0.933,,0.9,
410304,,1.0,,,,
410307,,0.955,,,,
410310,,1.0,,,,
410311,,,,,1.0,
410313,,,,,0.977,
410316,,,,,1.0,
410319,,,1.0,,,
410322,,1.0,,,,
410325,,,,,1.0,
410326,,,1.0,,,
410328,,1.0,,,,
410331,,1.0,,,,
410334,,1.0,,,,
410337,,1.0,,,,
410340,,1.0,,,,
410341,,,,,1.0,
410343,,0.97,,,,
410346,,1.0,,,,
410349,,0.967,,,,
410355,,,0.988,,,
410358,,,1.0,,,
410361,,1.0,,,,
410364,,1.0,,,,
410366,,1.0,,,,
410367,,,,,0.975,
410370,,1.0,,,,
410373,,1.0,,,,
410376,,1.0,,,,
410379,1.0,,,,,
410382,,1.0,,,,
410385,,0.941,,,,
410388,,1.0,,,,
410390,,,1.0,,,
410391,,,,,,1.0
410394,,,1.0,,,
410395,,,1.0,,,
410396,,,,,1.0,
410397,,,,,0.98,
410398,1.0,,,,,
410399,,,1.0,,,
410400,,0.983,,,,
410401,,,1.0,,,
410402,,,,,0.975,
410403,,0.905,,,,
410406,,,0.998,,,
410407,,,1.0,,,
410408,,,1.0,,,
410409,,1.0,,,,
410412,,1.0,,,,
410415,,,,,0.967,
410418,,1.0,,,,
410421,,,,,0.978,
410423,,1.0,,,,
410424,,1.0,,,,
410427,,,,1.0,,
410430,,0.966,,,,
410436,,1.0,,,,
410437,,,,,1.0,
410439,,1.0,,,,
410442,,,,,1.0,
410448,,,,1.0,,
410451,,1.0,,,,
410454,,1.0,,,,
410457,,,,1.0,,
410458,,,1.0,,,
410460,,,,,1.0,
410461,,1.0,,,,
410462,,1.0,,,,
410463,,,,,0.973,
410464,1.0,,,,,
410466,,1.0,,,,
410469,,0.971,,,,
410472,,1.0,,,,
410478,,1.0,,,,
410481,,1.0,,,,
410483,,,1.0,,,
410484,,,1.0,,,
410486,,1.0,,,,
