agency_code,pct_AIG_MCR,pct_ALL_MCR,pct_AM7_MCR,pct_AS7_MCR,pct_BL7_MCR,pct_EDS_MCR,pct_ELS_MCR,pct_FCS_MCR,pct_FEM_MCR,pct_HI7_MCR,pct_HMS_MCR,pct_MALE_MCR,pct_MIL_MCR,pct_MU7_MCR,pct_SWD_MCR,pct_WH7_MCR
070LEA,95.0,95.0,,,95.0,95.0,88.9,,95.0,95.0,,94.7,,95.0,67.6,95.0
080311,,95.0,,,95.0,,,,95.0,,,95.0,,,,95.0
080312,,90.1,,,89.6,88.9,,,93.5,,,87.3,,,44.0,93.3
080LEA,95.0,92.1,,,91.1,90.1,,,95.0,,,89.2,,,44.0,95.0
090330,95.0,92.5,,,91.4,94.1,,,94.7,95.0,,90.5,,,42.1,93.0
090368,95.0,92.6,,,90.5,88.1,90.9,,95.0,94.1,,89.6,,,51.6,94.6
090LEA,95.0,92.6,,,91.0,90.9,93.8,,95.0,95.0,,90.0,,84.6,48.0,94.1
09A000,,95.0,,,95.0,,,,,,,,,,,
100307,95.0,95.0,,,,95.0,,,95.0,95.0,,95.0,,,,95.0
100308,,86.7,,,,90.9,,,82.4,,,92.3,,,,85.7
100326,95.0,92.6,,,90.4,90.2,,,95.0,92.6,,87.8,,,48.4,93.6
100334,95.0,93.8,,,82.1,89.0,,,95.0,90.0,,90.1,,95.0,34.8,95.0
100348,95.0,89.6,,,72.7,81.6,92.3,,92.7,95.0,,87.2,,70.0,31.7,93.3
100LEA,95.0,92.1,,,82.9,87.4,91.7,,95.0,94.4,95.0,88.9,,91.9,39.6,94.1
110303,,95.0,,,95.0,95.0,,,95.0,,95.0,95.0,,,93.3,95.0
110304,95.0,94.2,,,92.0,91.3,80.0,,95.0,88.9,,89.7,,87.5,51.5,95.0
110322,95.0,95.0,,,,95.0,,,95.0,,,95.0,,,,95.0
110323,,95.0,,,,95.0,,,95.0,,,95.0,,,,95.0
110336,95.0,95.0,,,,95.0,,,95.0,95.0,,95.0,,,73.3,95.0
110340,95.0,95.0,,,86.7,95.0,90.9,,95.0,95.0,,95.0,,,77.3,95.0
110352,95.0,94.1,,,,90.4,95.0,,95.0,95.0,,92.0,,,51.7,93.3
110380,95.0,95.0,,,,92.9,,,95.0,92.6,,95.0,,,79.2,95.0
110416,95.0,89.5,,95.0,85.1,82.9,95.0,,92.9,95.0,,85.6,,95.0,45.6,87.8
