agency_code,pct_AIG_ELP,pct_ALL_ELP,pct_AM7_ELP,pct_AS7_ELP,pct_BL7_ELP,pct_EDS_ELP,pct_ELS_ELP,pct_FCS_ELP,pct_FEM_ELP,pct_HI7_ELP,pct_HMS_ELP,pct_MALE_ELP,pct_MIL_ELP,pct_MU7_ELP,pct_SWD_ELP,pct_WH7_ELP
920390,,77.9,,78.1,,87.5,77.9,,81.0,,,75.0,,,,
920391,,53.3,,64.5,,37.5,53.3,,56.5,,,50.0,,,,
920393,,63.0,,61.5,58.3,64.5,63.0,,71.2,61.1,,54.2,,,27.3,68.4
920394,,32.5,,,,30.0,32.5,,35.0,27.3,,30.0,,,27.3,38.5
920396,,60.3,,,,63.3,60.3,,59.0,59.7,,61.5,,,63.6,
920398,,49.4,,,,45.8,49.4,,47.5,47.9,,51.1,,,40.0,
920399,,25.6,,,,26.5,25.6,,33.3,17.6,,20.0,,,14.3,
920400,,33.9,,,,34.0,33.9,,25.9,29.5,,40.0,,,26.3,
920402,,37.7,,52.9,,38.6,37.7,,34.6,25.7,,40.0,,,15.4,
920403,,46.1,,,,44.8,46.1,,40.9,42.2,,50.0,,,35.0,
920404,,18.9,,,,21.3,18.9,,15.0,18.2,,21.2,,,5.0,
920408,,22.6,,,,22.0,22.6,,25.0,20.8,,20.6,,,9.1,
920410,,21.0,,,,21.1,21.0,,25.0,22.8,,18.4,,,28.6,
920411,,21.7,,,,21.2,21.7,,22.2,20.6,,21.4,,,8.3,
920412,,35.0,,,,34.9,35.0,,22.0,31.2,,43.5,,,33.3,
920413,,64.2,,,,64.7,64.2,,74.3,65.1,,58.3,,,61.1,
920414,,57.6,,66.7,,52.1,57.6,,51.3,54.4,,62.3,,,43.8,
920415,,53.2,,30.0,,50.0,53.2,,41.3,56.3,,64.6,,,52.6,
920416,,57.1,,63.6,,56.0,57.1,,64.7,58.3,,48.3,,,80.0,
920417,,64.8,,,,67.4,64.8,,76.2,69.8,,57.6,,,58.3,
