agency_code,crime,short_term,long_term,expulsion
260400,0.0,11.29,0.0,0.0
260401,1.16,15.99,0.0,0.0
260402,0.56,22.82,0.0,0.0
260403,0.0,4.47,0.0,0.0
260404,0.47,14.35,0.0,0.0
260405,0.0,31.17,0.0,0.0
260406,0.53,8.72,0.0,0.0
260407,1.36,8.75,0.0,0.0
260408,2.03,25.85,0.0,0.0
260410,0.0,17.14,0.0,0.0
260411,0.99,6.93,0.0,0.0
260412,0.43,3.9,0.0,0.0
260413,10.67,564.0,0.0,0.0
260414,0.52,13.26,0.0,0.0
260415,0.0,2.77,0.0,0.0
260416,0.0,4.49,0.0,0.0
260417,2.48,21.09,0.0,0.0
260418,0.44,11.31,0.0,0.0
260419,0.6,10.45,0.6,0.0
260424,3.31,33.15,0.0,0.0
260425,1.23,68.06,0.0,0.0
260426,0.0,7.76,0.0,0.0
260427,1.57,31.65,0.0,0.0
260428,1.11,49.34,0.0,0.0
260430,0.91,14.33,0.0,0.0
260432,0.0,1.32,0.0,0.0
260434,0.22,3.43,0.0,0.0
260440,0.0,20.39,0.0,0.0
260444,0.0,26.32,0.0,0.0
260446,1.2,21.71,0.0,0.0
260448,0.0,1.93,0.0,0.0
260449,0.93,365.42,5.61,0.0
260450,0.76,15.23,0.0,0.0
260452,1.1,12.25,0.0,0.0
260454,2.22,50.0,0.0,0.0
260455,1.14,34.91,0.0,0.0
260459,0.25,17.89,0.0,0.0
260700,0.0,0.0,0.0,0.0
260LEA,,,,
260LEA,0.33,9.62,0.0,0.0
260LEA,1.61,26.56,0.08,0.0
260LEA,1.28,32.25,0.02,0.0
260LEA,,,,
26B000,0.0,0.0,0.0,0.0
26C000,0.0,0.0,0.0,0.0
270304,0.59,8.88,0.0,0.0
270306,1.62,15.66,0.1,0.0
270308,0.54,25.89,0.0,0.0
270309,0.0,3.37,0.0,0.0
270310,0.0,4.69,0.0,0.0
