agency_code,pct_met_ACT WorkKeys_PART,pct_met_Biology_PART,pct_met_English II_PART,pct_met_High School Math_PART,pct_met_Math Grades 3-8_PART,pct_met_Reading Grades 3-8_PART,pct_met_Science Grades 5&8_PART,pct_met_The ACT_PART,pct_met_Total Targets_PART
181318,,100.0,,100.0,,,,100.0,100.0
181322,100.0,100.0,100.0,100.0,,,,0.0,78.3
181326,,,,,100.0,100.0,100.0,,100.0
181332,,,,,100.0,100.0,100.0,,100.0
181336,,,,,100.0,100.0,100.0,,100.0
181344,,,,,100.0,100.0,100.0,,100.0
182316,100.0,100.0,100.0,100.0,,,,100.0,100.0
182321,,,,,100.0,100.0,100.0,,100.0
182322,,,,,100.0,100.0,100.0,,100.0
182324,,,,,100.0,100.0,100.0,,100.0
182328,,,,,100.0,100.0,100.0,,100.0
182700,,100.0,100.0,100.0,,,,100.0,100.0
190304,,,,,100.0,100.0,100.0,,100.0
190308,,,,,100.0,100.0,100.0,,100.0
190312,,,,,100.0,100.0,100.0,,100.0
190316,100.0,100.0,100.0,100.0,,,,100.0,100.0
190328,,,,,100.0,100.0,100.0,,100.0
190332,,,,,100.0,100.0,100.0,,100.0
190336,33.3,100.0,100.0,100.0,,,,100.0,91.3
190339,,,,,100.0,100.0,100.0,,100.0
190340,,,,,100.0,100.0,100.0,,100.0
190341,,,,,100.0,100.0,100.0,,100.0
190342,100.0,100.0,100.0,100.0,,,,100.0,100.0
190346,,,,,100.0,100.0,100.0,,100.0
190348,,,,,100.0,100.0,,,100.0
190350,,,,,100.0,100.0,100.0,,100.0
190352,,,,,100.0,100.0,100.0,,100.0
190370,,,,,100.0,100.0,100.0,,100.0
19A000,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
19B000,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
19C000,,,,,100.0,100.0,100.0,,100.0
200304,,,,,100.0,100.0,,,100.0
200308,,100.0,100.0,100.0,,,,100.0,100.0
200310,,,,,100.0,100.0,100.0,,100.0
200312,,,,,100.0,100.0,100.0,,100.0
200314,,100.0,100.0,100.0,,,,100.0,100.0
200320,,,,,100.0,100.0,100.0,,100.0
200324,,,,,100.0,100.0,100.0,,100.0
200328,100.0,100.0,100.0,100.0,,,,100.0,100.0
200330,,,,,100.0,100.0,100.0,,100.0
200332,,,,,100.0,100.0,,,100.0
200336,,,,,100.0,100.0,100.0,,100.0
200350,,100.0,100.0,100.0,,,,100.0,100.0
20A000,,,,,100.0,100.0,100.0,,100.0
210304,,,,,100.0,100.0,100.0,,100.0
210306,,,,,100.0,100.0,100.0,,100.0
210312,100.0,100.0,100.0,100.0,,,,100.0,100.0
220308,,,,,100.0,100.0,,,100.0
220310,100.0,100.0,66.7,100.0,,,,100.0,92.9
220312,,,,,100.0,100.0,100.0,,100.0
230304,,,,,100.0,100.0,,,100.0
230308,,,,,100.0,100.0,100.0,,100.0
230312,100.0,100.0,100.0,100.0,,,,100.0,100.0
230316,,,,,100.0,100.0,100.0,,100.0
230320,,,,,100.0,100.0,100.0,,100.0
230322,,100.0,100.0,100.0,,,,100.0,100.0
230324,66.7,100.0,100.0,100.0,,,,80.0,91.3
230328,,,,,100.0,100.0,100.0,,100.0
230330,,,0.0,,50.0,50.0,,,40.0
230334,,,,,100.0,100.0,,,100.0
230336,,,,,100.0,100.0,100.0,,100.0
230340,,,,,100.0,100.0,100.0,,100.0
230342,,,,,100.0,100.0,,,100.0
230344,,,,,100.0,100.0,,,100.0
230346,,,,,100.0,100.0,,,100.0
230348,,,,,100.0,100.0,,,100.0
230350,100.0,100.0,100.0,100.0,,,,100.0,100.0
230351,,,,,100.0,100.0,100.0,,100.0
230352,,,,,100.0,100.0,100.0,,100.0
230355,,,,,100.0,100.0,,,100.0
230357,,,,,100.0,100.0,,,100.0
230361,50.0,100.0,100.0,100.0,,,,60.0,83.3
230362,,,,,100.0,100.0,100.0,,100.0
230364,,,,,100.0,100.0,100.0,,100.0
230368,,,,,100.0,100.0,100.0,,100.0
230370,,,,,100.0,100.0,100.0,,100.0
230376,,,,,100.0,100.0,100.0,,100.0
230380,,,,,100.0,100.0,,,100.0
23A000,,,100.0,,100.0,100.0,100.0,,100.0
240304,,,,,100.0,100.0,100.0,,100.0
240308,,,,,100.0,100.0,100.0,,100.0
240328,,,,,100.0,100.0,100.0,,100.0
240330,,,,,100.0,100.0,100.0,,100.0
240332,,,,,100.0,100.0,,,100.0
240334,,100.0,100.0,100.0,,,,100.0,100.0
240344,,,,,100.0,100.0,100.0,,100.0
240352,,,,,100.0,100.0,,,100.0
240354,,,,,100.0,100.0,100.0,,100.0
240356,,,,,100.0,100.0,100.0,,100.0
240368,,,,,100.0,100.0,100.0,,100.0
240370,,,,,100.0,100.0,100.0,,100.0
240371,100.0,100.0,100.0,100.0,,,,100.0,100.0
240372,,,,,100.0,100.0,100.0,,100.0
240373,,100.0,100.0,100.0,,,,100.0,100.0
240376,,,,,100.0,100.0,100.0,,100.0
240380,0.0,100.0,100.0,100.0,,,,100.0,94.1
240388,,,,,100.0,100.0,100.0,,100.0
241304,,,,,100.0,100.0,100.0,,100.0
241308,,,,,100.0,100.0,100.0,,100.0
241316,100.0,100.0,100.0,100.0,,,,100.0,100.0
24B000,,,,,100.0,100.0,,,100.0
24N000,,,,,100.0,100.0,100.0,,100.0
250304,,,,,100.0,100.0,100.0,,100.0
250306,,,,,100.0,100.0,100.0,,100.0
250308,,,,,100.0,100.0,100.0,,100.0
250312,,,,,100.0,100.0,100.0,,100.0
250314,,100.0,100.0,100.0,,,,100.0,100.0
250316,,,,,100.0,100.0,100.0,,100.0
250320,,,,,100.0,100.0,100.0,,100.0
250321,,100.0,100.0,100.0,,,,100.0,100.0
250324,,,,,100.0,100.0,100.0,,100.0
250328,,,,,100.0,100.0,100.0,,100.0
250332,,,,,100.0,100.0,100.0,,100.0
250336,,,,,100.0,100.0,100.0,,100.0
250340,100.0,100.0,100.0,100.0,,,,100.0,100.0
250344,,,,,100.0,100.0,100.0,,100.0
250348,,,,,100.0,100.0,100.0,,100.0
250350,,,,,100.0,100.0,100.0,,100.0
250356,100.0,100.0,100.0,100.0,,,,100.0,100.0
250360,,,,,100.0,100.0,100.0,,100.0
250362,,,,,100.0,100.0,100.0,,100.0
250364,,,,,100.0,100.0,100.0,,100.0
250368,,,,,100.0,100.0,100.0,,100.0
250372,100.0,100.0,100.0,100.0,,,,100.0,100.0
250376,,,,,100.0,100.0,100.0,,100.0
250378,,,,,100.0,100.0,100.0,,100.0
250380,,,,,100.0,100.0,100.0,,100.0
260306,,,,,100.0,100.0,100.0,,100.0
260308,,,,,100.0,100.0,100.0,,100.0
260310,,,,,100.0,100.0,100.0,,100.0
260312,,,,,100.0,100.0,,,100.0
260316,,,,,100.0,100.0,,,100.0
260318,100.0,100.0,100.0,100.0,,,,100.0,100.0
260320,,,,,100.0,100.0,100.0,,100.0
260321,,,,,100.0,100.0,100.0,,100.0
260322,100.0,100.0,100.0,100.0,,,,71.4,92.9
260325,100.0,100.0,100.0,100.0,,,,100.0,100.0
260326,,,,,100.0,100.0,100.0,,100.0
260332,,,,,100.0,100.0,100.0,,100.0
260336,,,,,100.0,100.0,100.0,,100.0
260338,,,,,100.0,100.0,100.0,,100.0
260340,,,,,100.0,100.0,100.0,,100.0
260342,,,,,100.0,100.0,100.0,,100.0
260344,,,,,100.0,100.0,100.0,,100.0
260347,,100.0,100.0,100.0,,,,100.0,100.0
260348,,,,,100.0,100.0,100.0,,100.0
260352,,,,,100.0,100.0,100.0,,100.0
260354,,100.0,100.0,100.0,,,,100.0,100.0
260356,,,,,100.0,100.0,100.0,,100.0
260357,100.0,100.0,100.0,100.0,,,,100.0,100.0
260358,,,,,85.7,71.4,100.0,,83.3
260359,100.0,100.0,100.0,100.0,,,,100.0,100.0
260361,,,,,100.0,100.0,100.0,,100.0
260362,,,,,100.0,100.0,100.0,,100.0
260364,,,,,100.0,100.0,100.0,,100.0
260365,,,,,100.0,100.0,100.0,,100.0
260366,,,,,100.0,100.0,100.0,,100.0
260367,,,,,100.0,100.0,100.0,,100.0
260368,,,,,100.0,100.0,100.0,,100.0
260369,,,,,100.0,100.0,100.0,,100.0
260370,,,,,100.0,100.0,100.0,,100.0
260371,,,,,100.0,100.0,,,100.0
260372,,,,,100.0,100.0,100.0,,100.0
260373,,,,,100.0,100.0,100.0,,100.0
260374,,0.0,100.0,100.0,,,,0.0,50.0
260375,,,,,100.0,100.0,100.0,,100.0
260380,,,,,100.0,100.0,100.0,,100.0
260382,,,,,100.0,100.0,100.0,,100.0
260383,,,,,100.0,100.0,100.0,,100.0
260386,,,,,100.0,100.0,100.0,,100.0
260388,,100.0,100.0,100.0,,,,100.0,100.0
260396,,,,,100.0,100.0,100.0,,100.0
260397,,,,,100.0,100.0,100.0,,100.0
260398,,,,,100.0,100.0,100.0,,100.0
260400,,,,,100.0,100.0,100.0,,100.0
260401,,,,,100.0,100.0,100.0,,100.0
260402,,,,,100.0,100.0,100.0,,100.0
260403,,,,,100.0,100.0,100.0,,100.0
260404,,,,,100.0,100.0,100.0,,100.0
260405,,,,,100.0,100.0,100.0,,100.0
260406,,,,,100.0,100.0,100.0,,100.0
260407,,,,,100.0,100.0,100.0,,100.0
