agency_code,csi_lp,csi_lg,tsi_cu,tsi_at
260427,N,N,N,N
260428,N,N,Y,Y
260430,N,N,N,N
260432,N,N,N,N
260434,N,N,N,N
260440,N,N,Y,Y
260444,N,N,Y,Y
260446,N,N,Y,N
260448,N,N,Y,Y
260449,N,N,N,N
260450,N,N,Y,Y
260452,N,N,Y,Y
260454,N,N,Y,Y
260455,N,N,Y,Y
260459,N,N,Y,Y
260700,N,N,N,N
26B000,N,N,Y,Y
26C000,N,N,Y,Y
270304,N,N,N,N
270306,N,N,Y,Y
270308,N,N,Y,Y
270309,N,N,Y,Y
270310,N,N,Y,Y
270311,N,N,N,N
270312,N,N,N,N
270316,N,N,Y,Y
270318,N,N,Y,Y
270320,N,N,Y,Y
27A000,N,N,N,N
280302,N,N,N,N
280304,N,N,Y,Y
280306,N,N,N,N
280308,N,N,N,N
280310,N,N,Y,Y
280312,N,N,Y,Y
280316,N,N,N,N
280320,N,N,Y,Y
280324,N,N,Y,Y
280328,N,N,Y,Y
280330,N,N,N,N
290302,N,N,Y,Y
290306,N,N,N,N
290307,N,N,Y,Y
290308,N,N,N,N
290309,N,N,Y,Y
290310,N,N,Y,Y
290312,N,N,Y,Y
290314,N,N,N,N
290315,N,N,N,N
290316,N,N,Y,Y
290320,N,N,Y,Y
290322,N,N,Y,Y
290324,N,N,Y,Y
290328,N,N,Y,Y
290330,N,N,N,N
290332,N,N,N,N
290333,N,N,Y,Y
290334,N,N,Y,Y
290336,N,N,Y,Y
290344,N,N,Y,Y
290348,N,N,N,N
290349,N,N,N,N
290350,N,N,Y,Y
290351,N,N,Y,Y
290352,N,N,Y,Y
290356,N,N,Y,Y
290364,N,N,Y,Y
290365,N,N,Y,Y
290366,N,N,Y,Y
290367,N,N,Y,Y
290375,N,N,N,N
290376,N,N,Y,Y
290380,N,N,N,N
290384,N,N,Y,Y
290388,N,N,Y,N
290389,N,N,N,N
291308,N,N,Y,Y
291332,N,N,Y,Y
291336,N,N,Y,Y
291340,N,N,Y,Y
291348,N,N,Y,Y
291350,N,N,N,N
291352,N,N,Y,Y
292316,N,N,Y,Y
292318,N,N,Y,Y
292320,N,N,Y,Y
292324,N,N,Y,Y
298202,N,N,N,N
298203,N,N,N,N
298204,N,N,N,N
300306,Y,N,N,N
300308,N,N,Y,Y
300310,N,N,Y,Y
300312,N,N,Y,Y
300314,N,N,N,N
300320,N,N,N,N
300325,N,N,Y,Y
300326,N,N,Y,Y
300328,N,N,N,N
300330,N,N,Y,Y
300336,N,N,N,N
300337,N,N,Y,Y
310304,N,N,Y,Y
310308,N,N,Y,Y
310330,N,N,Y,Y
310336,N,N,Y,Y
310338,N,N,N,N
310344,N,N,Y,Y
310352,N,N,Y,Y
310356,N,N,Y,Y
310360,N,N,Y,Y
310364,N,N,N,N
310384,N,N,Y,Y
310388,N,N,Y,Y
310392,N,N,Y,Y
320304,N,N,Y,Y
320306,Y,N,N,N
320308,N,N,Y,N
320309,N,N,N,N
320310,N,N,Y,Y
320312,N,N,N,N
320313,N,N,Y,Y
320314,N,N,Y,Y
320315,N,N,Y,Y
320316,N,N,Y,Y
320317,N,N,N,N
320318,N,N,Y,Y
320319,N,N,N,N
320320,N,N,Y,Y
320322,N,Y,Y,Y
320323,N,N,N,N
320324,N,N,N,N
320325,N,N,Y,Y
320327,N,N,Y,Y
320328,N,N,Y,Y
320329,N,N,N,N
320332,N,N,N,N
320336,N,N,N,N
320338,Y,N,N,N
320339,Y,N,N,N
320340,N,N,Y,N
320341,N,Y,Y,Y
320342,N,N,Y,Y
320343,N,N,Y,Y
320344,N,N,Y,N
320346,N,N,Y,Y
320347,N,N,Y,N
320348,N,N,N,N
320352,N,N,Y,Y
320353,N,N,N,N
320354,N,N,N,N
320355,N,N,Y,Y
320356,N,N,Y,Y
320360,N,N,Y,Y
320362,N,N,Y,Y
320363,N,N,Y,Y
320364,N,N,N,N
320365,N,N,N,N
320366,N,N,Y,Y
320367,N,N,Y,Y
320368,N,N,N,N
320369,N,N,Y,Y
320370,N,N,Y,Y
320372,N,N,Y,N
320374,N,N,Y,Y
320376,N,N,Y,Y
320388,N,N,Y,Y
320400,Y,N,N,N
320701,N,N,N,N
32A000,N,N,Y,Y
32B000,N,N,Y,Y
32C000,N,N,Y,Y
32D000,N,N,Y,Y
32H000,N,N,Y,Y
32K000,N,N,Y,Y
32L000,N,N,N,N
32M000,N,N,Y,Y
32N000,N,N,N,N
32P000,N,N,Y,Y
32Q000,N,N,Y,Y
32R000,N,N,Y,Y
32S000,N,N,Y,Y
330304,N,N,Y,Y
330308,N,N,Y,Y
330312,Y,N,N,N
330326,N,N,N,N
330328,N,N,N,N
330332,Y,N,N,N
330334,N,N,Y,Y
330340,N,N,Y,Y
330344,N,N,Y,Y
330348,N,N,Y,Y
330350,N,N,Y,Y
330354,Y,N,N,N
330358,N,N,Y,Y
330360,N,N,Y,Y
33A000,N,N,Y,Y
340308,Y,N,N,N
340311,N,N,Y,Y
340314,N,N,Y,Y
340320,N,N,Y,Y
340326,N,N,Y,Y
340330,N,Y,Y,Y
340332,N,N,N,N
340334,N,N,Y,Y
340336,N,Y,Y,Y
340344,N,N,Y,Y
340348,N,N,N,N
340350,N,N,Y,Y
340351,Y,N,N,N
340354,N,N,N,N
340362,N,N,N,N
340364,N,N,Y,N
340366,N,N,Y,Y
340368,N,N,Y,Y
340372,N,N,Y,Y
340376,Y,N,N,N
340380,N,N,Y,Y
340382,N,N,Y,Y
340384,N,N,Y,Y
340385,Y,Y,N,N
340390,N,N,Y,Y
340392,N,N,Y,Y
340398,N,N,N,N
340400,N,N,Y,Y
340403,N,N,N,N
340406,N,N,Y,Y
340416,N,N,Y,Y
340420,N,N,Y,Y
340424,Y,N,N,N
340426,N,N,Y,Y
340427,Y,N,N,N
340428,N,N,N,N
340430,N,N,Y,Y
340432,N,N,N,N
340436,N,N,Y,Y
340440,N,N,N,N
340442,N,N,N,N
340446,N,N,N,N
340447,Y,N,N,N
340448,N,N,Y,Y
340452,Y,N,N,N
340453,N,N,Y,Y
340454,N,N,Y,Y
340457,N,N,N,N
340460,N,N,N,N
340462,N,N,Y,Y
340464,N,N,Y,Y
340472,N,N,Y,Y
340476,N,N,Y,Y
340480,N,N,Y,Y
340486,N,N,Y,Y
340488,N,N,Y,Y
340490,Y,N,N,N
340492,Y,N,N,N
340494,N,N,N,N
340495,N,N,Y,Y
340496,N,N,Y,Y
340504,N,N,Y,Y
340508,N,N,Y,Y
340512,N,N,N,N
340514,N,N,Y,Y
340516,N,N,Y,Y
340520,N,N,Y,Y
340528,N,N,N,N
340530,N,N,Y,Y
340531,N,N,Y,Y
340532,N,N,Y,Y
340536,N,N,N,N
340540,N,N,Y,Y
340542,N,N,Y,Y
340544,N,N,Y,Y
340548,N,N,Y,Y
340556,N,N,N,N
340560,N,N,N,N
340564,N,N,Y,Y
340568,N,N,Y,Y
34B000,N,N,Y,Y
34D000,N,N,N,N
34F000,N,N,Y,Y
34G000,N,N,Y,Y
34H000,N,N,N,N
350304,N,N,Y,Y
350308,N,N,Y,Y
350310,N,N,Y,Y
350312,N,N,Y,Y
350316,N,N,N,N
350317,N,N,N,N
350318,N,N,Y,Y
350321,N,N,Y,Y
350324,N,N,Y,Y
350330,N,N,N,N
350331,N,N,Y,Y
350332,N,N,Y,Y
350336,N,N,N,N
350338,N,N,Y,Y
350339,N,N,Y,Y
350340,N,N,Y,Y
35A000,N,N,Y,Y
35B000,N,N,N,N
360310,N,N,N,N
360320,N,N,N,N
360324,N,N,Y,Y
360332,N,N,Y,Y
360336,N,N,Y,Y
360337,N,N,N,N
360338,N,N,Y,Y
360339,N,N,Y,Y
360340,N,N,Y,Y
360344,N,N,Y,Y
360348,N,N,Y,Y
360352,N,N,Y,Y
360360,N,N,Y,Y
360364,N,N,N,N
360372,Y,Y,N,N
360376,N,N,Y,Y
360378,N,N,N,N
360380,N,N,N,N
360390,N,N,Y,N
360392,N,N,Y,Y
360394,N,N,Y,Y
360396,N,N,N,N
360400,N,N,Y,Y
360408,N,N,Y,Y
360418,N,N,N,N
360420,N,N,N,N
360426,N,N,Y,Y
360428,N,N,N,N
360430,N,N,N,N
360431,N,N,Y,Y
360432,N,N,Y,Y
360436,N,N,Y,Y
360438,N,N,Y,Y
360440,N,N,Y,Y
360448,N,N,N,N
360456,N,N,Y,Y
360464,N,N,N,N
360468,N,N,Y,Y
360470,N,N,Y,Y
360478,N,N,Y,Y
360480,N,N,Y,Y
360482,N,N,Y,Y
360488,N,N,Y,Y
360490,N,N,Y,Y
360492,N,N,Y,Y
360494,N,N,Y,Y
360498,N,N,Y,Y
360499,N,N,Y,Y
360500,N,N,Y,Y
360504,N,N,Y,Y
360510,N,N,Y,Y
360514,N,N,Y,Y
360520,N,N,Y,Y
360526,N,N,Y,Y
360550,N,N,N,N
36B000,N,N,Y,N
36C000,N,N,Y,Y
370304,N,N,Y,Y
370308,N,N,Y,Y
370312,N,N,Y,Y
370316,N,N,N,N
370324,N,N,Y,Y
380306,N,N,Y,Y
380308,N,N,N,N
380310,N,N,Y,Y
390309,N,N,Y,Y
390311,N,N,Y,Y
390312,N,N,N,N
390314,N,N,N,N
390316,N,N,Y,Y
390320,N,N,Y,Y
390322,N,N,N,N
390323,N,N,N,N
390324,N,N,Y,Y
390331,N,N,Y,Y
390333,N,N,N,N
390334,N,N,Y,Y
390336,N,N,Y,Y
390352,N,N,Y,Y
390360,N,N,Y,Y
390362,N,N,Y,Y
390364,N,N,Y,Y
390368,N,N,N,N
390700,N,N,N,N
39A000,N,N,Y,Y
39B000,N,N,N,N
