agency_code,avg_size_00_SAR,avg_size_01_SAR,avg_size_02_SAR,avg_size_03_SAR,avg_size_04_SAR,avg_size_05_SAR,avg_size_06_SAR,avg_size_07_SAR,avg_size_08_SAR,avg_size_Biology_SAR,avg_size_English II_SAR,avg_size_Math I_SAR
180380,20.0,21.0,20.0,21.0,24.0,25.0,19.0,,,,,
180388,17.0,18.0,17.0,16.0,21.0,16.0,18.0,,,,,
180LEA,19.0,18.0,18.0,18.0,23.0,23.0,22.0,24.0,23.0,21.0,24.0,24.333333333333332
181312,,,,,,,28.0,25.0,22.0,,,32.0
181316,,,,,,,23.0,27.0,20.0,,,22.0
181318,,,,,,,,,,8.0,9.0,15.0
181322,,,,,,,,,,18.0,21.0,19.0
181326,19.0,17.0,17.0,21.0,21.0,23.0,,,,,,
181332,,,,19.0,22.0,22.0,,,,,,
181336,19.0,20.0,17.0,19.0,26.0,22.0,,,,,,
181342,18.0,20.0,17.0,,,,,,,,,
181344,18.0,17.0,18.0,18.0,24.0,20.0,,,,,,
181LEA,19.0,19.0,17.0,19.0,23.0,22.0,26.0,26.0,21.0,13.333333333333334,15.333333333333334,20.75
182304,,,,,,,,,,,,8.0
182316,,,,,,,,,,21.0,19.0,19.0
182321,,,,,,,28.0,22.0,29.0,,,
182322,20.0,13.0,20.0,18.0,23.0,22.0,,,,,,
182324,17.0,20.0,19.0,18.0,17.0,15.0,,,,,,
182328,22.0,19.0,18.0,18.0,21.0,26.0,,,,,,
182700,,,,,,,,,,27.0,20.0,22.0
182LEA,20.0,17.0,19.0,18.0,20.0,21.0,28.0,22.0,29.0,23.5,19.5,15.0
190304,13.0,13.0,18.0,18.0,14.0,14.0,23.0,15.0,21.0,,,
190308,22.0,18.0,19.0,19.0,20.0,26.0,16.0,16.0,17.0,,,
190310,,,,,,,,,,9.0,,
190312,,,,,,,24.0,23.0,18.0,,,24.0
190316,,,,,,,,,,17.0,18.0,20.0
190328,,,,,,27.0,21.0,26.0,25.0,,,33.0
190332,14.0,17.0,,21.0,12.0,15.0,27.0,13.0,23.0,,,
190336,,,,,,,,,,21.0,20.0,18.0
190339,,,,,,,25.0,27.0,26.0,,,29.0
190340,16.0,12.0,14.0,19.0,18.0,29.0,30.0,19.0,20.0,,,19.0
190341,19.0,19.0,20.0,19.0,26.0,20.0,,,,,,
190342,,,,,,,,,,21.0,23.0,20.0
190346,21.0,20.0,18.0,18.0,28.0,28.0,,,,,,
190348,20.0,21.0,20.0,21.0,25.0,,,,,,,
190350,,,,,22.0,19.0,,,,,,
190352,20.0,20.0,21.0,20.0,12.0,23.0,22.0,16.0,19.0,,,11.0
190370,,,,,22.0,22.0,,,,,,
190501,,,,,,,,,,9.0,12.0,10.0
190LEA,18.333333333333332,18.0,18.666666666666668,19.0,20.0,23.0,23.666666666666668,20.0,21.333333333333332,15.5,18.5,20.25
19A000,,,,,,,,,,15.0,15.0,15.0
19B000,,,,,,,,,,11.0,11.0,11.0
200304,15.0,14.0,17.0,15.0,24.0,,,,,,,
200308,,,,,,,,,,10.0,9.0,13.0
200310,,,,,,18.0,19.0,12.0,15.0,14.0,,18.0
200312,17.0,14.0,15.0,17.0,19.0,16.0,23.0,12.0,13.0,,,15.0
200314,,,,,,,,,,13.0,11.0,16.0
200320,11.0,13.0,20.0,,10.0,,13.0,12.0,13.0,,,13.0
200322,,,,,,,,,,5.0,5.0,
200324,11.0,19.0,17.0,19.0,,,,,,,,
200328,,,,,,,,,,18.0,22.0,15.0
200330,,,,,,,20.0,21.0,20.0,,,28.0
200332,15.0,17.0,11.0,12.0,11.0,14.0,,,,,,
200336,18.0,15.0,11.0,15.0,19.0,15.0,16.0,11.0,15.0,,,15.0
200350,,,,,,,,,,16.0,19.0,21.0
200LEA,14.666666666666666,15.333333333333334,15.0,15.666666666666666,17.0,16.0,18.333333333333332,14.333333333333334,15.666666666666666,11.5,11.333333333333334,17.5
210304,,,,,,,21.0,21.0,20.0,,,25.0
210306,,,,18.0,22.0,24.0,,,,,,
210312,,,,,,,,,,18.0,17.0,14.0
210316,18.0,19.0,18.0,,,,,,,,,
210LEA,18.0,19.0,18.0,18.0,22.0,24.0,21.0,21.0,20.0,18.0,17.0,19.0
220308,18.0,18.0,17.0,18.0,27.0,,,,,,,
220310,,,,,,,,,,18.0,17.0,14.0
220312,,,,,,23.0,25.0,27.0,25.0,,,
220LEA,18.0,18.0,17.0,18.0,27.0,23.0,25.0,27.0,25.0,18.0,17.0,14.0
230304,20.0,17.0,20.0,19.0,16.0,,,,,,,
230308,20.0,15.0,17.0,19.0,20.0,19.0,,,,,,
230312,,,,,,,,,,19.0,19.0,15.0
230316,,,,,,,21.0,17.0,19.0,,,37.0
230320,22.0,15.0,12.0,12.0,21.0,21.0,,,,,,
