District Name,unit_code,School Name,State Board Region,SPG Grade,SPG Score,Reading SPG Grade,Reading SPG Score,Math SPG Grade,Math SPG Score,EVAAS Growth Status,EVAAS Growth Score,Overall Achievement Score,Reading Score,Math Score,Science Score,Math I Score,English II Score,Biology Score,ACT Score,ACT WorkKeys Score,Passing Math III,4-Year Cohort Graduation Rate Score,State Gap Compared
Buncombe County Schools,110379,North Buncombe Elementary,Western Region,C,62.0,59.0,C,65.0,C,Met,82.3,57,57,58,,,,,,,,,
Buncombe County Schools,110380,North Buncombe High,Western Region,B,77.0,,,,,Exceeded,87.0,74,,,,62,67,66,59,87,100,90,
Buncombe County Schools,110381,North Buncombe Middle,Western Region,C,68.0,66.0,C,64.0,C,NotMet,64.4,68,66,62,76,93,,,,,,,
Buncombe County Schools,110382,North Windy Ridge Intermediate,Western Region,B,73.0,70.0,B,72.0,B,Exceeded,91.8,68,66,67,72,,,,,,,,
Buncombe County Schools,110384,Oakley Elementary,Western Region,C,62.0,57.0,C,62.0,C,Exceeded,86.2,56,51,55,74,,,,,,,,
Buncombe County Schools,110388,Pisgah Elementary,Western Region,B,77.0,75.0,B,76.0,B,Met,75.8,78,74,76,91,,,,,,,,
Buncombe County Schools,110401,Enka Middle,Western Region,C,56.0,58.0,C,47.0,D,NotMet,59.3,55,55,44,77,100,,,,,,,
Buncombe County Schools,110408,Sand Hill-Venable Elem,Western Region,C,62.0,60.0,C,62.0,C,Met,80.2,58,54,59,67,,,,,,,,
Buncombe County Schools,110410,Avery's Creek Elementary,Western Region,C,62.0,62.0,C,61.0,C,Met,75.9,58,57,60,,,,,,,,,
Buncombe County Schools,110412,Williams Elementary,Western Region,C,65.0,60.0,C,67.0,C,Met,75.7,62,57,64,70,,,,,,,,
Buncombe County Schools,110416,Roberson High,Western Region,B,76.0,,,,,Met,72.2,77,,,,65,66,77,67,86,100,93,
Buncombe County Schools,110420,Valley Springs Middle,Western Region,B,78.0,75.0,B,72.0,B,Exceeded,100.0,72,70,65,83,100,,,,,,,
Buncombe County Schools,110422,Estes Elementary,Western Region,C,65.0,67.0,C,65.0,C,NotMet,57.4,67,66,68,,,,,,,,,
Buncombe County Schools,110428,Weaverville Elementary,Western Region,C,67.0,69.0,C,68.0,C,NotMet,58.5,70,69,70,,,,,,,,,
Buncombe County Schools,110432,Weaverville Primary,Western Region,I,,,,,,,,,,,,,,,,,,,
Buncombe County Schools,110436,West Buncombe Elementary,Western Region,B,76.0,70.0,B,81.0,B,Exceeded,90.8,72,66,78,,,,,,,,,
Buncombe County Schools,110444,Woodfin Elementary,Western Region,C,63.0,66.0,C,60.0,C,Met,75.3,60,64,56,,,,,,,,,
Buncombe County Schools,110450,Koontz Intermediate,Western Region,C,68.0,69.0,C,67.0,C,Met,77.2,66,66,63,70,,,,,,,,
Buncombe County Schools,110451,Eblen Intermediate,Western Region,C,62.0,56.0,C,62.0,C,Met,80.4,57,50,57,70,,,,,,,,
Buncombe County Schools,110500,Nesbitt Discovery Academy,Western Region,A,92.0,,,,,Met,80.7,95,,,,100,95,90,,,,,N
Asheville City Schools,111302,Asheville High,Western Region,C,67.0,,,,,NotMet,54.6,71,,,,49,68,55,72,80,100,84,
Asheville City Schools,111304,Hall Fletcher Elementary,Western Region,C,55.0,58.0,C,48.0,D,Met,78.0,49,51,44,60,,,,,,,,
Asheville City Schools,111306,Isaac Dickson Elementary,Western Region,B,74.0,74.0,B,74.0,B,Met,79.5,73,72,71,80,,,,,,,,
Asheville City Schools,111312,Claxton Elementary,Western Region,C,65.0,70.0,B,63.0,C,NotMet,62.5,65,71,60,66,,,,,,,,
Asheville City Schools,111332,Ira B Jones Elementary,Western Region,C,67.0,71.0,B,62.0,C,NotMet,66.6,67,69,63,70,,,,,,,,
Asheville City Schools,111356,Asheville Middle,Western Region,B,72.0,72.0,B,69.0,C,Met,80.2,70,69,65,75,94,,,,,,,
Asheville City Schools,111360,Vance Elementary,Western Region,B,73.0,74.0,B,69.0,C,Met,77.2,72,74,67,78,,,,,,,,
Asheville City Schools,111700,School of Inquiry and Life Sciences,Western Region,A,86.0,,,,,Exceeded,85.5,86,,,,72,87,82,94,88,100,93,N
Burke County Schools,120304,Chesterfield Elementary,Northwest Region,C,58.0,57.0,C,51.0,D,Met,81.1,52,51,46,77,,,,,,,,
Burke County Schools,120308,Hallyburton Academy,Northwest Region,,,,,,,,,,,,,,,,,,,,
Burke County Schools,120310,Burke Middle College,Northwest Region,A,100.0,,,,,,,100,,,,,,,100,,100,100,N
Burke County Schools,120312,Drexel Elementary,Northwest Region,C,67.0,62.0,C,61.0,C,Exceeded,87.5,62,57,57,92,,,,,,,,
