year,agency_code,poverty,number_of_teachers,beg_teacher,pct_beg_teachers,prov_teachers,pct_prov_teachers,num_prin,inexp_count_prin,pct_inexp_prin
2019,180379,NEITHER,35.0,2.0,0.0571,0.0,0.0,,,
2019,180380,NEITHER,39.0,2.0,0.0513,0.0,0.0,,,
2019,180388,HIGH,35.0,6.0,0.1714,0.0,0.0,,,
2019,181312,NEITHER,38.0,3.0,0.0789,0.0,0.0,,,
2019,181316,NEITHER,35.0,3.0,0.0857,0.0,0.0,,,
2019,181318,NEITHER,21.0,1.0,0.0476,0.0,0.0,,,
2019,181322,NEITHER,80.0,12.0,0.15,0.0,0.0,,,
2019,181326,NEITHER,31.0,3.0,0.0968,0.0,0.0,,,
2019,181332,HIGH,24.0,2.0,0.0833,0.0,0.0,,,
2019,181336,NEITHER,25.0,0.0,0.0,0.0,0.0,,,
2019,181342,HIGH,33.0,8.0,0.2424,0.0,0.0,,,
2019,181344,NEITHER,54.0,3.0,0.0556,0.0,0.0,,,
2019,182304,NEITHER,13.0,3.0,0.2308,0.0,0.0,,,
2019,182316,NEITHER,52.0,3.0,0.0577,0.0,0.0,,,
2019,182321,NEITHER,39.0,5.0,0.1282,0.0,0.0,,,
2019,182322,NEITHER,30.0,8.0,0.2667,0.0,0.0,,,
2019,182324,HIGH,30.0,7.0,0.2333,0.0,0.0,,,
2019,182328,HIGH,37.0,10.0,0.2703,0.0,0.0,,,
2019,182700,LOW,11.0,0.0,0.0,0.0,0.0,,,
2019,190304,NEITHER,22.0,2.0,0.0909,0.0,0.0,,,
2019,190308,NEITHER,29.0,1.0,0.0345,0.0,0.0,,,
