digital_media,year,agency_code,category_code,device_access,device_access_grades,device_home,device_home_grades,BYOD,byod_grades,Book_TitlesPer_Student,wap,wap_class,media_school,devices
4,2019,360500,M,Yes,6:07:08,Yes,6:07:08,Yes,6:07:08,11.38,87,1.93,2012.0,0.63
0,2019,360504,E,Yes,K:1:2:3:4:5,No,-,No,-,23.57,39,1.26,2001.0,0.49
1,2019,360510,E,Yes,2:3:4:5,No,-,No,-,22.83,41,1.17,2004.0,0.75
1,2019,360514,M,No,-,No,-,No,-,11.05,46,1.21,2004.0,0.73
3,2019,360520,E,Yes,K:1:2:3:4:5,No,-,No,-,19.34,44,1.42,2008.0,0.6
1,2019,360526,M,Yes,6:07:08,No,-,Yes,6:07:08,19.04,38,1.31,2007.0,0.58
-,2019,360550,I,No,-,No,-,No,-,,,,,-
0,2019,36B000,A,Yes,3:4:5:6:7:8:9:10:11:12,Yes,4:5:6:7:8:9:10:11:12,No,-,7.63,37,0.63,2000.0,2.32
0,2019,36C000,A,No,-,No,-,Yes,9:10:11:12,9.52,112,1.24,,5.1
0,2019,370304,E,No,-,No,-,No,-,33.9,26,1.0,1998.0,0.99
1,2019,370308,M,No,-,No,-,No,-,31.98,46,1.39,1997.0,0.82
13,2019,370312,H,No,-,No,-,No,-,19.65,63,1.31,1999.0,0.81
0,2019,370316,E,No,-,No,-,No,-,33.6,28,0.93,1999.0,1.41
1,2019,370324,E,No,-,No,-,No,-,35.2,26,0.84,1999.0,0.9
4,2019,380306,E,Yes,4:05:06,No,-,No,-,23.27,70,1.35,1996.0,1.07
7,2019,380308,A,Yes,9:10:11:12,Yes,9:10:11:12,No,-,16.55,54,1.35,1996.0,0.52
7,2019,380310,M,Yes,7:08,Yes,7:08,No,-,31.46,16,1.23,1996.0,0.31
0,2019,390309,M,Yes,6:07:08,Yes,6:07:08,No,-,15.23,30,0.91,2003.0,0.76
0,2019,390311,E,Yes,4:05,No,-,No,-,27.73,34,0.97,1997.0,1
1,2019,390312,E,No,-,No,-,No,-,27.67,40,1.48,1998.0,0.82
