year,agency_code,metric,num,den,pct,masking
2019,090317,promoted,64.0,74.0,86.5,
2019,090317,retained,10.0,74.0,13.5,
2019,090318,passed_eog,16.0,39.0,41.0,
2019,090318,passed_rta,,,,3.0
2019,090318,passed_laa,,,,3.0
2019,090318,gce_els,,,,3.0
2019,090318,gce_swd,,,,3.0
2019,090318,gce_rpf,,,,3.0
2019,090318,gce_prm,,,,3.0
2019,090318,gce_all,,,,3.0
2019,090318,promoted,22.0,39.0,56.4,
2019,090318,retained,17.0,39.0,43.6,
2019,090324,passed_eog,22.0,56.0,39.3,
2019,090324,passed_rta,,,,3.0
2019,090324,passed_laa,,,,3.0
2019,090324,gce_els,,,,3.0
2019,090324,gce_swd,,,,3.0
2019,090324,gce_rpf,,,,3.0
2019,090324,gce_prm,,,,3.0
2019,090324,gce_all,,,,3.0
2019,090324,promoted,50.0,56.0,89.3,
2019,090324,retained,,,,3.0
2019,090328,passed_eog,,,,3.0
2019,090328,passed_rta,,,,3.0
2019,090328,passed_laa,,,,3.0
2019,090328,gce_els,,,,3.0
2019,090328,gce_swd,,,,3.0
2019,090328,gce_rpf,,,,3.0
2019,090328,gce_prm,,,,3.0
2019,090328,gce_all,,,,3.0
2019,090328,promoted,10.0,14.0,71.4,
2019,090328,retained,,,,3.0
2019,090333,passed_eog,35.0,100.0,35.0,
2019,090333,passed_rta,,,,3.0
2019,090333,passed_laa,,,,3.0
2019,090333,gce_els,,,,3.0
2019,090333,gce_swd,,,,3.0
2019,090333,gce_rpf,,,,3.0
2019,090333,gce_prm,,,,3.0
2019,090333,gce_all,13.0,100.0,13.0,
2019,090333,promoted,79.0,100.0,79.0,
2019,090333,retained,21.0,100.0,21.0,
2019,090352,passed_eog,10.0,24.0,41.7,
2019,090352,passed_rta,,,,3.0
2019,090352,passed_laa,,,,3.0
2019,090352,gce_els,,,,3.0
2019,090352,gce_swd,,,,3.0
2019,090352,gce_rpf,,,,3.0
2019,090352,gce_prm,,,,3.0
2019,090352,gce_all,,,,3.0
2019,090352,promoted,21.0,24.0,87.5,
2019,090352,retained,,,,3.0
2019,09B000,passed_eog,35.0,58.0,60.3,
2019,09B000,passed_rta,,,,3.0
2019,09B000,passed_laa,,,,3.0
2019,09B000,gce_els,,,,3.0
2019,09B000,gce_swd,,,,3.0
2019,09B000,gce_rpf,,,,3.0
2019,09B000,gce_prm,,,,3.0
2019,09B000,gce_all,,,,3.0
2019,09B000,promoted,51.0,58.0,87.9,
2019,09B000,retained,,,,3.0
2019,100302,passed_eog,69.0,129.0,53.5,
2019,100302,passed_rta,,,,3.0
2019,100302,passed_laa,,,,3.0
2019,100302,gce_els,,,,3.0
2019,100302,gce_swd,,,,3.0
2019,100302,gce_rpf,16.0,129.0,12.4,
2019,100302,gce_prm,,,,3.0
2019,100302,gce_all,27.0,129.0,20.9,
2019,100302,promoted,105.0,129.0,81.4,
2019,100302,retained,24.0,129.0,18.6,
2019,100304,passed_eog,45.0,76.0,59.2,
2019,100304,passed_rta,,,,3.0
2019,100304,passed_laa,,,,3.0
2019,100304,gce_els,,,,3.0
2019,100304,gce_swd,11.0,76.0,14.5,
2019,100304,gce_rpf,,,,3.0
2019,100304,gce_prm,,,,3.0
2019,100304,gce_all,11.0,76.0,14.5,
2019,100304,promoted,72.0,76.0,94.7,
2019,100304,retained,,,,3.0
2019,100310,passed_eog,46.0,68.0,67.6,
2019,100310,passed_rta,,,,3.0
2019,100310,passed_laa,,,,3.0
2019,100310,gce_els,,,,3.0
2019,100310,gce_swd,,,,3.0
2019,100310,gce_rpf,,,,3.0
2019,100310,gce_prm,,,,3.0
2019,100310,gce_all,14.0,68.0,20.6,
2019,100310,promoted,,,95.0,1.0
2019,100310,retained,,,,3.0
2019,100320,passed_eog,37.0,110.0,33.6,
2019,100320,passed_rta,,,,3.0
