year,agency_code,career_cluster,num_concentrators
2019,220310,BMA,6
2019,220310,HLTH,18
2019,220310,HOSP,23
2019,220310,INFO,10
2019,220310,TRAN,8
2019,230312,AGNR,66
2019,230312,ARCH,33
2019,230312,AAVC,8
2019,230312,BMA,10
2019,230312,EDUC,3
2019,230312,HLTH,33
2019,230312,HOSP,43
2019,230312,INFO,13
2019,230312,LAW,6
2019,230312,MANU,17
2019,230322,ARCH,1
2019,230322,MANU,7
2019,230322,STEM,1
2019,230324,AGNR,43
2019,230324,ARCH,12
2019,230324,BMA,3
2019,230324,EDUC,5
2019,230324,HLTH,39
2019,230324,HOSP,13
2019,230324,HUMA,1
2019,230324,INFO,5
2019,230324,LAW,17
2019,230324,MANU,23
2019,230324,MRKT,1
2019,230324,TRAN,9
2019,230330,AGNR,1
2019,230330,ARCH,3
2019,230330,BMA,6
2019,230330,INFO,8
2019,230330,MANU,1
2019,230330,MRKT,1
2019,230350,AGNR,45
2019,230350,ARCH,28
2019,230350,AAVC,21
2019,230350,BMA,15
2019,230350,EDUC,13
2019,230350,HLTH,29
2019,230350,HOSP,29
2019,230350,HUMA,2
2019,230350,INFO,7
2019,230350,LAW,34
2019,230350,MANU,42
2019,230350,MRKT,1
2019,230350,STEM,14
2019,230350,TRAN,2
2019,230361,AGNR,1
2019,230361,ARCH,26
2019,230361,BMA,1
2019,230361,HLTH,43
2019,230361,HOSP,16
2019,230361,HUMA,1
2019,230361,INFO,9
2019,230361,LAW,6
2019,230361,MANU,28
2019,230361,MRKT,1
2019,230361,STEM,1
2019,230361,TRAN,1
2019,240334,AGNR,19
2019,240334,HLTH,10
2019,240334,LAW,1
2019,240334,TRAN,3
2019,240371,AGNR,21
2019,240371,ARCH,1
2019,240371,HLTH,16
2019,240371,INFO,6
2019,240371,LAW,5
2019,240371,TRAN,5
2019,240373,ARCH,9
2019,240373,HOSP,11
2019,240373,MANU,6
2019,240373,STEM,1
2019,240380,AGNR,20
2019,240380,HLTH,15
2019,240380,INFO,2
2019,240380,TRAN,6
2019,241316,AGNR,5
2019,241316,ARCH,7
2019,241316,HLTH,31
2019,241316,HOSP,10
2019,241316,HUMA,1
2019,241316,INFO,2
2019,241316,MANU,4
2019,241316,TRAN,2
2019,250314,INFO,1
2019,250314,STEM,1
2019,250314,TRAN,2
2019,250321,BMA,1
2019,250321,HUMA,1
2019,250321,INFO,1
2019,250321,LAW,1
2019,250321,MANU,1
2019,250321,STEM,1
2019,250340,AGNR,17
2019,250340,ARCH,1
2019,250340,AAVC,16
2019,250340,BMA,1
2019,250340,HLTH,16
2019,250340,HOSP,19
2019,250340,INFO,4
2019,250340,LAW,5
2019,250340,MANU,2
2019,250340,STEM,23
2019,250340,TRAN,4
2019,250356,AGNR,27
2019,250356,ARCH,7
2019,250356,AAVC,8
2019,250356,BMA,3
2019,250356,FINA,3
2019,250356,HLTH,34
2019,250356,HOSP,29
2019,250356,INFO,2
2019,250356,LAW,3
2019,250356,MANU,1
2019,250356,STEM,3
2019,250372,AGNR,34
2019,250372,ARCH,10
2019,250372,AAVC,10
2019,250372,BMA,6
2019,250372,HLTH,33
2019,250372,HOSP,1
2019,250372,INFO,9
2019,250372,LAW,2
2019,250372,MANU,11
2019,250372,STEM,12
2019,260318,AGNR,6
2019,260318,AAVC,20
2019,260318,BMA,29
2019,260318,FINA,5
2019,260318,HLTH,41
2019,260318,HOSP,27
2019,260318,INFO,52
2019,260318,LAW,7
2019,260318,MANU,12
2019,260318,MRKT,17
2019,260318,STEM,26
2019,260318,TRAN,1
2019,260322,AGNR,41
2019,260322,ARCH,8
2019,260322,AAVC,4
2019,260322,BMA,26
2019,260322,FINA,21
2019,260322,HLTH,1
2019,260322,HOSP,76
2019,260322,HUMA,5
2019,260322,INFO,16
2019,260322,LAW,4
2019,260322,MRKT,6
2019,260322,STEM,1
2019,260325,AGNR,59
2019,260325,ARCH,8
2019,260325,AAVC,6
2019,260325,BMA,27
2019,260325,HLTH,28
2019,260325,HOSP,15
2019,260325,INFO,37
2019,260325,LAW,50
2019,260325,MANU,3
2019,260325,MRKT,5
2019,260325,STEM,3
2019,260357,AGNR,73
2019,260357,ARCH,1
2019,260357,AAVC,6
2019,260357,BMA,27
2019,260357,HLTH,24
2019,260357,HOSP,30
2019,260357,INFO,30
2019,260357,LAW,6
2019,260357,MANU,1
2019,260357,STEM,1
2019,260359,AGNR,14
2019,260359,BMA,4
2019,260359,HLTH,1
2019,260359,HOSP,39
2019,260359,HUMA,2
2019,260359,INFO,7
2019,260359,LAW,9
2019,260359,MRKT,1
2019,260359,TRAN,2
2019,260374,AGNR,7
2019,260374,ARCH,1
2019,260374,BMA,2
2019,260374,HOSP,7
2019,260374,INFO,2
2019,260374,MANU,2
2019,260388,BMA,6
2019,260388,HLTH,1
2019,260388,LAW,2
2019,260388,STEM,1
2019,260408,AGNR,54
2019,260408,ARCH,2
2019,260408,AAVC,11
2019,260408,BMA,71
2019,260408,HLTH,20
2019,260408,HOSP,34
2019,260408,HUMA,2
2019,260408,INFO,58
2019,260408,LAW,6
2019,260408,MANU,3
2019,260408,MRKT,21
2019,260408,STEM,4
2019,260411,AAVC,3
2019,260411,BMA,15
2019,260411,HLTH,3
2019,260411,INFO,10
2019,260411,LAW,4
2019,260424,AGNR,76
2019,260424,ARCH,8
2019,260424,AAVC,5
2019,260424,BMA,19
2019,260424,FINA,13
2019,260424,HLTH,12
2019,260424,HOSP,71
2019,260424,HUMA,4
2019,260424,INFO,32
2019,260424,LAW,7
2019,260424,MANU,12
2019,260424,MRKT,12
2019,260424,STEM,1
2019,260424,TRAN,1
2019,260427,AGNR,22
2019,260427,ARCH,19
2019,260427,AAVC,6
2019,260427,BMA,12
2019,260427,HLTH,5
2019,260427,HOSP,23
2019,260427,HUMA,3
2019,260427,INFO,5
2019,260427,LAW,32
2019,260427,MANU,2
2019,260427,MRKT,4
2019,260427,STEM,14
2019,260446,AGNR,19
2019,260446,ARCH,3
2019,260446,AAVC,3
2019,260446,BMA,12
2019,260446,FINA,1
2019,260446,HLTH,14
2019,260446,HOSP,52
2019,260446,HUMA,1
2019,260446,INFO,13
2019,260446,LAW,6
2019,260446,MANU,3
2019,260446,MRKT,8
2019,260449,AGNR,2
2019,260449,HOSP,2
2019,260449,INFO,1
2019,260455,AGNR,6
2019,260455,AAVC,2
2019,260455,BMA,6
2019,260455,HLTH,28
2019,260455,HOSP,18
2019,260455,HUMA,3
2019,260455,INFO,5
2019,260455,LAW,12
2019,260455,MRKT,3
2019,260455,STEM,17
2019,260455,TRAN,3
2019,260700,AAVC,1
2019,260700,BMA,3
2019,260700,HLTH,2
2019,260700,HOSP,1
2019,260700,INFO,1
2019,260700,LAW,1
2019,260700,STEM,1
2019,270306,AGNR,67
2019,270306,ARCH,16
