year,agency_code,career_only,career_college_college_unc,college_college_unc_only,college_only,global_language
2019,650327,0.0,71.0,192.0,26.0,32.0
2019,650340,0.0,0.0,2.0,0.0,
2019,650342,0.0,57.0,243.0,22.0,65.0
2019,650352,1.0,24.0,184.0,21.0,29.0
2019,650355,0.0,0.0,1.0,2.0,
2019,650394,0.0,17.0,20.0,0.0,
2019,660336,0.0,0.0,17.0,2.0,
2019,660400,0.0,0.0,19.0,0.0,
2019,66A000,0.0,0.0,19.0,15.0,29.0
2019,670320,1.0,46.0,87.0,16.0,22.0
2019,670324,0.0,107.0,103.0,11.0,13.0
2019,670333,0.0,79.0,113.0,23.0,9.0
2019,670340,0.0,86.0,55.0,16.0,10.0
2019,670344,1.0,48.0,60.0,14.0,1.0
2019,670352,1.0,103.0,75.0,7.0,7.0
2019,670364,2.0,44.0,78.0,19.0,1.0
2019,680310,1.0,48.0,130.0,9.0,35.0
2019,680332,0.0,66.0,166.0,11.0,31.0
2019,681305,,,,,74.0
2019,681308,,,,,152.0
2019,681314,0.0,55.0,1.0,2.0,163.0
2019,68A000,,,,,4.0
2019,690320,0.0,32.0,40.0,22.0,1.0
2019,69A000,0.0,1.0,12.0,6.0,
2019,700317,0.0,53.0,98.0,5.0,1.0
2019,700319,0.0,38.0,91.0,9.0,
2019,70A000,0.0,0.0,33.0,0.0,
2019,710321,0.0,45.0,80.0,23.0,1.0
2019,710326,0.0,33.0,81.0,10.0,
2019,710327,0.0,1.0,2.0,0.0,
2019,710342,1.0,96.0,167.0,12.0,15.0
2019,720316,0.0,23.0,54.0,6.0,
2019,730352,0.0,69.0,116.0,37.0,14.0
2019,73B000,0.0,1.0,46.0,1.0,10.0
2019,740309,0.0,49.0,17.0,16.0,
2019,740333,,,,,11.0
2019,740344,0.0,38.0,55.0,21.0,
2019,740366,0.0,54.0,2.0,1.0,31.0
2019,740374,0.0,42.0,4.0,0.0,
2019,740388,1.0,78.0,174.0,13.0,20.0
2019,740500,0.0,2.0,21.0,0.0,2.0
2019,750317,0.0,0.0,2.0,0.0,
2019,750318,0.0,49.0,59.0,30.0,6.0
2019,760318,1.0,31.0,40.0,18.0,
2019,760339,1.0,69.0,54.0,16.0,5.0
2019,760348,0.0,70.0,91.0,29.0,
2019,760354,,,,,22.0
2019,760358,0.0,82.0,64.0,16.0,
2019,760380,1.0,51.0,59.0,14.0,1.0
2019,760388,0.0,86.0,55.0,7.0,8.0
2019,761304,0.0,108.0,113.0,3.0,14.0
2019,76A000,0.0,0.0,79.0,17.0,2.0
2019,770348,0.0,107.0,109.0,19.0,
2019,770349,0.0,11.0,43.0,0.0,
2019,780325,4.0,51.0,27.0,8.0,
2019,780342,1.0,93.0,122.0,17.0,
2019,780385,0.0,9.0,33.0,0.0,
2019,780391,0.0,37.0,44.0,13.0,
2019,780401,0.0,47.0,48.0,9.0,
2019,780402,0.0,17.0,23.0,5.0,
2019,780420,0.0,87.0,92.0,34.0,
2019,790314,0.0,51.0,116.0,12.0,4.0
2019,790354,0.0,52.0,104.0,22.0,6.0
2019,790366,0.0,13.0,71.0,10.0,16.0
2019,790378,0.0,49.0,144.0,22.0,19.0
2019,790379,0.0,0.0,1.0,0.0,1.0
2019,800308,0.0,0.0,1.0,0.0,
2019,800340,0.0,40.0,125.0,10.0,4.0
2019,800361,0.0,57.0,3.0,4.0,11.0
2019,800376,0.0,18.0,76.0,2.0,
2019,800394,0.0,0.0,44.0,0.0,
2019,800396,0.0,35.0,54.0,3.0,14.0
2019,800400,0.0,48.0,110.0,12.0,
2019,800408,0.0,45.0,136.0,26.0,2.0
2019,810324,0.0,58.0,81.0,22.0,
2019,810340,0.0,61.0,100.0,14.0,4.0
2019,810384,0.0,36.0,82.0,13.0,6.0
2019,810385,0.0,0.0,26.0,3.0,
2019,81A000,0.0,0.0,64.0,0.0,29.0
2019,820324,0.0,4.0,35.0,0.0,10.0
2019,820348,0.0,43.0,21.0,11.0,4.0
2019,820349,0.0,48.0,20.0,8.0,1.0
2019,820352,0.0,82.0,47.0,5.0,20.0
2019,820388,0.0,35.0,25.0,8.0,
2019,821308,0.0,55.0,108.0,15.0,13.0
2019,830316,0.0,0.0,5.0,0.0,
2019,830343,0.0,67.0,146.0,7.0,8.0
2019,830348,0.0,0.0,26.0,1.0,
2019,840302,2.0,20.0,20.0,9.0,1.0
2019,840332,0.0,46.0,55.0,22.0,
2019,840356,0.0,24.0,51.0,36.0,
2019,840361,0.0,7.0,28.0,3.0,
2019,840368,0.0,55.0,100.0,46.0,1.0
2019,84B000,0.0,0.0,2.0,1.0,
2019,850332,0.0,47.0,11.0,13.0,
2019,850352,0.0,18.0,52.0,9.0,9.0
2019,850358,0.0,38.0,96.0,35.0,10.0
2019,860316,0.0,35.0,43.0,10.0,
2019,860336,1.0,59.0,31.0,23.0,1.0
2019,860352,2.0,42.0,44.0,35.0,4.0
2019,860354,0.0,4.0,40.0,8.0,2.0
2019,861308,1.0,29.0,31.0,6.0,1.0
2019,862312,0.0,39.0,106.0,7.0,
2019,86T000,,,,,5.0
2019,870314,3.0,30.0,29.0,1.0,
2019,880308,0.0,83.0,93.0,25.0,8.0
2019,880328,0.0,26.0,28.0,13.0,2.0
2019,890304,0.0,7.0,10.0,1.0,1.0
2019,900311,0.0,98.0,328.0,8.0,58.0
2019,900316,0.0,27.0,98.0,6.0,8.0
2019,900336,0.0,20.0,88.0,9.0,4.0
2019,900342,3.0,76.0,195.0,16.0,16.0
2019,900344,1.0,49.0,118.0,13.0,13.0
2019,900348,0.0,75.0,226.0,14.0,17.0
2019,900360,0.0,62.0,229.0,15.0,19.0
2019,900365,0.0,2.0,1.0,1.0,
2019,900366,1.0,150.0,180.0,5.0,10.0
2019,900367,0.0,0.0,60.0,2.0,
2019,900377,1.0,41.0,271.0,0.0,98.0
2019,900393,0.0,72.0,400.0,11.0,120.0
2019,90A000,0.0,0.0,85.0,0.0,11.0
2019,910368,0.0,1.0,3.0,1.0,
2019,910370,0.0,30.0,91.0,7.0,6.0
2019,910382,0.0,3.0,24.0,0.0,
2019,91B000,0.0,0.0,23.0,0.0,7.0
2019,920316,0.0,153.0,330.0,23.0,52.0
2019,920317,0.0,117.0,425.0,17.0,61.0
2019,920318,0.0,94.0,277.0,9.0,34.0
2019,920348,0.0,60.0,301.0,9.0,155.0
2019,920368,1.0,118.0,206.0,27.0,25.0
2019,920386,0.0,0.0,28.0,0.0,5.0
2019,920411,0.0,54.0,90.0,10.0,15.0
2019,920412,0.0,108.0,366.0,6.0,182.0
2019,920428,0.0,73.0,317.0,12.0,62.0
2019,920436,0.0,64.0,316.0,15.0,55.0
2019,920441,0.0,178.0,428.0,9.0,88.0
2019,920445,0.0,107.0,319.0,6.0,54.0
2019,920455,0.0,84.0,317.0,14.0,74.0
2019,920466,0.0,26.0,199.0,8.0,9.0
2019,920473,0.0,91.0,431.0,18.0,100.0
2019,920495,0.0,98.0,336.0,8.0,65.0
2019,920500,0.0,96.0,201.0,30.0,94.0
