agency_code,pct_rating_P1_Accomplished,pct_rating_P1_Developing,pct_rating_P1_Distinguished,pct_rating_P1_NotDemostrated,pct_rating_P1_Proficient,pct_rating_P2_Accomplished,pct_rating_P2_Developing,pct_rating_P2_Distinguished,pct_rating_P2_NotDemostrated,pct_rating_P2_Proficient,pct_rating_P3_Accomplished,pct_rating_P3_Developing,pct_rating_P3_Distinguished,pct_rating_P3_NotDemostrated,pct_rating_P3_Proficient,pct_rating_P4_Accomplished,pct_rating_P4_Developing,pct_rating_P4_Distinguished,pct_rating_P4_NotDemostrated,pct_rating_P4_Proficient,pct_rating_P5_Accomplished,pct_rating_P5_Developing,pct_rating_P5_Distinguished,pct_rating_P5_NotDemostrated,pct_rating_P5_Proficient,pct_rating_P6_Accomplished,pct_rating_P6_Developing,pct_rating_P6_Distinguished,pct_rating_P6_NotDemostrated,pct_rating_P6_Proficient,pct_rating_P7_Accomplished,pct_rating_P7_Developing,pct_rating_P7_Distinguished,pct_rating_P7_NotDemostrated,pct_rating_P7_Proficient,pct_rating_PS_DoesNotMeetExpectedGrowth,pct_rating_PS_ExceedsExpectedGrowth,pct_rating_PS_MeetsExpectedGrowth,pct_rating_T1_Accomplished,pct_rating_T1_Developing,pct_rating_T1_Distinguished,pct_rating_T1_NotDemostrated,pct_rating_T1_Proficient,pct_rating_T2_Accomplished,pct_rating_T2_Developing,pct_rating_T2_Distinguished,pct_rating_T2_NotDemostrated,pct_rating_T2_Proficient,pct_rating_T3_Accomplished,pct_rating_T3_Developing,pct_rating_T3_Distinguished,pct_rating_T3_NotDemostrated,pct_rating_T3_Proficient,pct_rating_T4_Accomplished,pct_rating_T4_Developing,pct_rating_T4_Distinguished,pct_rating_T4_NotDemostrated,pct_rating_T4_Proficient,pct_rating_T5_Accomplished,pct_rating_T5_Developing,pct_rating_T5_Distinguished,pct_rating_T5_NotDemostrated,pct_rating_T5_Proficient,pct_rating_TS_DoesNotMeetExpectedGrowth,pct_rating_TS_ExceedsExpectedGrowth,pct_rating_TS_MeetsExpectedGrowth
080311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.16699999999999998,,0.333,0.6,,,,0.4,0.4,,0.2,,0.4,0.5,,0.16699999999999998,,0.333,0.2,,,,0.8,0.16699999999999998,0.16699999999999998,0.667
080312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.233,,,0.767,,0.476,,,0.524,,0.429,,,0.5710000000000001,,0.3670000000000001,,,0.633,,0.28600000000000003,,,0.7140000000000001,0.889,,0.111
080314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.138,0.034,,,0.828,0.105,0.053,,,0.8420000000000001,0.105,,,,0.895,0.103,0.034,,,0.862,0.053,,,,0.947,0.35,0.1,0.55
080348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16699999999999998,,,,0.833,,0.5,,,0.5,0.25,0.25,,,0.5,,0.5,,,0.5,,0.5,,,0.5,0.2,,0.8
080356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.688,,,,0.313,0.6,,,,0.4,0.6,,,,0.4,0.625,,,,0.375,0.2,,,,0.8,0.083,0.16699999999999998,0.75
080360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.733,,0.133,,0.133,0.636,,0.091,,0.273,0.727,,0.091,,0.182,0.6,,0.133,,0.267,0.636,,,,0.364,0.4,0.1,0.5
080362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14800000000000002,,,,0.852,0.091,0.091,,,0.818,,,,,1.0,0.185,0.111,,,0.7040000000000001,,,,,1.0,0.17600000000000002,0.353,0.471
080LEA,0.111,,,,0.889,0.222,,,,0.778,0.111,0.111,,,0.778,0.444,,,,0.556,0.444,,,,0.556,,,,,1.0,0.222,,0.111,,0.667,0.5,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08A000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.2,,,,0.8,0.2,,,,0.8,0.6,,,,0.4,0.6,,,,0.4,,,1.0
090000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,,1.0,,,1.0,,,,,0.5,,0.5,,,1.0,,,,,,,
090304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.625,,,,0.375,0.333,,,,0.667,1.0,,,,,0.625,,,,0.375,0.333,,,,0.667,0.2,,0.8
090315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.667,,,,0.333,0.667,,,,0.333,0.667,,,,0.333,0.467,,,,0.5329999999999999,0.16699999999999998,,,,0.833,0.25,0.083,0.667
090317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.667,,0.25,,0.083,0.8,,,,0.2,0.6,,,,0.4,0.875,,,,0.125,0.6,,0.1,,0.3,0.118,0.235,0.647
090318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.769,,0.077,,0.154,0.667,,0.333,,,0.667,,,,0.333,0.769,,,,0.231,0.667,,,,0.333,0.4,,0.6
