agency_code,count_ALL_PK_ENROLL,count_AM7_PK_ENROLL,count_AS7_PK_ENROLL,count_BL7_PK_ENROLL,count_ELS_PK_ENROLL,count_FEM_PK_ENROLL,count_HI7_PK_ENROLL,count_MALE_PK_ENROLL,count_MU7_PK_ENROLL,count_PI7_PK_ENROLL,count_SWD_PK_ENROLL,count_WH7_PK_ENROLL
090317,52.0,3.0,,11.0,0.0,26.0,4.0,26.0,5.0,,0.0,29.0
090318,35.0,1.0,,11.0,0.0,20.0,10.0,15.0,2.0,,0.0,11.0
090324,33.0,2.0,,8.0,0.0,17.0,6.0,16.0,,,0.0,17.0
090333,55.0,,,27.0,0.0,22.0,11.0,33.0,2.0,,0.0,15.0
090352,18.0,,,4.0,0.0,7.0,10.0,11.0,1.0,,0.0,3.0
090LEA,211.0,8.0,,72.0,0.0,102.0,43.0,109.0,10.0,,0.0,78.0
100320,6.0,,,,0.0,,2.0,6.0,,,0.0,4.0
100338,6.0,,,,0.0,3.0,1.0,3.0,,,0.0,5.0
100339,9.0,,,2.0,0.0,3.0,,6.0,,,0.0,7.0
100342,5.0,,,1.0,0.0,2.0,1.0,3.0,,,0.0,3.0
100LEA,26.0,,,3.0,0.0,8.0,4.0,18.0,,,0.0,19.0
111304,13.0,,,4.0,0.0,9.0,1.0,4.0,3.0,,0.0,5.0
111306,18.0,,,5.0,0.0,13.0,4.0,5.0,1.0,,0.0,8.0
111307,64.0,,1.0,28.0,0.0,33.0,6.0,31.0,5.0,1.0,0.0,23.0
111332,13.0,,1.0,2.0,0.0,6.0,,7.0,1.0,,0.0,9.0
111LEA,108.0,,2.0,39.0,0.0,61.0,11.0,47.0,10.0,1.0,0.0,45.0
120304,17.0,1.0,2.0,,0.0,9.0,,8.0,2.0,,0.0,12.0
120312,28.0,,2.0,2.0,4.0,14.0,5.0,14.0,,,0.0,19.0
120316,19.0,,3.0,,13.0,10.0,12.0,9.0,1.0,,2.0,3.0
120320,17.0,,2.0,,2.0,11.0,,6.0,,,0.0,15.0
120324,35.0,,1.0,1.0,1.0,17.0,5.0,18.0,2.0,,0.0,26.0
120338,32.0,,5.0,,5.0,16.0,3.0,16.0,1.0,,4.0,23.0
120340,37.0,,,1.0,28.0,14.0,29.0,23.0,,,2.0,7.0
120344,19.0,,5.0,,3.0,12.0,,7.0,,,0.0,14.0
120352,5.0,,1.0,,0.0,1.0,,4.0,,,0.0,4.0
120360,18.0,,,,1.0,10.0,,8.0,,,1.0,18.0
120364,17.0,,,2.0,0.0,9.0,2.0,8.0,,,0.0,13.0
120368,34.0,,2.0,,1.0,20.0,1.0,14.0,,,0.0,31.0
120372,19.0,,1.0,1.0,1.0,8.0,1.0,11.0,,,0.0,16.0
120374,38.0,,3.0,,2.0,17.0,4.0,21.0,2.0,,0.0,29.0
120380,19.0,,1.0,,1.0,6.0,2.0,13.0,,,0.0,16.0
120386,18.0,,,,0.0,9.0,,9.0,1.0,,0.0,17.0
120LEA,372.0,1.0,28.0,7.0,62.0,183.0,64.0,189.0,9.0,,9.0,263.0
130321,18.0,,,8.0,0.0,10.0,8.0,8.0,,,0.0,2.0
130329,36.0,,,9.0,0.0,20.0,15.0,16.0,1.0,,0.0,11.0
130340,36.0,,1.0,14.0,0.0,18.0,10.0,18.0,5.0,,0.0,6.0
130342,18.0,,,4.0,0.0,14.0,4.0,4.0,3.0,,0.0,7.0
130LEA,108.0,,1.0,35.0,0.0,62.0,37.0,46.0,9.0,,0.0,26.0
132308,4.0,,,3.0,0.0,2.0,1.0,2.0,,,0.0,
132336,72.0,,2.0,30.0,0.0,36.0,17.0,36.0,5.0,,0.0,18.0
132LEA,76.0,,2.0,33.0,0.0,38.0,18.0,38.0,5.0,,0.0,18.0
140304,15.0,,,,0.0,6.0,1.0,9.0,2.0,,0.0,12.0
140312,7.0,,,2.0,1.0,4.0,2.0,3.0,1.0,,0.0,2.0
140316,26.0,,,,0.0,12.0,2.0,14.0,,,0.0,24.0
140324,15.0,,,,0.0,5.0,,10.0,2.0,,0.0,13.0
140340,15.0,,,1.0,1.0,3.0,1.0,12.0,,,1.0,13.0
140344,11.0,,,,0.0,4.0,,7.0,,,0.0,11.0
140352,26.0,,,,3.0,9.0,5.0,17.0,1.0,,1.0,20.0
140360,5.0,,,1.0,0.0,2.0,,3.0,,,0.0,4.0
140384,24.0,,,,2.0,8.0,5.0,16.0,1.0,,0.0,18.0
140388,14.0,,,1.0,1.0,8.0,3.0,6.0,,,0.0,10.0
140396,24.0,,,,1.0,11.0,3.0,13.0,1.0,,0.0,20.0
140LEA,182.0,,,5.0,9.0,72.0,22.0,110.0,8.0,,2.0,147.0
150308,47.0,,1.0,5.0,0.0,20.0,3.0,27.0,6.0,,0.0,32.0
150LEA,47.0,,1.0,5.0,0.0,20.0,3.0,27.0,6.0,,0.0,32.0
160304,9.0,,1.0,,0.0,7.0,1.0,2.0,,,0.0,7.0
160306,14.0,,,,0.0,5.0,3.0,9.0,1.0,,0.0,10.0
160308,14.0,,,6.0,0.0,10.0,,4.0,2.0,,0.0,6.0
160322,14.0,,1.0,1.0,0.0,7.0,6.0,7.0,2.0,,0.0,4.0
160324,14.0,,,1.0,0.0,5.0,1.0,9.0,,,0.0,12.0
160332,14.0,,,,0.0,7.0,1.0,7.0,,,0.0,13.0
160352,14.0,,,,0.0,7.0,1.0,7.0,1.0,,0.0,12.0
160LEA,93.0,,2.0,8.0,0.0,48.0,13.0,45.0,6.0,,0.0,64.0
170334,18.0,,,2.0,0.0,14.0,3.0,4.0,3.0,,0.0,10.0
170339,25.0,,,11.0,0.0,8.0,2.0,17.0,,,0.0,12.0
170342,17.0,,,5.0,0.0,8.0,3.0,9.0,,,0.0,9.0
170LEA,60.0,,,18.0,0.0,30.0,8.0,30.0,3.0,,0.0,31.0
180304,18.0,,,,2.0,9.0,3.0,9.0,3.0,,0.0,12.0
180324,17.0,,,,1.0,10.0,1.0,7.0,,,1.0,16.0
180332,16.0,,3.0,2.0,1.0,5.0,5.0,11.0,1.0,,0.0,5.0
180343,17.0,,4.0,,2.0,13.0,,4.0,,,0.0,13.0
180356,18.0,,2.0,1.0,1.0,8.0,1.0,10.0,4.0,,0.0,10.0
180360,33.0,,3.0,2.0,4.0,18.0,7.0,15.0,5.0,,0.0,16.0
180372,23.0,,1.0,4.0,4.0,11.0,8.0,12.0,,,1.0,10.0
