agency_code,pct_enrolled_AM7_CHARTER,pct_enrolled_AS7_CHARTER,pct_enrolled_BL7_CHARTER,pct_enrolled_EDS_CHARTER,pct_enrolled_ELS_CHARTER,pct_enrolled_HI7_CHARTER,pct_enrolled_MU7_CHARTER,pct_enrolled_PI7_CHARTER,pct_enrolled_SWD_CHARTER,pct_enrolled_WH7_CHARTER
65C000,5.0,5.0,89.9,67.8,5.0,5.0,5.0,5.0,6.0,5.0
65D000,5.0,5.0,5.0,5.0,5.0,5.5,5.0,5.0,15.5,90.0
65F000,5.0,5.0,5.0,5.0,5.0,5.0,8.5,5.0,5.4,85.4
65G000,5.0,5.0,52.4,67.9,5.0,13.4,5.9,5.0,6.4,28.3
660000,5.0,5.0,80.9,63.7,5.0,5.0,5.0,5.0,14.8,11.0
66A000,5.0,5.0,77.9,79.3,5.0,5.0,5.0,5.0,5.0,11.1
670000,5.0,5.0,18.8,45.5,5.0,14.6,8.7,5.0,13.6,56.0
67B000,5.0,5.0,69.5,56.3,5.0,15.6,6.3,5.0,15.6,7.8
680000,5.0,5.0,14.4,40.9,9.1,23.7,5.0,5.0,16.2,55.4
681000,5.0,14.3,11.4,25.5,11.4,16.8,6.6,5.0,10.5,50.7
68A000,5.0,5.0,5.0,5.0,5.0,7.6,6.1,5.0,11.6,82.3
68C000,5.0,5.0,5.0,5.0,5.0,5.6,7.7,5.0,5.3,83.3
690000,5.0,5.0,21.0,40.7,5.0,8.6,7.4,5.0,16.9,61.8
69A000,5.0,5.0,10.1,53.0,5.0,9.9,7.8,5.0,16.2,71.9
700000,5.0,5.0,44.6,55.4,5.0,8.7,5.0,5.0,14.0,40.5
70A000,5.0,5.0,16.2,5.0,5.0,5.0,6.9,5.0,7.5,71.7
730000,5.0,5.0,35.2,48.0,5.0,9.8,5.2,5.0,13.2,48.8
73A000,5.0,5.0,11.6,40.8,5.0,6.6,5.3,5.0,5.0,74.7
73B000,5.0,5.0,8.7,5.0,5.0,5.0,5.0,5.0,5.0,82.8
740000,5.0,5.0,46.4,50.4,5.0,12.0,5.0,5.0,11.2,35.5
74B000,5.0,5.0,62.8,5.0,5.0,5.1,7.4,5.0,6.0,24.2
74C000,5.0,5.0,49.4,46.6,5.8,11.3,5.0,5.0,5.0,35.3
74Z000,5.0,5.0,95.0,74.5,5.0,5.0,5.0,5.0,13.7,5.0
760000,5.0,5.0,5.0,53.2,5.4,18.2,5.0,5.0,11.3,71.8
761000,5.0,5.0,13.9,71.5,16.0,47.5,5.0,5.0,13.0,31.9
76A000,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,87.8
780000,41.5,5.0,23.6,53.2,7.0,16.7,5.0,5.0,15.4,12.8
78A000,90.5,5.0,5.0,36.9,5.0,5.0,6.1,5.0,17.3,5.0
78B000,11.6,5.0,10.4,5.0,5.0,5.0,5.0,5.0,8.7,71.0
790000,5.0,5.0,19.4,51.5,5.0,13.9,5.6,5.0,16.6,60.2
79A000,5.0,5.0,7.9,5.0,5.0,6.2,5.9,5.0,15.0,79.4
810000,5.0,5.0,12.7,42.7,5.0,8.5,6.8,5.0,17.1,71.4
81A000,5.0,5.0,5.8,5.0,5.0,7.1,5.0,5.0,5.0,79.6
81B000,5.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,11.6,85.5
840000,5.0,5.0,13.6,48.2,5.0,8.8,5.0,5.0,18.4,68.9
84B000,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,85.9
860000,5.0,5.0,5.0,61.1,8.9,24.9,5.0,5.0,13.7,69.7
862000,5.0,5.0,8.5,57.0,8.0,20.7,5.0,5.0,12.3,64.5
86T000,5.0,5.0,5.0,5.0,5.0,6.4,5.0,5.0,12.8,87.4
