agency_code,pct_met_4 Year Graduation Rate_LTG,pct_met_EL Progress_LTG,pct_met_Math Grade 11_LTG,pct_met_Math Grades 3-8_LTG,pct_met_Reading Grade 10_LTG,pct_met_Reading Grades 3-8_LTG,pct_met_Total Targets_LTG
080311,,,0.0,,0.0,,0.0
080312,33.3,,0.0,,0.0,,11.1
080314,,,,60.0,,60.0,60.0
080348,,,,33.3,,0.0,16.7
080356,,,,100.0,,66.7,83.3
080360,,,,66.7,,0.0,33.3
080362,,,,100.0,,25.0,62.5
08A000,,,,100.0,,0.0,50.0
090304,,,,0.0,,0.0,0.0
090315,,,,83.3,,83.3,83.3
090317,,,,100.0,,100.0,100.0
090318,,,,50.0,,0.0,25.0
090320,,,,25.0,,75.0,50.0
090324,,100.0,,25.0,,25.0,33.3
090328,,,,75.0,,25.0,50.0
090330,50.0,,100.0,,0.0,,50.0
090332,,,,66.7,,50.0,58.3
090333,,,,50.0,,50.0,50.0
090352,,100.0,,100.0,,0.0,60.0
090365,,,,0.0,,20.0,10.0
090368,100.0,,60.0,,60.0,,71.4
09A000,,,,0.0,,0.0,0.0
100302,,100.0,,50.0,,66.7,61.5
100304,,,,75.0,,0.0,37.5
100307,100.0,,0.0,,0.0,,28.6
100308,50.0,,,,,,50.0
100309,,,,66.7,,33.3,50.0
100310,,100.0,,20.0,,20.0,27.3
100316,,,,57.1,,85.7,71.4
100320,,100.0,,42.9,,85.7,66.7
100326,75.0,,100.0,,80.0,,84.6
100332,,,,16.7,,50.0,33.3
100334,100.0,,33.3,,0.0,,44.4
100335,,,,28.6,,28.6,28.6
100336,,,,0.0,,50.0,25.0
100338,,100.0,,0.0,,16.7,15.4
100339,,,,100.0,,100.0,100.0
100340,,100.0,,100.0,,83.3,92.3
100342,,,,20.0,,80.0,50.0
100344,,100.0,,16.7,,0.0,15.4
100348,25.0,,33.3,,0.0,,18.8
10A000,,,,28.6,,28.6,28.6
110303,0.0,,,,,,0.0
110304,0.0,,25.0,,0.0,,8.3
110306,,,,0.0,,57.1,28.6
110308,,,,0.0,,33.3,16.7
110318,,,,75.0,,25.0,50.0
110320,,,,0.0,,66.7,33.3
110322,0.0,,0.0,,50.0,,16.7
110323,0.0,,,,,,0.0
110324,,100.0,,20.0,,80.0,54.5
110326,,,,0.0,,60.0,30.0
110332,,,,25.0,,50.0,37.5
110336,33.3,,100.0,,100.0,,77.8
110338,,,,0.0,,80.0,40.0
110340,75.0,100.0,0.0,,0.0,,28.6
110342,,100.0,,12.5,,12.5,17.6
110348,,100.0,,0.0,,0.0,11.1
110352,80.0,100.0,80.0,,80.0,,81.3
110356,,,,0.0,,0.0,0.0
110366,,,,66.7,,0.0,33.3
110368,,,,100.0,,33.3,66.7
110370,,,,66.7,,66.7,66.7
110372,,100.0,,0.0,,0.0,20.0
110376,,,,50.0,,100.0,75.0
110379,,100.0,,100.0,,80.0,90.9
110380,66.7,,100.0,,0.0,,55.6
110381,,,,0.0,,20.0,10.0
110382,,,,40.0,,60.0,50.0
110384,,100.0,,0.0,,20.0,18.2
110388,,,,100.0,,0.0,50.0
110401,,,,100.0,,50.0,75.0
110408,,100.0,,16.7,,66.7,46.2
110410,,100.0,,60.0,,40.0,54.5
110412,,100.0,,0.0,,40.0,27.3
110416,16.7,100.0,83.3,,16.7,,42.1
110420,,,,25.0,,50.0,37.5
110422,,0.0,,57.1,,28.6,40.0
110428,,,,75.0,,100.0,87.5
110436,,100.0,,100.0,,50.0,77.8
110444,,,,0.0,,0.0,0.0
110450,,,,14.3,,14.3,14.3
110451,,100.0,,28.6,,28.6,33.3
110500,,,100.0,,100.0,,100.0
111302,40.0,,25.0,,50.0,,38.5
111304,,,,75.0,,50.0,62.5
111306,,,,50.0,,0.0,25.0
111312,,,,0.0,,0.0,0.0
111332,,,,25.0,,0.0,12.5
111356,,,,0.0,,0.0,0.0
111360,,,,20.0,,0.0,10.0
111700,100.0,,100.0,,0.0,,66.7
11A000,,,,75.0,,25.0,50.0
11B000,,,,100.0,,0.0,50.0
11C000,,,,100.0,,0.0,50.0
11D000,,,,100.0,100.0,0.0,62.5
11K000,,,,0.0,,0.0,0.0
120304,,,,0.0,,33.3,16.7
120308,0.0,,,,,,0.0
120310,100.0,,,,,,100.0
120312,,0.0,,75.0,,50.0,55.6
120314,75.0,,0.0,,33.3,,40.0
120315,,,,0.0,,16.7,8.3
120316,,100.0,,33.3,,50.0,46.2
120318,60.0,100.0,100.0,,60.0,,71.4
120320,,,,0.0,,75.0,37.5
120324,,,,0.0,,50.0,25.0
120334,,,,66.7,,66.7,66.7
120338,,,,66.7,,100.0,83.3
120340,,100.0,,33.3,,33.3,38.5
120344,,,,0.0,,66.7,33.3
120346,0.0,,0.0,,100.0,,33.3
120350,,,,0.0,,20.0,10.0
120352,,,,0.0,,100.0,50.0
120360,,,,100.0,,33.3,66.7
120364,,,,75.0,,0.0,37.5
120368,,,,0.0,,25.0,12.5
120370,0.0,100.0,25.0,,0.0,,15.4
120372,,,,0.0,,66.7,33.3
120374,,,,50.0,,25.0,37.5
120376,,,,71.4,,57.1,64.3
120380,,,,50.0,,50.0,50.0
120386,,,,100.0,,66.7,83.3
120390,,100.0,,71.4,,28.6,53.3
12A000,,,,0.0,,0.0,0.0
130304,,100.0,,28.6,,14.3,26.7
130307,20.0,,75.0,,75.0,,53.8
130308,,,,60.0,,20.0,40.0
