agency_code,esea_att
580372,Met
580LEA,Met
58B000,Did Not Meet
590306,Met
590310,Met
590316,Met
590320,Met
590328,Did Not Meet
590330,Did Not Meet
590332,Met
590336,Met
590340,Met
590344,Met
590352,Met
590356,Met
590393,Did Not Meet
590LEA,Met
600300,Met
600301,Met
600302,Did Not Meet
600305,Met
600308,Met
600311,Met
600312,Did Not Meet
600313,Met
600314,Met
600316,Met
600317,Met
600318,Met
600319,Met
600322,Met
600328,Met
600329,Met
600333,Met
600334,Did Not Meet
600335,Met
600336,Met
600338,Met
600341,Did Not Meet
600344,Met
600345,Met
600346,Met
600349,Met
600351,Met
600352,Met
600353,Met
600357,Met
600361,Did Not Meet
600362,Met
600364,Did Not Meet
600365,Met
600367,Met
600368,Met
600369,Met
600374,Met
600377,Did Not Meet
600379,Met
600381,Met
600382,Met
600383,Met
600384,Met
600385,Met
600386,Did Not Meet
600392,Met
600394,Met
600397,Did Not Meet
600398,Met
600399,Met
600405,Did Not Meet
600406,Met
600410,Met
600411,Met
600412,Met
600413,Met
600414,Met
600415,Did Not Meet
600416,Met
600418,Met
600420,Met
600422,Met
600424,Met
600426,Did Not Meet
600428,Met
600429,Met
600431,Met
600432,Met
600433,Met
600434,Met
600435,Did Not Meet
600436,Met
600437,Met
600438,Met
600439,Did Not Meet
600440,Met
600442,Met
600443,Did Not Meet
600444,Met
600445,Did Not Meet
600446,Met
600447,Met
600448,Met
600449,Met
600450,Met
600451,Met
600453,Met
600454,Met
600455,Met
600457,Did Not Meet
600459,Met
600461,Did Not Meet
600462,Met
600463,Met
600464,Met
600466,Did Not Meet
600468,Met
600471,Met
600474,Met
600478,Met
600479,Met
600480,Did Not Meet
600481,Met
600482,Did Not Meet
600485,Met
600488,Met
600489,Met
600491,Met
600492,Met
600493,Met
600494,Met
600496,Did Not Meet
600497,Met
600498,Did Not Meet
600500,Met
600501,Met
600503,Met
600507,Met
600508,Did Not Meet
600509,Met
600512,Met
600513,Met
600514,Met
600516,Met
600517,Met
600518,Met
600519,Met
600520,Met
600521,Met
600522,Met
600527,Met
600530,Met
600532,Met
600534,Met
600535,Did Not Meet
600537,Met
600538,Met
600546,Met
600549,Met
600550,Met
600553,Met
600557,Met
600558,Met
600562,Met
600565,Met
600566,Met
600567,Did Not Meet
600571,Met
600574,Met
600576,Did Not Meet
600577,Met
600579,Did Not Meet
600586,Met
600587,Met
600588,Met
600589,Met
600590,Met
600592,Did Not Meet
600693,Did Not Meet
600694,Did Not Meet
600695,Met
600696,Did Not Meet
600697,Did Not Meet
600LEA,Met
60A000,Met
60B000,Met
60C000,Did Not Meet
60D000,Did Not Meet
60F000,Met
60G000,Did Not Meet
60H000,Did Not Meet
60I000,Did Not Meet
60J000,Met
60K000,Met
60L000,Met
60M000,Met
60N000,Met
60P000,Met
60Q000,Met
60S000,Met
60U000,Did Not Meet
60V000,Met
60Y000,Met
610302,Met
610310,Met
610320,Met
610322,Did Not Meet
610326,Met
610332,Did Not Meet
610334,Did Not Meet
610LEA,Met
61J000,Met
61K000,Did Not Meet
620310,Did Not Meet
620312,Met
620314,Met
620316,Did Not Meet
620318,Met
620324,Met
620330,Met
620334,Met
620336,Did Not Meet
620339,Met
620340,Did Not Meet
620LEA,Met
630304,Did Not Meet
630308,Met
630312,Met
630316,Met
630317,Met
630320,Met
630324,Met
630328,Met
630330,Did Not Meet
630331,Met
630332,Did Not Meet
630336,Did Not Meet
630342,Met
630348,Met
630350,Met
630352,Did Not Meet
630356,Met
630360,Did Not Meet
630364,Met
630368,Met
630373,Met
630374,Met
630376,Met
630LEA,Met
63A000,Met
63B000,Met
640302,Did Not Meet
640304,Met
640306,Met
640308,Met
640316,Met
640320,Met
640324,Met
640326,Met
640328,Met
640329,Met
640332,Met
640334,Met
640335,Met
640336,Met
640340,Did Not Meet
640346,Did Not Meet
640347,Did Not Meet
640348,Met
640350,Did Not Meet
640358,Met
640360,Did Not Meet
640361,Did Not Meet
640362,Met
640364,Did Not Meet
640376,Met
640384,Met
640396,Met
640400,Did Not Meet
640LEA,Met
64A000,Did Not Meet
650304,Met
650308,Met
650309,Met
650310,Met
650312,Met
650316,Met
650323,Met
650324,Met
650325,Met
650326,Did Not Meet
650327,Did Not Meet
650328,Met
650332,Met
650338,Met
650339,Met
650340,Did Not Meet
650341,Met
650342,Did Not Meet
650343,Met
650345,Did Not Meet
650346,Met
650348,Met
650350,Met
650351,Met
650352,Did Not Meet
650353,Met
650354,Did Not Meet
650355,Did Not Meet
650356,Met
650362,Met
650364,Met
650366,Met
650368,Met
650380,Met
650384,Met
650392,Met
650394,Did Not Meet
650400,Met
650404,Met
650408,Met
650409,Met
650420,Did Not Meet
650LEA,Met
65A000,Met
65B000,Met
65C000,Did Not Meet
65D000,Met
660306,Met
660308,Met
660320,Met
660325,Met
660336,Did Not Meet
660356,Did Not Meet
660360,Met
660LEA,Met
66A000,Did Not Meet
670304,Met
670308,Met
670310,Met
670312,Met
670314,Met
670318,Met
670320,Did Not Meet
670321,Met
670322,Met
670323,Met
670324,Did Not Meet
670325,Met
670329,Met
670330,Met
670331,Met
670332,Met
670333,Did Not Meet
670335,Met
670336,Met
670337,Did Not Meet
670338,Met
670339,Met
670340,Did Not Meet
670341,Met
670342,Met
670343,Met
670344,Did Not Meet
670345,Met
670346,Met
670347,Met
670350,Met
670351,Met
670352,Did Not Meet
670356,Met
670364,Did Not Meet
670LEA,Met
67B000,Met
680304,Met
680308,Met
680310,Did Not Meet
680312,Met
680316,Met
680324,Met
680327,Met
680328,Met
680329,Met
680330,Met
680332,Did Not Meet
680335,Did Not Meet
680336,Met
680LEA,Met
681300,Met
681304,Met
681305,Did Not Meet
681308,Did Not Meet
681309,Met
681310,Met
681311,Met
681312,Met
681314,Did Not Meet
681316,Met
681320,Met
681322,Met
681324,Met
681326,Met
681328,Did Not Meet
681330,Met
681332,Met
681334,Met
681336,Met
681338,Did Not Meet
681LEA,Met
68A000,Met
68C000,Met
68N000,Did Not Meet
690312,Met
690316,Met
690320,Did Not Meet
690324,Did Not Meet
690LEA,Met
69A000,Met
