agency_code,stu_enroll,cte_enroll,cte_enrollment_pct
600333,1081,739,68.36
600334,248,66,26.61
600341,906,593,65.45
600344,232,122,52.59
600345,1849,1108,59.92
600351,753,735,97.61
600353,778,474,60.93
600361,2063,1396,67.67
600364,158,110,69.62
600366,164,164,100.0
600374,147,117,79.59
600377,2015,1249,61.99
600381,838,638,76.13
600386,241,236,97.93
600394,1040,625,60.1
600397,1698,877,51.65
600399,1460,767,52.53
600404,173,56,32.37
600405,1481,898,60.63
600415,1610,1124,69.81
600426,2206,1361,61.7
600428,1055,767,72.7
600429,369,369,100.0
600431,1189,777,65.35
600434,987,714,72.34
600439,322,178,55.28
600443,258,92,35.66
600445,2608,1561,59.85
600448,944,723,76.59
600450,1092,692,63.37
600455,1226,703,57.34
600457,1555,956,61.48
600461,69,19,27.54
600462,246,206,83.74
600466,3151,1763,55.95
600479,636,538,84.59
600480,2319,1420,61.23
600481,731,544,74.42
600482,1044,450,43.1
600488,134,93,69.4
600489,215,180,83.72
600496,1600,1427,89.19
600497,1053,308,29.25
600498,160,126,78.75
600499,3,1,33.33
600508,2025,1244,61.43
600509,967,647,66.91
600513,1114,827,74.24
600514,928,675,72.74
600517,238,118,49.58
600518,1242,918,73.91
600520,578,332,57.44
600532,444,218,49.1
600535,2952,1656,56.1
600537,970,567,58.45
600538,1405,1001,71.25
600553,198,129,65.15
600567,301,300,99.67
600574,125,104,83.2
600576,1364,850,62.32
600577,166,135,81.33
600579,1556,1137,73.07
600582,168,116,69.05
600592,1716,1018,59.32
600594,109,21,19.27
600693,609,345,56.65
600694,603,456,75.62
600695,421,330,78.38
600696,376,313,83.24
600697,629,446,70.91
60D000,1397,30,2.15
60G000,736,12,1.63
60K000,346,21,6.07
60S000,505,257,50.89
60V000,243,13,5.35
610302,160,68,42.5
610326,237,111,46.84
610332,138,75,54.35
610334,514,450,87.55
620310,68,27,39.71
620314,449,302,67.26
620316,567,408,71.96
620339,368,312,84.78
620340,476,378,79.41
620350,122,76,62.3
630317,405,189,46.67
630320,223,171,76.68
630328,93,86,92.47
630330,107,4,3.74
630331,568,339,59.68
630332,550,446,81.09
630336,2086,1394,66.83
630350,690,285,41.3
630360,1300,940,72.31
630374,853,446,52.29
630376,106,61,57.55
63B000,194,5,2.58
640320,633,485,76.62
640329,427,332,77.75
640334,271,150,55.35
640335,363,322,88.71
640340,128,57,44.53
640346,989,739,74.72
640347,295,53,17.97
640350,1070,832,77.76
640358,842,584,69.36
640361,1155,810,70.13
640362,805,584,72.55
640364,1089,780,71.63
64A000,69,5,7.25
650310,962,670,69.65
650325,738,317,42.95
650326,2285,1302,56.98
650327,1949,1252,64.24
650332,59,45,76.27
650340,223,65,29.15
650342,1796,1059,58.96
650343,639,419,65.57
650350,886,552,62.3
650351,699,480,68.67
650352,1534,889,57.95
650354,97,48,49.48
650355,107,56,52.34
650364,845,637,75.38
650392,648,489,75.46
650394,243,88,36.21
650395,43,43,100.0
650409,154,124,80.52
660308,216,92,42.59
660325,129,33,25.58
660336,347,296,85.3
660400,117,46,39.32
670300,53,53,100.0
670318,712,483,67.84
670320,928,667,71.88
670322,707,478,67.61
670324,1285,1018,79.22
670325,1016,737,72.54
670331,487,410,84.19
670333,1214,848,69.85
670336,635,598,94.17
670340,908,759,83.59
670344,787,627,79.67
670345,572,325,56.82
670351,838,526,62.77
670352,1138,988,86.82
670356,796,574,72.11
670364,1094,762,69.65
680304,632,491,77.69
680310,1114,795,71.36
680316,638,435,68.18
680327,461,297,64.43
680332,1291,923,71.49
680335,50,19,38.0
681305,848,334,39.39
681308,1542,700,45.4
681309,659,359,54.48
681314,1441,649,45.04
681322,704,347,49.29
681324,678,391,57.67
681336,824,362,43.93
681338,41,16,39.02
68A000,307,33,10.75
690316,301,208,69.1
690320,434,328,75.58
69A000,289,198,68.51
700308,578,415,71.8
700310,48,38,79.17
700317,761,572,75.16
700319,821,654,79.66
700322,564,398,70.57
70A000,327,78,23.85
710316,266,226,84.96
710320,461,423,91.76
710321,776,593,76.42
710326,667,489,73.31
710327,221,65,29.41
710328,178,117,65.73
710342,1490,1102,73.96
710346,1029,890,86.49
710348,172,120,69.77
720316,476,329,69.12
720320,355,297,83.66
730344,471,299,63.48
730350,102,72,70.59
730352,1240,1008,81.29
730360,453,266,58.72
73B000,706,12,1.7
740302,825,445,53.94
740308,341,219,64.22
740309,693,520,75.04
740320,85,52,61.18
740324,532,342,64.29
740332,332,80,24.1
740333,1668,1241,74.4
740337,783,383,48.91
740340,649,397,61.17
740344,755,563,74.57
740352,176,68,38.64
740358,151,74,49.01
740362,814,312,38.33
740366,1450,936,64.55
740374,886,677,76.41
740376,177,94,53.11
740378,25,1,4.0
740388,1665,1257,75.5
740396,75,29,38.67
740402,409,246,60.15
740500,202,49,24.26
750317,66,30,45.45
750318,625,522,83.52
750319,494,487,98.58
760318,712,571,80.2
760338,582,428,73.54
760339,781,632,80.92
760348,870,765,87.93
760352,671,439,65.42
760354,350,41,11.71
760357,568,381,67.08
760358,970,821,84.64
760360,505,338,66.93
760378,697,394,56.53
760380,702,559,79.63
760382,395,379,95.95
760388,843,667,79.12
761304,1342,1089,81.15
761308,545,333,61.1
761336,459,326,71.02
76A000,893,54,6.05
770316,235,220,93.62
770328,483,481,99.59
770342,92,52,56.52
770348,1391,1156,83.11
770349,266,76,28.57
770351,494,386,78.14
770360,674,581,86.2
770364,268,243,90.67
780324,163,152,93.25
780325,654,519,79.36
780326,287,162,56.45
780336,458,156,34.06
780341,403,341,84.62
780342,2019,1476,73.11
780344,374,296,79.14
780352,241,154,63.9
780360,181,180,99.45
780368,631,541,85.74
780384,314,221,70.38
780385,212,126,59.43
780391,741,520,70.18
780393,527,370,70.21
780396,147,143,97.28
780401,960,783,81.56
780402,474,369,77.85
780403,487,328,67.35
780410,143,88,61.54
780420,1619,1122,69.3
790314,919,704,76.61
790330,644,524,81.37
790354,817,590,72.22
790366,687,491,71.47
790374,543,404,74.4
790378,1063,832,78.27
790379,325,143,44.0
790380,739,636,86.06
790392,53,13,24.53
790394,605,576,95.21
800308,124,60,48.39
800314,796,501,62.94
800320,486,188,38.68
800328,516,294,56.98
800340,983,744,75.69
800361,1280,891,69.61
800363,572,254,44.41
800376,581,433,74.53
800377,489,261,53.37
800394,232,48,20.69
800396,841,588,69.92
800398,720,424,58.89
800400,941,799,84.91
800408,1067,805,75.45
800410,648,335,51.7
810324,716,565,78.91
810326,567,506,89.24
810340,703,598,85.06
810342,599,446,74.46
810378,653,498,76.26
810384,819,568,69.35
810385,182,74,40.66
810386,146,21,14.38
81A000,631,1,0.16
81B000,247,30,12.15
820324,258,44,17.05
820347,409,326,79.71
820348,532,457,85.9
820349,528,392,74.24
820352,780,662,84.87
820354,640,623,97.34
820370,402,308,76.62
820372,435,401,92.18
820388,518,415,80.12
821308,857,717,83.66
821320,681,651,95.59
830304,658,573,87.08
830316,66,29,43.94
830343,1454,1136,78.13
830348,182,27,14.84
830349,569,360,63.27
840302,418,309,73.92
840303,352,166,47.16
840332,580,509,87.76
840342,48,48,100.0
840350,559,372,66.55
840356,500,404,80.8
840358,382,297,77.75
840361,207,74,35.75
840368,729,617,84.64
840370,35,24,68.57
850304,648,461,71.14
850324,118,82,69.49
850332,341,305,89.44
850338,271,211,77.86
850350,410,261,63.66
850352,485,380,78.35
850358,869,635,73.07
850360,174,42,24.14
860306,609,594,97.54
860316,596,458,76.85
860326,369,363,98.37
860330,389,379,97.43
860336,863,744,86.21
860340,446,435,97.53
860352,764,573,75.0
860354,344,130,37.79
861308,377,322,85.41
861312,159,80,50.31
862312,545,380,69.72
862316,370,231,62.43
870314,542,467,86.16
870318,452,275,60.84
880308,735,578,78.64
880312,548,366,66.79
880320,102,76,74.51
880328,312,242,77.56
880330,243,175,72.02
