dance_cat,music_cat,theatre_cat,va_cat,agency_code
N,Y,N,Y,410316
N,Y,Y,Y,410319
N,Y,N,Y,410322
N,Y,N,Y,410325
N,Y,N,Y,410326
N,Y,N,Y,410328
N,Y,N,Y,410331
N,Y,N,Y,410334
N,Y,N,Y,410337
N,Y,N,Y,410340
N,N,N,Y,410341
N,Y,N,Y,410343
N,Y,N,Y,410346
N,Y,N,Y,410349
Y,Y,Y,Y,410355
Y,Y,Y,Y,410358
N,Y,N,Y,410361
N,Y,N,Y,410364
N,Y,N,Y,410366
N,Y,Y,Y,410367
N,Y,N,Y,410370
N,Y,N,Y,410373
N,Y,N,Y,410376
N,Y,N,Y,410379
N,Y,N,Y,410382
N,Y,N,Y,410385
N,Y,N,Y,410388
Y,N,Y,Y,410390
Y,Y,Y,Y,410391
N,Y,Y,Y,410394
N,Y,Y,Y,410395
N,Y,N,Y,410397
N,N,N,Y,410398
N,Y,N,Y,410400
N,Y,Y,Y,410402
N,Y,N,Y,410403
N,Y,Y,Y,410406
N,Y,N,Y,410409
N,Y,N,Y,410412
N,Y,N,Y,410415
N,Y,N,Y,410418
N,Y,N,Y,410421
N,Y,N,Y,410423
N,Y,N,Y,410424
N,Y,N,Y,410427
N,Y,N,Y,410430
N,Y,N,Y,410436
N,Y,N,Y,410437
N,Y,N,Y,410439
Y,Y,Y,Y,410442
Y,Y,Y,Y,410448
N,Y,N,Y,410451
N,Y,N,Y,410454
N,Y,N,Y,410457
N,Y,N,Y,410458
Y,Y,Y,Y,410460
N,Y,N,Y,410461
N,Y,N,Y,410462
N,Y,N,Y,410463
N,Y,N,Y,410464
N,Y,N,Y,410466
N,Y,N,Y,410469
Y,Y,Y,Y,410472
N,Y,N,Y,410478
N,Y,N,Y,410481
N,Y,Y,Y,410483
N,Y,N,Y,410484
N,Y,N,Y,410486
N,Y,N,Y,410487
N,Y,N,Y,410488
Y,Y,Y,Y,410489
N,Y,Y,Y,410490
N,Y,N,Y,410491
N,Y,N,Y,410493
N,Y,N,Y,410496
N,Y,N,Y,410499
N,Y,N,Y,410502
N,Y,N,Y,410505
N,Y,Y,Y,410508
Y,Y,Y,Y,410511
N,Y,N,Y,410514
Y,Y,N,Y,410517
N,Y,N,Y,410522
N,Y,N,Y,410523
Y,Y,Y,Y,410529
N,Y,N,Y,410530
N,Y,N,Y,410532
N,N,N,Y,410533
Y,N,Y,Y,410534
N,Y,N,Y,410535
N,Y,N,Y,410538
N,Y,N,Y,410541
N,Y,N,Y,410542
Y,Y,N,Y,410544
N,Y,Y,Y,410547
N,Y,N,Y,410550
N,Y,N,Y,410553
N,Y,Y,Y,410556
N,Y,N,Y,410559
Y,Y,Y,Y,410562
N,Y,Y,Y,410565
N,Y,N,Y,410568
N,Y,Y,Y,410569
N,Y,N,Y,410571
N,Y,N,Y,410574
N,Y,N,Y,410577
N,Y,N,Y,410578
Y,Y,N,Y,410579
N,Y,N,Y,410580
N,Y,N,Y,410583
N,Y,N,Y,410586
Y,Y,Y,Y,410589
N,Y,N,N,410592
N,Y,Y,Y,410595
N,Y,N,Y,410598
N,Y,N,Y,41B000
N,N,N,Y,41C000
N,Y,N,Y,41D000
N,Y,N,Y,41F000
N,Y,Y,Y,41G000
Y,Y,N,Y,41H000
N,Y,N,Y,41J000
N,Y,Y,Y,41K000
N,Y,N,Y,41L000
N,Y,N,Y,420324
N,Y,N,N,420340
N,Y,N,Y,420346
N,Y,N,N,420358
N,Y,N,N,420376
N,Y,N,Y,421304
N,Y,N,Y,421306
N,Y,Y,Y,421316
