agency_code,avg_class_teach_TeacherExp,pct_adv_degree_PrincipalExp,pct_adv_degree_TeacherExp,pct_experience_0_PrincipalExp,pct_experience_0_TeacherExp,pct_experience_10_PrincipalExp,pct_experience_10_TeacherExp,pct_experience_4_PrincipalExp,pct_experience_4_TeacherExp,pct_turnover_PrincipalExp,pct_turnover_TeacherExp,total_class_teach_TeacherExp
180352,25.0,,0.16,,0.04,,0.6,,0.36,,0.078,101345.0
180356,43.0,,0.302,,0.159,,0.682,,0.159,,0.094,101345.0
180360,36.0,,0.297,,0.056,,0.639,,0.306,,0.081,101345.0
180364,28.0,,0.14300000000000002,,0.241,,0.379,,0.379,,0.153,101345.0
180368,28.0,,0.321,,0.14300000000000002,,0.679,,0.179,,0.073,101345.0
180372,46.0,,0.152,,0.217,,0.5,,0.28300000000000003,,0.084,101345.0
180376,72.0,,0.264,,0.083,,0.597,,0.319,,0.17600000000000002,101345.0
180379,37.0,,0.405,,0.108,,0.703,,0.189,,0.063,101345.0
180380,34.0,,0.265,,0.17600000000000002,,0.6759999999999999,,0.147,,0.07200000000000001,101345.0
180388,35.0,,0.222,,0.25,,0.528,,0.222,,0.094,101345.0
180LEA,32.25,0.179,0.27575,0.5,0.13475,0.10700000000000001,0.6062500000000001,0.393,0.259,0.036000000000000004,0.12674999999999997,101345.0
181312,34.0,,0.4,,0.118,,0.618,,0.265,,0.194,101345.0
181316,32.0,,0.273,,0.156,,0.594,,0.25,,0.17,101345.0
181318,21.0,,0.095,,0.28600000000000003,,0.28600000000000003,,0.429,,0.255,101345.0
181322,68.0,,0.191,,0.235,,0.5589999999999999,,0.206,,0.263,101345.0
181326,28.0,,0.321,,0.103,,0.655,,0.241,,0.157,101345.0
181332,22.0,,0.318,,0.174,,0.652,,0.174,,0.207,101345.0
181336,22.0,,0.227,,0.091,,0.5,,0.409,,0.0,101345.0
181342,26.0,,0.077,,0.308,,0.5,,0.192,,0.233,101345.0
181344,33.0,,0.212,,0.091,,0.545,,0.364,,0.0,101345.0
181LEA,37.0,0.333,0.21325,0.556,0.20175,0.333,0.5055,0.111,0.29275,0.111,0.2015,101345.0
182304,11.0,,0.0,,0.364,,0.364,,0.273,,0.2,101345.0
182316,51.0,,0.157,,0.118,,0.647,,0.235,,0.114,101345.0
182321,36.0,,0.16699999999999998,,0.25,,0.417,,0.333,,0.293,101345.0
182322,29.0,,0.138,,0.214,,0.35700000000000004,,0.429,,0.146,101345.0
182324,27.0,,0.333,,0.259,,0.481,,0.259,,0.12,101345.0
182328,32.0,,0.188,,0.406,,0.219,,0.375,,0.086,101345.0
182700,10.0,,0.091,,0.0,,0.8,,0.2,,0.191,101345.0
182LEA,26.75,0.429,0.132,0.28600000000000003,0.25275000000000003,0.14300000000000002,0.4495,0.5710000000000001,0.298,0.0,0.18325,101345.0
190304,17.0,,0.333,,0.059,,0.765,,0.17600000000000002,,0.086,101345.0
190308,23.0,,0.435,,0.0,,0.833,,0.16699999999999998,,0.042,101345.0
190310,9.0,,0.0,,0.333,,0.444,,0.222,,0.2,101345.0
190312,42.0,,0.333,,0.31,,0.381,,0.31,,0.205,101345.0
190316,30.0,,0.2,,0.194,,0.484,,0.32299999999999995,,0.068,101345.0
190328,26.0,,0.37,,0.14800000000000002,,0.444,,0.407,,0.208,101345.0
190332,19.0,,0.211,,0.2,,0.65,,0.15,,0.128,101345.0
190336,63.0,,0.254,,0.19,,0.556,,0.254,,0.13,101345.0
190339,39.0,,0.256,,0.205,,0.513,,0.282,,0.208,101345.0
190340,24.0,,0.36,,0.24,,0.48,,0.28,,0.128,101345.0
190341,41.0,,0.22,,0.341,,0.439,,0.22,,0.22,101345.0
190342,83.0,,0.181,,0.133,,0.542,,0.325,,0.111,101345.0
190346,47.0,,0.298,,0.234,,0.532,,0.234,,0.233,101345.0
190348,37.0,,0.189,,0.162,,0.514,,0.324,,0.086,101345.0
190350,54.0,,0.333,,0.222,,0.5,,0.278,,0.11,101345.0
190352,26.0,,0.231,,0.14800000000000002,,0.593,,0.259,,0.073,101345.0
190370,52.0,,0.28800000000000003,,0.212,,0.5379999999999999,,0.25,,0.14300000000000002,101345.0
190501,,,,,,,,,,,,101345.0
190LEA,37.5,0.222,0.27575,0.333,0.1925,0.278,0.53425,0.389,0.273,0.059,0.14525,101345.0
19A000,34.0,,,,,,,,,,,101345.0
19B000,50.0,,,,,,,,,,,101345.0
19C000,12.0,,,,,,,,,,,101345.0
200304,31.0,,0.226,,0.129,,0.5479999999999999,,0.32299999999999995,,0.08,101345.0
200308,21.0,,0.048,,0.238,,0.381,,0.381,,0.091,101345.0
200310,18.0,,0.222,,0.5,,0.278,,0.222,,0.258,101345.0
200312,14.0,,0.35700000000000004,,0.0,,0.5,,0.5,,0.071,101345.0
200314,17.0,,0.118,,0.118,,0.588,,0.294,,0.0,101345.0
200320,20.0,,0.35,,0.2,,0.7,,0.1,,0.08900000000000001,101345.0
200322,8.0,,0.25,,0.0,,0.875,,0.125,,0.14300000000000002,101345.0
200324,37.0,,0.405,,0.081,,0.622,,0.297,,0.026,101345.0
200328,32.0,,0.313,,0.156,,0.594,,0.25,,0.194,101345.0
200330,22.0,,0.318,,0.136,,0.636,,0.227,,0.231,101345.0
200332,15.0,,0.2,,0.0,,0.667,,0.333,,0.0,101345.0
200336,21.0,,0.333,,0.14300000000000002,,0.5710000000000001,,0.28600000000000003,,0.13,101345.0
200350,7.0,,0.429,,0.28600000000000003,,0.429,,0.28600000000000003,,0.0,101345.0
200LEA,18.6,0.462,0.2758,0.769,0.1386,0.0,0.6142000000000001,0.231,0.24700000000000003,0.0,0.1246,101345.0
20A000,21.0,,,,,,,,,,,101345.0
210304,33.0,,0.212,,0.121,,0.667,,0.212,,0.063,101345.0
