agency_code,pct_gce_all_RTA,pct_gce_prm_RTA,pct_gce_rpf_RTA,pct_gce_swd_RTA,pct_passed_eog_RTA,pct_passed_laa_RTA,pct_passed_rta_RTA,pct_promoted_RTA,pct_retained_RTA
240LEA,13.7,,11.0,5.0,48.0,15.2,,87.3,12.7
241308,8.5,,,8.5,46.3,9.6,6.8,76.3,23.7
241LEA,8.5,,,8.5,46.3,9.6,6.8,76.3,23.7
24N000,20.2,,10.6,,61.7,,,95.0,
250304,,,,,65.2,,,87.9,
250306,,,,,63.6,,,84.8,15.2
250308,,,,,52.4,,,88.9,
250312,,,,,51.7,17.8,,78.8,21.2
250316,,,,,77.4,11.8,,95.0,
250320,13.1,,,11.2,45.8,16.8,,84.1,15.9
250328,,,,,63.2,,,94.7,
250336,26.7,,20.0,,60.0,,,90.0,
250348,,,,,34.6,,,73.1,26.9
250350,,,,,61.1,13.9,,86.1,13.9
250360,,,,,41.4,,,61.4,38.6
250362,,,,,48.1,,,76.9,23.1
250364,,,,,48.7,15.8,,73.7,26.3
250378,,,,,77.9,14.7,,92.6,
250380,,,,,58.3,12.5,,86.5,13.5
250LEA,9.1,,5.0,7.7,56.7,12.3,5.0,83.6,16.4
260306,25.0,,,13.9,62.5,,,95.0,
260308,,,,,52.8,,,77.8,22.2
260310,12.8,,,11.6,39.5,34.9,,89.5,
260312,,,,,87.5,,,95.0,
260316,,,,,55.6,,,72.2,27.8
260320,13.3,,,13.3,52.0,24.5,,92.9,
260326,25.9,,,16.5,65.9,,,95.0,
260332,13.3,,,,75.9,,,95.0,
260338,24.0,,,17.3,45.2,,,84.6,15.4
260340,36.9,,28.6,,53.6,,,95.0,
260342,23.2,,,13.4,54.9,15.9,,93.9,
260344,41.9,,,,45.2,,,93.5,
260348,27.8,,17.6,,44.4,,,87.0,13.0
260352,,,,,44.4,31.5,,87.0,
260356,,,,,64.1,,,95.0,
260361,,,,,37.8,33.3,,84.4,
260364,17.3,,,12.7,53.6,22.7,,95.0,
260366,16.2,,13.1,,60.8,10.0,,92.3,7.7
260367,33.3,,28.4,,49.6,,,88.7,11.3
260370,10.1,,,9.2,47.1,9.2,,73.9,26.1
260373,14.6,,6.1,6.7,58.5,12.2,,89.0,11.0
260375,,,,,65.3,16.0,,95.0,
260380,19.0,,13.8,,80.2,,,95.0,
260382,30.3,,19.7,,54.5,,,95.0,
260386,,,,,59.6,,,86.5,
260396,,,,,46.3,,,77.5,22.5
260397,8.8,,,8.8,67.6,19.6,,95.0,
260398,,,,,60.5,17.3,,91.4,
260400,16.2,,,,57.4,,,88.2,
260401,,,,,45.4,13.9,,77.8,22.2
260402,31.3,,20.8,,39.6,,,83.3,
260403,8.3,,,,76.0,,,90.1,9.9
260404,30.0,,30.0,,50.0,,,83.3,16.7
260405,34.0,,30.0,,36.0,,,88.0,
260407,33.6,,27.6,,56.9,,,94.0,
260410,13.3,,,,40.0,38.7,,92.0,
260414,14.0,,,12.0,50.0,18.0,,93.0,
260415,,,,,71.4,9.5,,92.4,
260416,,,,,75.0,,,95.0,
260426,,,,,41.4,17.2,,77.6,22.4
260430,20.3,,,20.3,60.8,,,93.2,
260434,14.4,,,9.4,77.2,,,95.0,
260440,,,,,40.8,,,81.6,
260444,,,,,28.6,,,60.0,40.0
260448,20.2,,14.0,,75.2,,,95.0,
260450,22.8,,,,31.6,17.5,,80.7,19.3
260452,,,,,51.1,,,77.3,22.7
260459,,,,,44.4,,,77.8,22.2
260LEA,17.1,5.0,7.8,8.3,56.6,11.1,5.0,89.7,10.3
26B000,,,,,56.8,20.3,,93.2,
26C000,,,,,48.8,,,80.5,
270304,,,,,70.8,,,95.0,
270309,,,,,56.4,25.6,,94.9,
270310,,,,,45.3,37.5,,95.0,
270312,,,,,,,,95.0,
270316,13.0,,,,73.9,,,95.0,
270320,,,,,59.0,,,92.3,
270LEA,11.4,,5.5,5.2,62.0,19.9,,95.0,
280302,,,,,66.7,,,95.0,
280308,,,,,89.1,,,95.0,
280310,12.0,,,,66.3,,,89.2,
280312,8.8,,,8.8,48.2,18.4,,84.2,15.8
280324,,,,,65.9,,,92.7,
280LEA,12.2,,6.6,5.7,64.5,9.3,5.0,90.7,9.3
290302,,,,,63.2,,,89.5,
290306,,,,,75.8,21.2,,95.0,
290307,,,,,47.6,,,82.5,17.5
290312,,,,,60.7,,,79.8,20.2
290316,,,,,51.8,16.5,,83.5,16.5
290320,,,,,51.6,19.4,,91.9,
290328,,,,,53.3,23.9,,91.3,
290330,,,,,70.7,22.0,,95.0,
290332,,,,,61.9,23.8,,95.0,
290333,,,,,72.8,23.5,,95.0,
290344,,,,,56.0,24.2,,94.5,
290352,,,,,40.8,26.3,,81.6,18.4
290356,,,,,67.2,,,81.0,19.0
290364,,,,,38.6,22.7,,77.3,22.7
290366,,,,,49.5,,,80.2,19.8
290375,27.3,,18.2,,55.8,,,88.3,
290380,11.5,,,7.6,68.7,,,92.4,7.6
290384,,,,,59.8,12.7,,90.2,9.8
290LEA,7.9,,5.0,5.7,58.8,15.9,5.0,89.1,10.9
291308,45.1,,31.9,12.1,30.8,,,83.5,16.5
291340,34.8,,32.6,,55.1,,,95.0,
291352,12.2,,,,51.1,12.2,,80.0,20.0
291LEA,31.0,,24.0,6.6,45.4,8.9,,86.7,13.3
292318,8.3,,,7.8,36.3,5.7,,55.4,44.6
292LEA,8.3,,,7.8,36.3,5.7,,55.4,44.6
300308,12.9,,,12.9,49.4,,,78.8,21.2
300310,,,,,58.1,,,85.5,
300320,,,,,64.9,,,88.3,11.7
300326,12.6,,,12.6,62.1,,,89.7,
300328,,,,,83.9,,,95.0,
300336,16.7,,,16.7,62.1,,,92.4,
300LEA,9.7,,,9.7,64.1,7.6,5.0,88.7,11.3
310304,15.5,,14.6,,36.9,,,74.8,25.2
310308,34.1,,25.9,,50.6,,,88.2,11.8
310330,,,,,46.9,29.7,,92.2,
310336,18.6,,11.6,,37.2,16.3,,83.7,16.3
310356,44.0,,36.0,,50.7,,,94.7,
310360,28.4,,23.9,,55.0,,,90.8,9.2
310384,29.2,,16.9,10.0,33.1,12.3,,76.9,23.1
310388,27.4,,19.5,,34.5,12.4,,77.9,22.1
310LEA,26.5,,19.6,5.6,42.2,10.2,,83.8,16.2
320304,,,,,32.0,16.4,,53.3,46.7
320308,,,,,36.2,37.7,,81.2,18.8
320310,,,,,15.8,11.6,,34.7,65.3
320313,,,,,59.7,,,79.2,20.8
320315,,,,,22.7,37.9,,60.6,39.4
320318,,,,,52.6,26.3,,85.5,14.5
320319,,,,,58.8,9.9,,80.9,19.1
320320,,,,,34.0,35.0,,71.8,28.2
320324,,,,,44.1,32.3,,82.8,17.2
320327,17.4,,,9.6,45.2,13.0,,75.7,24.3
320328,9.6,,,,37.4,31.3,,78.3,21.7
320332,19.0,,,8.7,38.1,21.4,,78.6,21.4
320339,,,,,17.9,23.2,,48.2,51.8
320340,20.9,,16.4,,56.7,,,77.6,22.4
320344,,,,,,,,29.3,70.7
320347,,,,,68.3,,,81.7,18.3
320348,,,,,84.6,,,95.0,
320352,12.9,,,12.9,24.2,25.8,,62.9,37.1
320354,,,,,78.1,,,93.8,
320360,9.3,,,,31.8,41.1,,83.2,16.8
320362,,,,,44.8,32.2,,87.4,12.6
320363,16.9,,,16.9,54.2,18.1,,89.2,
320364,,,,,70.4,24.4,,94.8,
320367,,,,,52.8,,,81.1,18.9
320369,,,,,45.1,23.1,,78.0,22.0
320372,8.4,,,,52.1,26.9,,88.2,11.8
320374,,,,,25.0,29.5,,70.5,29.5
320376,,,,,46.2,24.0,,80.8,19.2
320388,,,,,35.0,,,46.3,53.8
320400,,,,,22.9,38.6,,61.4,38.6
320LEA,7.6,,5.0,5.2,43.2,22.3,5.0,74.5,25.5
32A000,,,,,41.1,15.1,,67.1,32.9
32B000,,,,,,35.7,,78.6,
32C000,,,,,,,,38.2,61.8
32D000,,,,,51.0,,,76.5,23.5
32H000,,,,,47.4,28.2,,83.3,16.7
32K000,,,,,69.4,,,93.5,
32L000,12.0,,,,75.0,,,95.0,
32M000,,,,,60.9,,,69.6,
32P000,,,,,31.3,,,34.4,65.6
32Q000,40.4,,38.3,,,,,61.7,38.3
32R000,,,,,69.4,,,79.6,20.4
330304,28.8,,17.6,11.2,24.8,,,67.2,32.8
330308,,,,,39.4,32.1,,81.0,19.0
330312,,,,,19.2,38.5,,78.8,21.2
330334,,,,,,39.3,,82.1,
330354,13.2,,,13.2,22.4,13.2,,63.2,36.8
330360,15.2,,,,47.0,,,69.7,30.3
330LEA,15.3,,6.8,8.1,31.4,18.2,,72.9,27.1
33A000,18.5,,18.5,,49.4,,,82.7,17.3
340308,,,,,,,,28.9,71.1
340314,13.9,,,13.9,38.0,22.8,,77.2,22.8
340320,,,,,57.5,,,75.5,24.5
340326,,,,,62.2,14.3,,90.8,9.2
340334,11.9,,,11.9,66.1,10.1,,92.7,
340348,11.8,,,11.0,76.5,10.3,,95.0,
340351,,,,,,,,47.7,52.3
340354,,,,,86.7,,,95.0,
340368,,,,,18.8,,,38.8,61.2
340376,,,,,23.1,11.1,,47.0,53.0
340380,,,,,30.8,17.3,,64.4,35.6
340384,,,,,30.4,46.1,,85.3,14.7
340390,,,,,38.9,11.5,,65.5,34.5
340400,10.9,,,10.9,35.9,20.7,,76.1,23.9
340403,13.5,,,12.6,73.9,10.8,,95.0,
340416,16.4,,,15.8,49.3,24.7,,91.1,8.9
340424,,,,,,,,41.7,58.3
340426,,,,,52.6,15.6,10.4,85.2,14.8
340428,,,,,33.3,,,50.5,49.5
340430,,,,,40.0,13.8,,63.8,36.3
340432,,,,,76.2,15.8,,95.0,
340440,,,,,83.6,11.4,,95.0,
340447,,,,,32.7,,,55.8,44.2
340448,13.9,,,13.1,43.4,,12.3,75.4,24.6
340453,,,,,51.1,20.0,,83.3,16.7
340457,,,,,69.2,14.0,,95.0,
340462,,,,,23.2,,,53.7,46.3
340472,12.7,,,12.7,64.6,,,92.4,
340476,11.3,,,,34.0,17.0,,68.9,31.1
340490,,,,,27.4,,,49.3,50.7
340494,,,,,65.2,,,87.0,13.0
340504,,,,,56.0,12.1,,81.9,18.1
340508,17.8,,,16.9,55.1,8.5,,86.4,13.6
340512,,,,,90.3,,,95.0,
340514,15.2,,,12.1,36.4,24.2,,82.8,17.2
340520,17.6,,,13.5,45.9,17.6,,81.1,18.9
340528,,,,,77.7,9.8,,95.0,
340530,12.4,,,11.3,37.1,,,68.0,32.0
340532,11.4,,,11.4,56.1,,,83.3,16.7
340536,10.8,,,9.6,73.9,10.8,,95.0,
340540,,,,,59.7,,,81.5,18.5
340548,12.8,,,11.1,47.9,17.1,,82.9,17.1
340560,,,,,85.1,,,95.0,
340LEA,9.4,,,8.4,52.2,12.3,5.0,79.6,20.4
34B000,,,,,40.4,,,63.8,36.2
34D000,,,,,33.3,,28.2,61.5,38.5
34F000,19.7,,,,44.7,21.1,,88.2,
34G000,,,,,73.0,19.0,,95.0,
34H000,,,,,94.0,,,95.0,
350304,8.9,,,,51.8,,,84.8,15.2
350316,,,,,45.7,31.4,,92.9,
350318,25.0,,,19.1,30.9,,,82.4,17.6
350330,,,,,47.1,,,72.5,27.5
350331,,,,,53.9,15.7,,95.0,
350332,,,,,36.3,,,85.0,15.0
350339,,,,,42.9,22.1,,84.4,15.6
350340,,,,,61.4,22.7,,95.0,
350LEA,9.4,,,7.2,47.1,16.2,5.0,87.7,12.3
35A000,,,,,56.5,,,87.0,
35B000,,,,,72.7,,,81.8,
360320,,,,,69.1,23.4,,95.0,
360332,8.2,,,7.5,44.0,22.4,,76.1,23.9
360340,14.7,,,14.7,44.1,29.4,,88.2,11.8
360344,9.8,,,9.8,64.7,12.7,,90.2,9.8
360348,,,,,57.6,20.3,,88.1,
360352,24.2,,,19.4,41.9,22.6,,90.3,
360364,9.3,,,9.3,64.8,13.0,,89.8,10.2
360376,,,,,54.7,,,84.4,15.6
360392,,,,,34.0,18.1,,64.9,35.1
360400,18.3,,,11.9,42.9,18.3,,83.3,16.7
360420,,,,,67.3,27.3,,95.0,
360432,14.0,,,14.0,58.0,26.1,,95.0,
360438,,,,,29.3,,,48.0,52.0
360440,15.7,,,15.7,46.1,,,73.5,26.5
360448,,,,,60.7,,,95.0,
360464,12.5,,,11.4,68.2,12.5,,94.3,
360468,,,,,59.4,21.9,,92.2,
360478,,,,,68.8,14.6,,91.7,
360480,,,,,54.7,12.7,,74.0,26.0
360482,24.2,,,24.2,51.6,11.6,,90.5,
360488,,,,,66.7,13.9,,95.0,
360490,13.6,,,11.7,37.9,23.3,,78.6,21.4
